Frame #,Hand Pink X,Hand Pink Y,Elbow Pink X,Elbow Pink Y,Head Pink X,Head Pink Y,Shoulder Green X,Shoulder Green Y,Timestamp (microseconds),angles,Seconds,Hand Pink X meters,Elbow Pink X meters,Head Pink X meters,Shoulder Green X meters,Hand Pink Y meters,Elbow Pink Y meters,Head Pink Y meters,Shoulder Green Y meters,angular velocity
1.0,889.357666,1123.09729,650.8754883,1146.17627,244.3218384,1100.198242,407.6430664,1131.224243,1658800438095000.0,0.0,0.0,1.1135701865565155,0.8149651896420425,0.3059168718819127,0.5104123828393673,-1.40623700290499,-1.435134335268159,-1.3775649645022463,-1.4164128105854357,
2.0,889.5,1123.5,650.8754883,1146.17627,244.3218384,1100.198242,407.6430664,1131.224243,1658800438111666.8,0.0481572124325645,0.01666675,1.1137484038306145,0.8149651896420425,0.3059168718819127,0.5104123828393673,-1.4067412385651437,-1.435134335268159,-1.3775649645022463,-1.4164128105854357,2.889418298862376
3.0,889.6708374,1123.70813,650.8754883,1146.17627,244.3218384,1100.198242,407.6430664,1131.224243,1658800438128333.2,0.0732156401488511,0.03333325,1.1139623103866174,0.8149651896420425,0.3059168718819127,0.5104123828393673,-1.4070018394142605,-1.435134335268159,-1.3775649645022463,-1.4164128105854357,1.5035206981841773
4.0,889.9459229,1123.628052,650.8754883,1146.17627,244.3218384,1100.198242,407.6430664,1131.224243,1658800438145000.0,0.0642144389711369,0.05,1.1143067466278112,0.8149651896420425,0.3059168718819127,0.5104123828393673,-1.4069015732594747,-1.435134335268159,-1.3775649645022463,-1.4164128105854357,-0.5400693703159999
5.0,889.9570923,1124.090088,650.8754883,1146.17627,244.3218384,1100.198242,407.6430664,1131.224243,1658800438161666.8,0.1191094128273608,0.06666675,1.1143207319020347,0.8149651896420425,0.3059168718819127,0.5104123828393673,-1.407480091367976,-1.435134335268159,-1.3775649645022463,-1.4164128105854357,3.2936819629636203
6.0,889.9570923,1124.090088,650.8754883,1146.17627,244.3218384,1100.198242,407.6430664,1131.224243,1658800438178333.2,0.1191094128273608,0.08333325,1.1143207319020347,0.8149651896420425,0.3059168718819127,0.5104123828393673,-1.407480091367976,-1.435134335268159,-1.3775649645022463,-1.4164128105854357,0.0
7.0,889.9779663,1124.38208,650.8754883,1146.17627,244.3218384,1100.198242,407.7849426,1130.879028,1658800438195000.0,-0.1538201813145986,0.1,1.1143468683654203,0.8149651896420425,0.3059168718819127,0.5105900268992791,-1.4078456963414798,-1.435134335268159,-1.3775649645022463,-1.4159805647673038,-16.375693770048706
8.0,889.8822632,1124.481689,650.8754883,1146.17627,244.3218384,1100.198242,407.7366943,1130.717041,1658800438211666.5,-0.1654670633030549,0.1166665,1.1142270379271215,0.8149651896420425,0.3059168718819127,0.5105296149070222,-1.4079704173811167,-1.435134335268159,-1.3775649645022463,-1.415777739851406,-0.698819907506454
9.0,889.8822632,1124.481689,651.0443115,1145.5,244.3218384,1100.198242,407.7322083,1130.638184,1658800438228333.5,-0.1654560842967498,0.1333335,1.1142270379271215,0.8151765742058756,0.3059168718819127,0.510523997958917,-1.4079704173811167,-1.434287573454715,-1.3775649645022463,-1.4156790025182062,0.0006587272037629686
10.0,889.9559326,1123.955933,650.772583,1144.5,243.8033295,1100.22998,407.7322083,1130.638184,1658800438245000.0,-0.1031108069485244,0.15,1.114319279834554,0.8148363412849647,0.3052676437090661,0.510523997958917,-1.4073121150699257,-1.4330354673233707,-1.377604703846643,-1.4156790025182062,3.740754048434008
11.0,889.9155884,1123.719116,650.772583,1144.5,243.8033295,1100.22998,407.7322083,1130.638184,1658800438261666.8,-0.0749100398080806,0.16666675,1.11426876461437,0.8148363412849647,0.3052676437090661,0.510523997958917,-1.4070155950522194,-1.4330354673233707,-1.377604703846643,-1.4156790025182062,1.6920375682387858
12.0,889.7652588,1123.234741,651.0055542,1144.333374,243.8033295,1100.22998,407.8551941,1130.5,1658800438278333.5,-0.0170830476315639,0.1833335,1.1140805360004875,0.8151280459529112,0.3052676437090661,0.5106779892331652,-1.4064091061448496,-1.4328268338871295,-1.377604703846643,-1.4155059814845528,3.469602182580087
13.0,889.5613403,1122.715698,650.8754883,1144.17627,243.8033295,1100.22998,407.7322083,1130.638184,1658800438295000.0,0.0449854748193898,0.2,1.113825208396343,0.8149651896420425,0.3052676437090661,0.510523997958917,-1.4057592092221185,-1.4326301230054703,-1.377604703846643,-1.4156790025182062,3.7241485885431067
14.0,889.4007568,1121.900757,650.8754883,1144.17627,243.8033295,1100.22998,407.7322083,1130.638184,1658800438311666.8,0.1422099062335991,0.21666675,1.1136241408114005,0.8149651896420425,0.3052676437090661,0.510523997958917,-1.4047388165993346,-1.4326301230054703,-1.377604703846643,-1.4156790025182062,5.8334367176689765
15.0,889.2918091,1121.329224,650.5,1144.0,243.8033295,1100.22998,407.7322083,1130.638184,1658800438328333.5,0.2104218750434914,0.2333335,1.1134877267282344,0.8144950384393644,0.3052676437090661,0.510523997958917,-1.404023196625769,-1.4324094142576986,-1.377604703846643,-1.4156790025182062,4.092697665105211
16.0,888.8340454,1120.539307,650.6856079,1143.304932,243.8033295,1100.22998,407.7322083,1130.638184,1658800438345000.0,0.3055105025688665,0.25,1.1129145579927575,0.8147274392289804,0.3052676437090661,0.510523997958917,-1.403034136706816,-1.4315391153531976,-1.377604703846643,-1.4156790025182062,5.705374705269559
17.0,888.6142578,1119.644775,650.8287964,1143.0802,243.8033295,1100.22998,407.7322083,1130.638184,1658800438361666.8,0.4125897284473682,0.26666675,1.1126393605912042,0.8149067264277683,0.3052676437090661,0.510523997958917,-1.4019140877049323,-1.4312577270380884,-1.377604703846643,-1.4156790025182062,6.424721429102951
18.0,888.7371216,1119.070435,650.6082764,1142.891724,243.8033295,1100.22998,407.9212036,1130.490967,1658800438378333.2,0.48080369397278,0.28333325,1.1127931991085045,0.8146306119836844,0.3052676437090661,0.5107606401328422,-1.4011949530694563,-1.431021735082877,-1.377604703846643,-1.4154946712098682,4.092878860313318
19.0,888.227417,1118.5,650.6082764,1142.891724,244.3218384,1100.198242,408.0865479,1130.605713,1658800438395000.0,0.5504707969002833,0.3,1.11215499485367,0.8146306119836844,0.3059168718819127,0.510967668744655,-1.400480707908423,-1.431021735082877,-1.3775649645022463,-1.4156383453800154,4.18000527562382
