,motion,angular vel correlation,angular disp correlation
0,bodyl,0.6695194293561753,0.968409640182413
1,bodyl,0.5025982000075865,0.961109785362661
2,bodyl,0.581640426904268,0.9827582754353231
3,bodyl,0.9479369998564067,0.9650135575600158
4,bodyl,0.9359421719482051,0.9678842807962266
5,bodyl,0.8923665938995483,0.9813528618856459
6,bodyl,0.8193505371513617,0.9616266765503595
7,bodyl,0.23365759929547783,0.9291996133441257
8,bodyl,0.7997858694486873,0.9370669044496697
9,bodyl,0.22365988545522966,0.9450153412288173
10,bodyl,0.9304755705511182,0.9583235449435203
11,bodyl,0.4748254016955392,0.9365863498704151
12,bodyl,0.7367440001182942,0.9544271375577397
13,bodyl,0.21162996024850841,0.9280096735842427
14,bodyl,0.7227745153943218,0.8396166715752569
15,bodyl,0.08896245829078743,0.5045507044808624
16,bodyl,0.743763127351721,0.9135190609163204
17,bodyl,0.926295885452268,0.9086491634584877
18,bodyl,0.590577966968835,0.9789765964456643
19,bodyl,0.9193696012453177,0.9668381272719521
20,bodyl,0.8953888483575999,0.9255969591964746
21,bodyl,0.9011245787529967,0.8738225078154993
22,bodyl,0.9695123905349455,0.9670331026061674
23,bodyl,0.9035801066433282,0.9733846069626158
24,bodyl,0.028368068466348265,0.3753776777027447
25,bodyl,0.4318926204503597,0.9819422783485173
26,bodyl,0.8025671562875535,0.9770625584609308
27,bodyl,0.13175631754709785,0.7899225255912395
28,bodyl,0.2055086309775036,0.9303168147264421
29,bodyl,0.27927023626097197,0.9751011989947758
30,shoulderfe,0.8071920680192858,0.997174242299027
31,shoulderfe,0.46975788388972767,0.9940681921469677
32,shoulderfe,0.5315433377995098,0.9970736984029538
33,shoulderfe,0.1289301666989326,0.5968673210269925
34,shoulderfe,0.1866979213989757,0.8000000516866809
35,shoulderfe,0.17940330847506789,0.8111898331107329
36,shoulderfe,0.029619927217348598,0.34206283450798164
37,shoulderfe,0.19655206061871355,0.744731776868049
38,shoulderfe,0.09915393758762846,0.6861774223484484
39,shoulderfe,0.0066965351452602535,0.5084089108065438
40,shoulderfe,0.11081811058489804,0.2999210352167869
41,shoulderfe,0.025227001700438373,0.33815518080272156
42,shoulderfe,0.15748351701317823,0.9687863654342027
43,shoulderfe,0.0789631344376781,0.9138926262143711
44,shoulderfe,0.052866905986980836,0.9000205711153123
45,shoulderfe,0.40560319855455634,0.9674223899784719
46,shoulderfe,0.22759523479284705,0.9305159294839894
47,shoulderfe,0.21944352566873992,0.9412988829900389
48,shoulderfe,0.3587407124003818,0.9907524031112457
49,shoulderfe,0.07907711025719513,0.7124935685421172
50,shoulderfe,0.3859859171684713,0.9583582214992302
51,shoulderfe,0.3474448222003446,0.9225304632296639
52,shoulderfe,0.23761343860315845,0.8878464218161902
53,shoulderfe,0.3395964919814084,0.956695593227996
54,shoulderfe,0.2489010148030261,0.8201328445910349
55,shoulderfe,0.05245820957474387,0.8465046184710767
56,shoulderfe,0.07794551095732229,0.9093961954493022
57,shoulderfe,0.1376938713641356,0.8291615944193768
58,shoulderfe,0.17242707083646217,0.8170452582096642
59,bicepc,0.931347162904569,0.9781058392643757
60,bicepc,0.9648881904753428,0.9869128292729867
61,bicepc,0.9756925515673822,0.991931147565171
62,bicepc,0.9457024987125605,0.9016008612910811
63,bicepc,0.9735703935059796,0.9674397108619656
64,bicepc,0.8437117977141715,0.9820389475991416
65,bicepc,0.8907126880132744,0.9898518884387563
66,bicepc,0.944811172683965,0.9873173826832067
67,bicepc,0.9031287899195162,0.9985921256286099
68,bicepc,0.6899033471582429,0.9601238148938536
69,bicepc,0.4647609673375429,0.993041855538689
70,bicepc,0.8546586003800015,0.8933235725189558
71,bicepc,0.2642549251232912,0.9963384040046969
72,bicepc,0.9752999762905017,0.9982059750914337
73,bicepc,0.977183703708315,0.9959920950919087
74,bicepc,0.9754722724620328,0.992850480550676
75,bicepc,0.9878894422688538,0.9907582746381443
76,bicepc,0.9824735775374627,0.99108220132558
77,bicepc,0.8661409844495839,0.9962636509141107
78,bicepc,0.8665894031831854,0.9966787250310795
79,bicepc,0.7584625346018377,0.9942736651942747
80,bicepc,0.7188011019053343,0.9884807804392356
81,bicepc,0.42627259984994903,0.9854231395259849
82,bicepc,0.7056923881415778,0.9894632983514466
83,bicepc,0.8642071074496759,0.9837765875020764
84,bicepc,0.9306484083890926,0.9836770319245844
85,bicepc,0.9452613447857795,0.9854507087168349
86,bicepc,0.3051113206317424,0.9545488041655854
87,bicepc,0.3940814527626124,0.9659092358279419
88,bicepc,0.2054417380383738,0.9279044488165967
89,bicepc,0.9572146918874499,0.9945425664476583
90,bicepc,0.9634612948301473,0.9896037788214529
91,bicepc,0.9632714654528481,0.9862289385497883
92,bicepc,0.897953488863654,0.8315571960924215
93,bicepc,0.9594705870909156,0.9137705068355185
94,bicepc,0.958367796416026,0.9253556466151034
95,chestaa,0.02607402712120894,0.5939695943329333
96,chestaa,0.8990786488402084,0.9871201900836845
97,chestaa,0.8136170929062864,0.8338803129924045
98,chestaa,0.6262638792049563,0.989505003725056
99,chestaa,0.38722770704992965,0.5721615037324371
100,chestaa,0.36986065638660964,0.9880930443194873
101,chestaa,0.5063527458253573,0.9657812688409944
102,chestaa,0.3253063918075234,0.9773524273699037
103,chestaa,0.3675984085797167,0.9898320947720417
104,chestaa,0.6927796639375098,0.9630069253928242
105,chestaa,0.21844245011081143,0.816139171358478
106,chestaa,0.16251893806960555,0.792844743099694
107,chestaa,0.9417858221566824,0.992521899308513
108,chestaa,0.6818041444803808,0.9973388153111175
109,chestaa,0.2384771341868954,0.9899147928960594
110,chestaa,0.9785553878172057,0.9799474396200777
111,chestaa,0.7657813516350062,0.9042147010910394
112,chestaa,0.7828029837513135,0.9860621706495654
113,chestaa,0.8369575319435764,0.9887651275514969
114,chestaa,0.40059102566079596,0.9909143425016602
115,chestaa,0.8929294512262029,0.9966249690751579
116,chestaa,0.6745775700056055,0.9536207307479473
117,chestaa,0.26885186061303135,0.9207403557345754
118,chestaa,0.5599342162008596,0.9420219941647235
119,chestaa,0.46779157948628586,0.9796124435041375
120,chestaa,0.9703742803918872,0.9947283002625186
121,chestaa,0.9295643305579676,0.9880244380942134
