,source,motion,subject,muscle,run,speed,volume
0,biostamp,shoulderfe,gsp1m,forearm,1,slow,8.139593409762883
0,biostamp,shoulderfe,gsp1m,forearm,3,slow,15.854392976893184
0,biostamp,shoulderfe,gsp1m,forearm,2,slow,6.953096732764811
0,biostamp,shoulderfe,ch2m,forearm,1,slow,1.4633705466016245
0,biostamp,shoulderfe,ch2m,forearm,3,slow,1.4586742033302897
0,biostamp,shoulderfe,ch2m,forearm,2,slow,1.345342616061898
0,biostamp,shoulderfe,ch2m,forearm,1,slow,6.460401555873006
0,biostamp,shoulderfe,ch2m,forearm,3,slow,5.700289152080513
0,biostamp,shoulderfe,ch2m,forearm,2,slow,5.9948153534986215
0,biostamp,shoulderfe,es3f,forearm,1,slow,1.3819237624379619
0,biostamp,shoulderfe,es3f,forearm,3,slow,1.5654938094418762
0,biostamp,shoulderfe,es3f,forearm,2,slow,1.5198374749295334
0,biostamp,shoulderfe,es3f,forearm,1,slow,6.331963017761516
0,biostamp,shoulderfe,es3f,forearm,3,slow,7.88796853177399
0,biostamp,shoulderfe,es3f,forearm,2,slow,8.526541257749061
0,biostamp,bicepc,ya3m,forearm,1,slow,0.8737275222324943
0,biostamp,bicepc,ya3m,forearm,3,slow,1.1002565182568087
0,biostamp,bicepc,ya3m,forearm,2,slow,0.9407666415658539
0,biostamp,bicepc,ya3m,forearm,1,slow,1.7577476503931766
0,biostamp,bicepc,ya3m,forearm,3,slow,1.430258567839876
0,biostamp,bicepc,ya3m,forearm,2,slow,1.576560023181025
0,biostamp,bicepc,ssi2f,forearm,1,slow,0.8992617926647083
0,biostamp,bicepc,ssi2f,forearm,3,slow,1.3477547565514683
0,biostamp,bicepc,ssi2f,forearm,2,slow,1.1934755164025288
0,biostamp,bicepc,ssi2f,forearm,1,slow,1.8208229216779652
0,biostamp,bicepc,ssi2f,forearm,3,slow,2.2385663648797984
0,biostamp,bicepc,ssi2f,forearm,2,slow,1.917919566247489
0,biostamp,bicepc,cg1f,forearm,1,slow,0.573694676969956
0,biostamp,bicepc,cg1f,forearm,3,slow,0.6001414997982504
0,biostamp,bicepc,cg1f,forearm,2,slow,0.6347899567133517
0,biostamp,bicepc,cg1f,forearm,1,slow,0.8481152914861991
0,biostamp,bicepc,cg1f,forearm,3,slow,0.9762112942535346
0,biostamp,bicepc,cg1f,forearm,2,slow,0.9642900191348482
0,biostamp,bicepc,gsp1m,forearm,1,slow,0.842474167535629
