Frame #,Arm Pink X,Arm Pink Y,Leg Pink X,Leg Pink Y,Neck Green X,Neck Green Y,Shoulder Pink X,Shoulder Pink Y,Back Pink X,Back Pink Y,Timestamp (microseconds),angles,Seconds,Arm Pink X meters,Leg Pink X meters,Neck Green X meters,Shoulder Pink X meters,Back Pink X meters,Arm Pink Y meters,Leg Pink Y meters,Neck Green Y meters,Shoulder Pink Y meters,Back Pink Y meters,angular velocity
1.0,383.3601074,903.1654663,427.5,1225.0,498.2787781,694.2788086,402.5166626,740.888916,495.276947,861.2279663,1660610381113330.0,0.0,0.0,0.5739743730646062,0.6400614976588959,0.7460328911399547,0.6026559482957111,0.7415384899479429,-1.352237288874323,-1.834094350016719,-1.0394880328078362,-1.1092736121025402,-1.2894476302589546,
2.0,383.9673157,902.9259033,427.6491089,1225.0,498.2787781,694.2788086,402.5166626,740.888916,495.276947,861.2279663,1660610381129996.5,0.0,0.0166665,0.5748834974011884,0.6402847464678977,0.7460328911399547,0.6026559482957111,0.7415384899479429,-1.351878610388794,-1.834094350016719,-1.0394880328078362,-1.1092736121025402,-1.2894476302589546,0.0
3.0,383.9937744,903.1531982,427.2518616,1224.814819,498.2787781,694.2788086,402.5166626,740.888916,495.276947,861.2279663,1660610381146663.2,0.0,0.03333325,0.574923111892763,0.6396899799140288,0.7460328911399547,0.6026559482957111,0.7415384899479429,-1.352218920831143,-1.833817093342572,-1.0394880328078362,-1.1092736121025402,-1.2894476302589546,0.0
4.0,385.017395,903.289856,427.6491089,1225.0,498.2787781,694.2788086,403.0,740.5,495.276947,861.2279663,1660610381163329.8,0.0,0.04999975,0.5764556970021677,0.6402847464678977,0.7460328911399547,0.6033796106585615,0.7415384899479429,-1.3524235276057273,-1.834094350016719,-1.0394880328078362,-1.1086913193366372,-1.2894476302589546,0.0
5.0,385.017395,903.289856,427.6491089,1225.0,498.5,694.5,403.0,740.5,495.5,861.5,1660610381179996.5,-0.0771366802081411,0.0666665,0.5764556970021677,0.6402847464678977,0.7463641089659874,0.6033796106585615,0.7418724493332933,-1.3524235276057273,-1.834094350016719,-1.0398192049686623,-1.1086913193366372,-1.2898549245219622,-4.628177671600108
6.0,385.1927185,902.9296875,427.2518616,1224.814819,498.2787781,694.2788086,403.0,740.5,495.5,861.5,1660610381196663.2,0.0,0.08333325,0.5767181948313719,0.6396899799140288,0.7460328911399547,0.6033796106585615,0.7418724493332933,-1.3518842761682546,-1.833817093342572,-1.0394880328078362,-1.1086913193366372,-1.2898549245219622,4.62817767160011
7.0,385.1927185,902.9296875,427.2518616,1224.814819,498.2787781,694.2788086,403.0,740.5,495.5,861.5,1660610381213329.8,0.0,0.09999975,0.5767181948313719,0.6396899799140288,0.7460328911399547,0.6033796106585615,0.7418724493332933,-1.3518842761682546,-1.833817093342572,-1.0394880328078362,-1.1086913193366372,-1.2898549245219622,0.0
8.0,385.3506165,902.7654419,427.2518616,1224.814819,498.2787781,694.2788086,403.0,740.5,495.5,861.5,1660610381229996.5,0.0,0.1166665,0.5769546028555996,0.6396899799140288,0.7460328911399547,0.6033796106585615,0.7418724493332933,-1.351638364391132,-1.833817093342572,-1.0394880328078362,-1.1086913193366372,-1.2898549245219622,0.0
9.0,385.3506165,902.7654419,427.2518616,1224.814819,498.2787781,694.2788086,403.0,740.5,495.5,861.5,1660610381246663.2,0.0,0.13333325,0.5769546028555996,0.6396899799140288,0.7460328911399547,0.6033796106585615,0.7418724493332933,-1.351638364391132,-1.833817093342572,-1.0394880328078362,-1.1086913193366372,-1.2898549245219622,0.0
10.0,385.3506165,902.7654419,427.2518616,1224.814819,498.5,694.5,403.0,740.5,495.5,861.5,1660610381263330.0,-0.0771366802081411,0.15,0.5769546028555996,0.6396899799140288,0.7463641089659874,0.6033796106585615,0.7418724493332933,-1.351638364391132,-1.833817093342572,-1.0398192049686623,-1.1086913193366372,-1.2898549245219622,-4.628177671600106
11.0,385.3506165,902.7654419,427.2518616,1224.814819,498.5,694.5,403.0,740.5,495.5,861.5,1660610381279996.8,-0.0771366802081411,0.16666675,0.5769546028555996,0.6396899799140288,0.7463641089659874,0.6033796106585615,0.7418724493332933,-1.351638364391132,-1.833817093342572,-1.0398192049686623,-1.1086913193366372,-1.2898549245219622,0.0
12.0,385.3506165,902.7654419,427.2518616,1224.814819,498.5,694.5,403.0,740.5,495.5,861.5,1660610381296663.2,-0.0771366802081411,0.18333325,0.5769546028555996,0.6396899799140288,0.7463641089659874,0.6033796106585615,0.7418724493332933,-1.351638364391132,-1.833817093342572,-1.0398192049686623,-1.1086913193366372,-1.2898549245219622,0.0
13.0,385.3506165,902.7654419,427.2518616,1224.814819,498.5,694.5,403.0,740.5,495.5,861.5,1660610381313330.0,-0.0771366802081411,0.2,0.5769546028555996,0.6396899799140288,0.7463641089659874,0.6033796106585615,0.7418724493332933,-1.351638364391132,-1.833817093342572,-1.0398192049686623,-1.1086913193366372,-1.2898549245219622,0.0
