Frame #,Shoulder Pink X,Shoulder Pink Y,Hand Pink X,Hand Pink Y,Elbow Green X,Elbow Green Y,Timestamp (microseconds),angles,Seconds
44.0,361.9572754,902.7122803,941.7753296,1117.191406,606.6414185,1102.641479,1660091102758336.8,143.2340028238536,0.71666675
45.0,361.8456116,902.8239746,941.7753296,1117.191406,606.6986084,1102.579834,1660091102775003.5,143.2886570986475,0.7333335
46.0,362.1086731,902.7855835,941.7753296,1117.191406,606.6414185,1102.641479,1660091102791670.0,143.22692186516608,0.75
47.0,362.0596924,902.7787476,941.7753296,1117.191406,606.6414185,1102.641479,1660091102808336.8,143.2315844024911,0.76666675
48.0,362.0596924,902.7787476,941.7753296,1117.191406,606.6414185,1102.641479,1660091102825003.5,143.2315844024911,0.7833335
49.0,362.0596924,902.7787476,941.7753296,1117.191406,606.6414185,1102.641479,1660091102841670.0,143.2315844024911,0.8
50.0,362.004425,902.8451538,941.7753296,1117.191406,606.6414185,1102.641479,1660091102858336.8,143.24725580347123,0.81666675
51.0,362.085144,902.9509277,941.7753296,1117.191406,606.6986084,1102.579834,1660091102875003.2,143.27903051134868,0.83333325
52.0,362.1116028,902.7571411,941.7753296,1117.191406,606.6414185,1102.641479,1660091102891670.0,143.22259030480606,0.85
53.0,362.1116028,902.7571411,941.7753296,1117.191406,606.6414185,1102.641479,1660091102908336.8,143.22259030480606,0.86666675
54.0,362.222229,903.0028076,941.7753296,1117.191406,606.6986084,1102.579834,1660091102925003.5,143.2705919295584,0.8833335
55.0,362.2872009,902.7247314,941.7753296,1117.191406,606.6986084,1102.579834,1660091102941670.2,143.22404312839896,0.90000025
56.0,362.1856995,902.6331787,941.7753296,1117.191406,606.6986084,1102.579834,1660091102958336.8,143.2228417628532,0.91666675
57.0,362.0982056,902.5357056,941.7753296,1117.191406,606.6986084,1102.579834,1660091102975003.5,143.2192025448099,0.9333335
58.0,362.1856995,902.6331787,941.9459229,1117.371948,606.5459595,1102.760498,1660091102991670.2,143.17751855656414,0.95000025
59.0,362.0232849,902.4221191,941.7960205,1117.233887,606.772583,1102.5,1660091103008336.8,143.2528266530187,0.96666675
60.0,362.0719604,902.4258423,941.9459229,1117.371948,606.6414185,1102.641479,1660091103025003.5,143.2101685912528,0.9833335
61.0,362.0719604,902.4258423,941.9459229,1117.371948,606.6414185,1102.641479,1660091103041670.0,143.2101685912528,1.0
62.0,362.0232849,902.4221191,941.9459229,1117.371948,606.6414185,1102.641479,1660091103058336.8,143.2152350812615,1.01666675
63.0,362.0232849,902.4221191,941.9459229,1117.371948,606.6414185,1102.641479,1660091103075003.5,143.2152350812615,1.0333335
64.0,362.0232849,902.4221191,941.9459229,1117.371948,606.6414185,1102.641479,1660091103091670.0,143.2152350812615,1.05
65.0,362.0232849,902.4221191,941.7753296,1117.191406,606.6414185,1102.641479,1660091103108336.8,143.18570652875593,1.06666675
66.0,362.0232849,902.4221191,941.9459229,1117.371948,606.6414185,1102.641479,1660091103125003.2,143.2152350812615,1.08333325
67.0,362.0796509,902.4837646,941.9459229,1117.371948,606.6414185,1102.641479,1660091103141670.0,143.21741109030697,1.1
68.0,361.9216614,902.5142212,941.9459229,1117.371948,606.6414185,1102.641479,1660091103158336.8,143.23981835433662,1.11666675
69.0,362.0758972,902.7247314,941.9459229,1117.371948,606.772583,1102.5,1660091103175003.5,143.3117120033633,1.1333335
70.0,361.9216614,902.5142212,941.9459229,1117.371948,606.6414185,1102.641479,1660091103191670.2,143.23981835433662,1.15000025
71.0,361.9216614,902.5142212,941.9459229,1117.371948,606.6414185,1102.641479,1660091103208336.8,143.23981835433662,1.16666675
72.0,362.0223083,902.6025391,942.0632324,1117.440063,606.6414185,1102.641479,1660091103225003.5,143.2513960978966,1.1833335
73.0,362.0223083,902.6025391,942.1862183,1117.365723,606.6414185,1102.641479,1660091103241670.2,143.23780200505016,1.20000025
74.0,362.131134,902.9508057,942.0632324,1117.440063,606.6414185,1102.641479,1660091103258336.8,143.2878231871731,1.21666675
75.0,362.2120056,903.0488281,942.0632324,1117.440063,606.6414185,1102.641479,1660091103275003.5,143.29231965805928,1.2333335
76.0,362.0618286,902.916687,942.0632324,1117.440063,606.6414185,1102.641479,1660091103291670.0,143.29098283039758,1.25
77.0,362.1138306,902.8997192,942.1862183,1117.365723,606.6414185,1102.641479,1660091103308336.8,143.26903511080772,1.26666675
78.0,361.8312378,902.8103027,942.0632324,1117.440063,606.6414185,1102.641479,1660091103325003.5,143.30248671971202,1.2833335
79.0,361.8319397,902.729187,942.0632324,1117.440063,606.6414185,1102.641479,1660091103341670.0,143.29101488735105,1.3
80.0,361.8312378,902.8103027,942.0632324,1117.440063,606.6414185,1102.641479,1660091103358336.8,143.30248671971202,1.31666675
81.0,361.7786865,902.8201904,942.0632324,1117.440063,606.6414185,1102.641479,1660091103375003.2,143.3098997146338,1.33333325
82.0,361.8312378,902.8103027,942.0632324,1117.440063,606.6414185,1102.641479,1660091103391670.0,143.30248671971202,1.35
83.0,361.8312378,902.8103027,942.0632324,1117.440063,606.6414185,1102.641479,1660091103408336.8,143.30248671971202,1.36666675
84.0,361.8312378,902.8103027,942.1862183,1117.365723,606.6414185,1102.641479,1660091103425003.5,143.2888926268656,1.3833335
85.0,361.7786865,902.8201904,942.0632324,1117.440063,606.6414185,1102.641479,1660091103441670.2,143.3098997146338,1.40000025
86.0,361.7786865,902.8201904,942.0632324,1117.440063,606.6414185,1102.641479,1660091103458336.8,143.3098997146338,1.41666675
87.0,361.8312378,902.8103027,942.1862183,1117.365723,606.6414185,1102.641479,1660091103475003.5,143.2888926268656,1.4333335
88.0,361.8312378,902.8103027,942.1862183,1117.365723,606.6414185,1102.641479,1660091103491670.2,143.2888926268656,1.45000025
89.0,361.6451721,902.9448853,941.7960205,1117.233887,606.6414185,1102.641479,1660091103508336.8,143.30954727310612,1.46666675
