Timestamp (microseconds),Gyro X (°/s),Gyro Y (°/s),Gyro Z (°/s),gyro vel x (dps),gyro vel y (dps),gyro vel z (dps),gyro disp x (deg),gyro disp y (deg),gyro disp z (deg),gyro vel x (dps),gyro vel y (dps),gyro vel z (dps),gyro disp x (deg),gyro disp y (deg),gyro disp z (deg)
1660091097512695,-0.8239871824216607,-0.1525902189669068,0.7019150072480898,-0.8935063278948486,-0.05571213592947196,0.5683505593076958,0,0,0,-0.8935063278948489,-0.05571213592947202,0.568350559307696,0,0,0
1660091097528698,-1.678492408636657,-0.03051804379333589,0.8239871824216607,-1.734888899836645,0.06424265708733301,0.7047919620094905,-0.02102716182185195,6.824416926288839e-05,0.01018514017053749,-1.734888899836643,0.06424265708733305,0.7047919620094901,-0.02102716182185194,6.824416926288823e-05,0.01018514017053749
1660091097544700,-1.739528496223329,0.09155413138023505,0.8239871824216607,-1.846816767103045,0.1806653045601653,0.6757065180123134,-0.04968080715736947,0.002027507862442875,0.02122912801071192,-1.846816767103046,0.1806653045601653,0.6757065180123133,-0.04968080715736945,0.002027507862442875,0.02122912801071192
1660091097560703,-1.068131532768803,0.213626306553806,0.5188067444876197,-1.065175490336685,0.3356575315354746,0.3875059625524572,-0.07297674521688731,0.006158090551207996,0.02973482785523009,-1.065175490336685,0.3356575315354746,0.3875059625524574,-0.0729767452168873,0.006158090551207994,0.02973482785523008
1660091097576706,0.09155413138023505,0.3967345693140487,0.1525902189669068,-0.06333277006400426,0.4583036807556294,0.02380058225689259,-0.08200481130009282,0.01250978024953683,0.03302528021370489,-0.06333277006400423,0.4583036807556294,0.02380058225689248,-0.08200481130009281,0.01250978024953683,0.03302528021370488
1660091097592708,0.3967345693140487,0.3356984817273769,-0.03051804379333589,0.3887775333644056,0.4587234712865349,-0.1581085098791651,-0.07940125319368961,0.01984599746587414,0.03195081679272671,0.3887775333644058,0.4587234712865348,-0.1581085098791651,-0.0794012531936896,0.01984599746587414,0.0319508167927267
1660091097608711,0.2746623941404778,0.2746623941404778,0.03051804379333589,0.193568444291457,0.3655335173546616,-0.1320269319634942,-0.07474248537244271,0.02644005337500371,0.02962973325798544,0.1935684442914571,0.3655335173546617,-0.1320269319634942,-0.0747424853724427,0.02644005337500371,0.02962973325798543
1660091097624714,-0.213626306553806,0.09155413138023505,0.09155413138023505,-0.3059030012383915,0.1816011730313121,0.001055569679569261,-0.07564116182801819,0.0308171308980915,0.02858196235971404,-0.3059030012383916,0.1816011730313121,0.001055569679569213,-0.07564116182801818,0.0308171308980915,0.02858196235971403
1660091097640716,-0.6408789196611906,-0.1525902189669068,0.2746623941404778,-0.6915177554515979,-0.05576110920402444,0.1072323371290676,-0.08362052788153811,0.0318238514087098,0.02944826561418313,-0.6915177554515981,-0.05576110920402452,0.1072323371290676,-0.08362052788153809,0.0318238514087098,0.02944826561418313
1660091097656719,-0.6408789196611906,-0.2746623941404778,0.213626306553806,-0.6892578570896817,-0.1607834620144949,0.08518333282388169,-0.09466673278186834,0.03009149483896165,0.03098759097380673,-0.689257857089681,-0.1607834620144948,0.08518333282388174,-0.09466673278186832,0.03009149483896165,0.03098759097380672
1660091097672721,-0.3356984817273769,-0.1525902189669068,0.1525902189669068,-0.4639455391781924,-0.08321834170528772,0.04070618092244211,-0.1038923599520113,0.02813948040920338,0.03199470708377732,-0.463945539178193,-0.08321834170528764,0.04070618092244199,-0.1038923599520113,0.02813948040920339,0.03199470708377731
1660091097688724,-0.3967345693140487,-0.09155413138023505,0.2746623941404778,-0.3987116211435637,0.02889631402051816,0.1102460092341895,-0.1107936172345854,0.02770490418772523,0.03320232460503037,-0.3987116211435638,0.0288963140205179,0.1102460092341894,-0.1107936172345854,0.02770490418772523,0.03320232460503036
1660091097704727,-0.6408789196611906,0.09155413138023505,0.3356984817273769,-0.7541217523221906,0.1748549114207128,0.2263047656826215,-0.1200162842223114,0.02933491399125508,0.03589473080436486,-0.7541217523221895,0.1748549114207129,0.2263047656826216,-0.1200162842223114,0.02933491399125508,0.03589473080436485
1660091097720729,-1.617456321049758,0.3967345693140487,0.4577706569009479,-1.666387014672081,0.4984624982375636,0.3068361479920853,-0.1393803543582656,0.03472145326852129,0.04015985811376251,-1.666387014672081,0.4984624982375641,0.3068361479920851,-0.1393803543582656,0.03472145326852129,0.0401598581137625
1660091097736732,-2.777141985198796,0.8850232700083325,0.4577706569009479,-2.86537219581866,0.9827216863048079,0.3421162378945152,-0.1756344280421915,0.04657092674486026,0.04535147720085532,-2.86537219581866,0.9827216863048069,0.3421162378945152,-0.1756344280421915,0.04657092674486026,0.04535147720085531
1660091097752735,-3.631647211413792,1.312275883115944,0.4577706569009479,-3.667542280910769,1.400339613352068,0.3050397522396352,-0.2278977438560269,0.06563541714211527,0.05052872512192852,-3.667542280910768,1.400339613352069,0.3050397522396354,-0.2278977438560269,0.06563541714211527,0.05052872512192851
1660091097768737,-3.570611123826893,1.373311970702616,0.3967345693140487,-3.666587445636621,1.491375875084736,0.2704765850625183,-0.286570781668406,0.0887691410496097,0.05513285582034574,-3.666587445636621,1.491375875084736,0.2704765850625183,-0.286570781668406,0.08876914104960971,0.05513285582034574
1660091097784740,-2.838178072785468,1.129167620355474,0.4577706569009479,-2.927026561430537,1.190416760305143,0.3410516854185658,-0.3393196937249433,0.1102234821327287,0.06002508198419441,-2.927026561430538,1.190416760305142,0.3410516854185657,-0.3393196937249432,0.1102234821327287,0.06002508198419441
