Frame #,Hand Pink X,Hand Pink Y,Shoulder Green X,Shoulder Green Y,Elbow Orange X,Elbow Orange Y,Timestamp (microseconds),angles,Seconds,Hand Pink X meters,Shoulder Green X meters,Elbow Orange X meters,Hand Pink Y meters,Shoulder Green Y meters,Elbow Orange Y meters
1.0,306.8536072,1859.5,159.5986786,1079.188599,213.6344604,1386.033569,1660173507000000.0,0.0,0.0,0.1907676759003804,0.0992208280395074,0.132814308016842,-1.1560316874670176,-0.6709202566265859,-0.8616825628701279
2.0,305.8422546,1859.5,159.9540863,1078.644653,213.6157074,1385.728638,1660173507016666.8,0.07168891555343018,0.01666675,0.1901389285743238,0.0994417812867082,0.132802649473021,-1.1560316874670176,-0.670582091091619,-0.8614929904590007
3.0,305.7948608,1859.0,160.0,1078.805542,213.7081604,1385.329224,1660173507033333.2,0.0684391968823836,0.03333325,0.190109464344913,0.0994703253534406,0.1328601265354579,-1.155720842700288,-0.6706821140989677,-0.8612446789556838
4.0,305.9389648,1859.312256,160.0967102,1078.635742,213.9485168,1385.487793,1660173507050000.0,0.06234909573612604,0.05,0.1901990522934425,0.0995304490725593,0.1330095535936378,-1.1559149689872477,-0.6705765512161863,-0.8613432596433148
5.0,305.1025696,1860.0,160.1825409,1078.494019,213.6513214,1385.659668,1660173507066666.5,0.13070861978453166,0.0666665,0.1896790741517672,0.0995838091203987,0.1328247903240656,-1.156342532233747,-0.6704884435104359,-0.8614501125318781
6.0,304.8641052,1859.915405,160.4256134,1078.676025,213.9365082,1385.399658,1660173507083333.2,0.14654138660782304,0.08333325,0.1895308233301846,0.0997349247495205,0.1330020879727063,-1.156289940407664,-0.6706015947356627,-0.8612884670362835
7.0,304.2141113,1859.080322,160.6312561,1079.056274,213.80896,1385.55603,1660173507100000.0,0.1818337941526927,0.1,0.1891267289257424,0.0998627706637427,0.1329227925917548,-1.1557707780469946,-0.670837991559071,-0.8613856818720095
8.0,303.0993042,1859.74707,160.8763733,1078.922729,213.9403839,1385.463379,1660173507116666.5,0.2696873967414401,0.1166665,0.1884336650198466,0.1000151574614535,0.1330044974548311,-1.1561852883000492,-0.6707549680303251,-0.8613280817150449
9.0,302.2415771,1859.578003,161.0126648,1078.740479,214.0760651,1385.612671,1660173507133333.5,0.3283892582924917,0.1333335,0.1879004250592125,0.1000998884605029,0.1330888490367583,-1.156080181115696,-0.6706416651128523,-0.8614208949888742
10.0,302.1352234,1859.665039,161.9958649,1078.90271,214.1831207,1385.642334,1660173507150000.0,0.33726546424089915,0.15,0.1878343060770778,0.1007111336719688,0.1331554043827764,-1.15613429048593,-0.6707425224275549,-0.861439336165505
11.0,302.358551,1860.358521,162.2047119,1079.157593,214.4539948,1385.840088,1660173507166666.8,0.33036330475694364,0.16666675,0.1879731465085304,0.1008409716659631,0.1333238039756316,-1.1565654209869725,-0.6709009805209114,-0.8615622777575047
12.0,301.6046448,1860.37793,162.4527893,1079.400757,214.2320099,1385.77832,1660173507183333.5,-0.38432679905768635,0.1833335,0.1875044509147805,0.1009951987890308,0.1331857982867156,-1.1565774873591272,-0.6710521530346256,-0.861523877238402
13.0,301.263031,1860.640625,162.681076,1079.026733,214.4539948,1385.840088,1660173507200000.0,0.41176597088338923,0.2,0.1872920731908354,0.1011371222410487,0.1333238039756316,-1.1567408020911192,-0.670819626228563,-0.8615622777575047
14.0,301.6321716,1860.616089,163.0240936,1079.054199,214.8431396,1385.731567,1660173507216666.8,0.3852609076993307,0.21666675,0.1875215640382301,0.1013503726927609,0.1335657312247916,-1.1567255483167262,-0.670836701553289,-0.8614948113876443
