Frame #,Body Pink X,Body Pink Y,Hand Pink X,Hand Pink Y,Shoulder Green X,Shoulder Green Y,Elbow Orange X,Elbow Orange Y,Timestamp (microseconds),angles,Seconds,Body Pink X meters,Hand Pink X meters,Shoulder Green X meters,Elbow Orange X meters,Body Pink Y meters,Hand Pink Y meters,Shoulder Green Y meters,Elbow Orange Y meters
1.0,466.2660217,1266.5,544.3275757,1499.13501,322.0849915,989.2166748,363.891571,1276.524048,1660001403383330.0,0.0,0.0,-0.4881458626615166,0.5698705066299891,0.3371990424111463,0.3809674232606633,-1.3259313488182722,-1.5694829102802952,-1.035636320482503,-1.3364257818899337
2.0,466.2660217,1266.5,544.1763306,1499.281006,322.0015869,989.4333496,363.9633789,1276.741821,1660001403399996.8,-0.020295419060951805,0.01666675,-0.4881458626615166,0.5697121642537987,0.337111723995216,0.3810426007937883,-1.3259313488182722,-1.569635757239002,-1.0358631628905717,-1.3366537740317626
3.0,466.2660217,1266.5,544.1763306,1499.281006,322.0625,989.4182739,363.5739441,1276.573975,1660001403416663.5,-0.020294961809717234,0.0333335,-0.4881458626615166,0.5697121642537987,0.3371754954826568,0.3806348915086396,-1.3259313488182722,-1.569635757239002,-1.0358473797533942,-1.336478051747377
4.0,466.2660217,1266.5,544.1763306,1499.281006,322.1715698,989.3970337,363.891571,1276.524048,1660001403433330.0,-0.02029436549280001,0.05,-0.4881458626615166,0.5697121642537987,0.3372896834550447,0.3809674232606633,-1.3259313488182722,-1.569635757239002,-1.0358251428429834,-1.3364257818899337
5.0,466.2660217,1266.5,544.1763306,1499.281006,322.1715698,989.3970337,363.6919861,1276.405029,1660001403449996.8,-0.02029436549280001,0.06666675,-0.4881458626615166,0.5697121642537987,0.3372896834550447,0.3807584727074373,-1.3259313488182722,-1.569635757239002,-1.0358251428429834,-1.3363011778447658
6.0,466.2660217,1266.5,544.1763306,1499.281006,322.3280945,989.1186523,363.8658447,1276.463379,1660001403466663.2,0.020283867391699583,0.08333325,-0.4881458626615166,0.5697121642537987,0.3374535531799514,0.3809404897370477,-1.3259313488182722,-1.569635757239002,-1.0355336982119625,-1.3363622659570469
7.0,544.1246338,1499.349609,484.1169128,1656.105713,322.3519592,989.3164063,363.6236572,1276.331177,1660001403483330.0,-9.891708139481178,0.1,-0.5696580415473212,0.5068344186140086,0.3374785377467577,0.3806869374286846,-1.5697075794800783,-1.7338195671723144,-1.035740731948997,-1.3362238602908985
8.0,484.4085693,1656.231689,544.3275757,1499.13501,322.5,989.0,363.9451294,1276.506104,1660001403499996.8,0.0,0.11666675,-0.507139761287863,0.5698705066299891,0.3376335254590547,0.3810234949239499,-1.7339514546793011,-1.5694829102802952,-1.0354094780744345,-1.3364069958558846
9.0,485.2548218,1656.334473,544.3275757,1499.13501,322.6954956,988.9693604,364.0535583,1276.482178,1660001403516663.5,0.0,0.1333335,-0.5080257247452383,0.5698705066299891,0.3378381948191779,0.3811370119216822,-1.7340590618863734,-1.5694829102802952,-1.035377400690972,-1.336381947112535
10.0,485.7143555,1656.648804,544.3275757,1499.13501,322.7600708,989.0219727,364.3394775,1276.339478,1660001403533330.2,0.0,0.15000025,-0.5085068223675585,0.5698705066299891,0.3379058002530793,0.3814363480689455,-1.7343881430761132,-1.5694829102802952,-1.0354324818578913,-1.336232550820805
11.0,485.7143555,1656.648804,544.3275757,1499.13501,322.8817139,988.9892578,364.4097595,1276.199585,1660001403549996.8,0.0,0.16666675,-0.5085068223675585,0.5698705066299891,0.3380331515358725,0.3815099280982054,-1.7343881430761132,-1.5694829102802952,-1.035398231789606,-1.3360860932494034
12.0,485.7143555,1656.648804,544.3275757,1499.13501,323.1506042,989.1150513,364.473114,1276.202148,1660001403566663.5,0.0,0.1833335,-0.5085068223675585,0.5698705066299891,0.3383146596907584,0.3815762555499533,-1.7343881430761132,-1.5694829102802952,-1.0355299282326598,-1.3360887765198708
13.0,485.7143555,1656.648804,544.3275757,1499.13501,323.3421631,989.1992798,364.7168884,1276.383545,1660001403583330.2,0.0,0.20000025,-0.5085068223675585,0.5698705066299891,0.3385152076186346,0.3818314692246469,-1.7343881430761132,-1.5694829102802952,-1.0356181092106416,-1.336278685693879
14.0,485.7143555,1656.648804,544.3275757,1499.13501,323.9803772,989.4901733,365.1946106,1276.262939,1660001403599996.8,0.0,0.21666675,-0.5085068223675585,0.5698705066299891,0.3391833703367143,0.38233160885434,-1.7343881430761132,-1.5694829102802952,-1.035922653080217,-1.3361524201776882
15.0,485.7143555,1656.648804,544.3275757,1499.13501,324.0625,989.4182739,365.1946106,1276.262939,1660001403616663.5,0.0,0.2333335,-0.5085068223675585,0.5698705066299891,0.3392693468033331,0.38233160885434,-1.7343881430761132,-1.5694829102802952,-1.0358473797533942,-1.3361524201776882
16.0,485.7143555,1656.648804,544.3275757,1499.13501,324.2277222,989.3911133,365.788269,1276.689697,1660001403633330.0,0.0,0.25,-0.5085068223675585,0.5698705066299891,0.3394423221641706,0.3829531250667753,-1.7343881430761132,-1.5694829102802952,-1.035818944624304,-1.336599204078643
17.0,485.7143555,1656.648804,544.3275757,1499.13501,324.3519592,989.3164063,365.9085388,1276.628052,1660001403649996.8,0.0,0.26666675,-0.5085068223675585,0.5698705066299891,0.339572389067434,0.383079038606559,-1.7343881430761132,-1.5694829102802952,-1.035740731948997,-1.3365346663463114
18.0,485.7143555,1656.648804,544.3275757,1499.13501,324.3519592,989.3164063,366.2422485,1276.194946,1660001403666663.5,0.0,0.2833335,-0.5085068223675585,0.5698705066299891,0.339572389067434,0.3834284078545928,-1.7343881430761132,-1.5694829102802952,-1.035740731948997,-1.336081236561265
