Frame #,Body Pink X,Body Pink Y,Hand Pink X,Hand Pink Y,Elbow Orange X,Elbow Orange Y,Shoulder Green X,Shoulder Green Y,Timestamp (microseconds),angles,Seconds,Body Pink X meters,Hand Pink X meters,Elbow Orange X meters,Shoulder Green X meters,Body Pink Y meters,Hand Pink Y meters,Elbow Orange Y meters,Shoulder Green Y meters
1.0,363.6245117,1352.124512,386.1089783,1839.584961,275.6285706,1418.17981,212.7477417,1179.337891,1660787230000000.0,0.0,0.0,-0.20866928664999596,0.22157220560942661,0.15817200259291553,0.12208725778520335,-0.7759291475207057,-1.055662831279728,-0.813835590759837,-0.676773948169129
2.0,363.6203613,1351.588013,386.1150818,1839.459351,275.2018738,1417.793457,211.5597076,1179.703979,1660787230016666.8,0.0031921212850249,0.01666675,-0.20866690490459802,0.22157570815931005,0.15792713869071165,0.12140549343712936,-0.7756212726112419,-1.0555907488203427,-0.8136138785201198,-0.6769840311513075
3.0,363.6203613,1351.588013,386.1743469,1839.223145,275.1481628,1417.925903,211.1633606,1180.156738,1660787230033333.2,0.0131044318018167,0.03333325,-0.20866690490459802,0.221609717984672,0.15789631613696561,0.1211780460481478,-0.7756212726112419,-1.0554551998242312,-0.8136898838812833,-0.6772438510878477
4.0,363.6203613,1351.588013,385.8346558,1839.611206,274.316864,1417.855469,211.1071472,1180.281006,1660787230050000.0,0.0228375500809609,0.05,-0.20866690490459802,0.2214147831075182,0.15741926763773761,0.12114578746903461,-0.7756212726112419,-1.0556778922155339,-0.8136494646794336,-0.6773151634281303
5.0,363.6203613,1351.588013,385.1131592,1839.724609,274.2561035,1417.934326,211.0588226,1180.455933,1660787230066666.5,0.0838861421718487,0.0666665,-0.20866690490459802,0.22100074561555008,0.1573843996632652,0.12111805595070955,-0.7756212726112419,-1.0557429695751523,-0.8136947174976785,-0.6774155469037523
6.0,364.0871582,1351.227783,384.4859924,1840.280884,274.127594,1418.19397,211.1080475,1180.190796,1660787230083333.2,0.146681356681001,0.08333325,-0.20893478061979123,0.22064084015110622,0.15731065329900779,0.12114630411451016,-0.775414551296503,-1.0560621931249854,-0.8138437166067035,-0.6772633955859112
7.0,364.0871582,1351.227783,383.971405,1840.479858,274.127594,1418.19397,211.2562408,1180.113403,1660787230100000.0,0.1926874066827292,0.1,-0.20893478061979123,0.2203455394158091,0.15731065329900779,0.12123134620931487,-0.775414551296503,-1.0561763761937992,-0.8138437166067035,-0.6772189828975965
8.0,364.0014648,1351.135742,383.2430115,1841.009888,274.2096252,1418.199219,211.644104,1180.110229,1660787230116666.5,0.2630695546973253,0.1166665,-0.20888560467022446,0.21992754407403495,0.1573577276612586,0.12145392509125932,-0.7753617327180118,-1.0564805388078267,-0.8138467287938647,-0.6772171614683623
9.0,364.1363525,1351.20752,382.6124878,1841.109253,274.2820435,1418.428223,211.644104,1180.110229,1660787230133333.5,0.3163798395266898,0.1333335,-0.20896301122349903,0.21956571222150167,0.1573992855720022,0.12145392509125932,-0.7754029231866827,-1.0565375603314062,-0.8139781448557153,-0.6772171614683623
10.0,364.4269409,1351.401367,382.5736084,1841.530273,274.3745117,1418.423584,211.9935455,1179.666626,1660787230150000.0,0.3281604037747195,0.15,-0.2091297680624516,0.219543400918489,0.1574523493031616,0.12165445532556615,-0.7755141640791631,-1.0567791665494652,-0.8139754827226917,-0.6769625957870418
11.0,364.4269409,1351.401367,382.7211609,1841.860107,274.8901367,1418.781616,212.4525452,1179.816772,1660787230166666.8,0.3231421248619665,0.16666675,-0.2091297680624516,0.21962807528429143,0.1577482454748082,0.1219178565454778,-0.7755141640791631,-1.056968444838685,-0.8141809426948168,-0.6770487584567882
12.0,364.5,1351.5,383.0844421,1842.108398,275.1685181,1418.971558,212.8045197,1179.9198,1660787230183333.5,0.2988657158977894,0.1833335,-0.20917169370219746,0.2198365475583495,0.15790799721399387,0.12211984036524456,-0.7755707655377774,-1.0571109289237357,-0.8142899426669572,-0.6771078820267711
13.0,364.3997192,1351.304443,383.5898132,1842.119751,275.1690369,1419.120605,213.262558,1179.911011,1660787230200000.0,0.2580365051405831,0.2,-0.20911414663832417,0.22012655943471476,0.15790829493216862,0.122382689876881,-0.7754585433459933,-1.0571174439477098,-0.8143754746653968,-0.6771028383778933
14.0,364.3997192,1351.304443,384.2824097,1842.181396,275.3652344,1419.120605,213.1548615,1180.372681,1660787230216666.8,0.2033159425385114,0.21666675,-0.20911414663832417,0.22052401233720373,0.15802088468079728,0.12232088724502695,-0.7754585433459933,-1.0571528195006819,-0.8143754746653968,-0.6773677719741389
15.0,364.3682556,1351.719116,384.5820007,1842.276001,275.3714294,1419.270264,213.1501312,1180.330811,1660787230233333.2,0.1809823440991902,0.23333325,-0.20909609096067816,0.22069593540136814,0.15802443973880137,0.1223181727186546,-0.7756965072794434,-1.0572071094542694,-0.8144613578656925,-0.6773437444876772
16.0,364.1363525,1351.663696,385.3633118,1842.176147,275.4148865,1419.289551,212.6587982,1180.75061,1660787230250000.0,0.1157307829253087,0.25,-0.20896301122349903,0.22114429799696575,0.15804937799726607,0.12203621673571419,-0.7756647040002528,-1.0571498073135206,-0.8144724258888927,-0.6775846500236017
17.0,364.2306519,1351.883057,385.8333435,1842.373169,275.381958,1419.381958,212.3897095,1180.933838,1660787230266666.8,0.0819126635452128,0.26666675,-0.20901712580570234,0.22141403003203494,0.15803048167321648,0.12188179769830644,-0.775790586337433,-1.0572628702090943,-0.8145254544998664,-0.6776897971047914
