Timestamp (microseconds),Accel X (g),Accel Y (g),Accel Z (g),vel x (m/s),vel y (m/s),vel z (m/s),disp x (m),disp y (m),disp z (m),stamp velocity (m/s)
1660006100176483,-0.9964141298542764,-0.1032120241092547,-0.034973678187228,0.0,0.0,0.0,0.000333990441821,-0.0003730417884348,-0.5693984575478978,
1660006100192483,-0.9936064698252842,-0.1034561684596018,-0.0355840390630959,-8.93443437357165e-06,-7.667049841869073e-05,-0.0001200238418852,0.0004799809595331,-0.0006309206510505,-0.5693817663699677,0.0185503258127664
1660006100208482,-0.9958037689784084,-0.101991302357519,-0.037537193865873,-1.979163020171853e-05,-9.980410500994035e-05,-0.00017906145951,0.0006308165525492,-0.0009220853158668,-0.5693651678449755,0.020520925789874495
1660006100224482,-0.9981231403067063,-0.1021133745326925,-0.0353398947127487,-3.800538748073097e-05,-8.945499876478412e-05,-0.000139973576787,0.0007864836950501,-0.0012462246373304,-0.5693487280583608,0.022497293722420757
1660006100240482,-0.9986114290074006,-0.1000381475547418,-0.0309452964065002,-7.220439543895814e-05,-8.639392198388289e-05,5.040926412546327e-05,0.0009461865430051,-0.0015732854647915,-0.5693326427643254,0.022770296679957683
1660006100256482,-0.9949492637521936,-0.1013809414816511,-0.0322880903334095,-0.0001313669083534,-0.0001349929655238,0.0004451709360509,0.0011081145949686,-0.0018865884284175,-0.5693172585042278,0.022063129991738324
1660006100272482,-0.9950713359273672,-0.1057755397878997,-0.0308232242313266,-0.0002218220039249,-0.0002672472295074,0.0010812345751323,0.0012695682871087,-0.0021838717990232,-0.5693030383556033,0.021162218487058054
1660006100288481,-0.9977569237811856,-0.1073624780651561,-0.0283817807278552,-0.0003448505302288,-0.0004982042073572,0.001972144393608,0.0014273200313623,-0.0024614472654637,-0.5692905059405601,0.019969783209922036
1660006100304481,-0.9967803463797972,-0.1091935606927597,-0.0261844815747309,-0.0004955759477122,-0.0008258915685713,0.0031060768398459,0.0015780441877453,-0.002721018097644,-0.5692801484792318,0.018771036661539394
1660006100320481,-1.006668192568856,-0.1072404058899825,-0.0216678110933088,-0.00066360034335,-0.0012311854324918,0.0044465554500215,0.0017187535333669,-0.0029720371727042,-0.5692723188632591,0.017992077127388
