Frame #,Shoulder Pink X,Shoulder Pink Y,Hand Pink X,Hand Pink Y,Elbow Green X,Elbow Green Y,Timestamp (microseconds),angles,Seconds,Shoulder Pink X meters,Hand Pink X meters,Elbow Green X meters,Shoulder Pink Y meters,Hand Pink Y meters,Elbow Green Y meters,angular velocity,Shoulder Pink m/s,Hand Pink m/s,Elbow Green m/s
1.0,232.337738,1028.522583,877.5488892,1178.045898,528.5878296,1180.412231,1658967320510000.0,152.46692343680323,0.0,0.2263662738229242,0.8549944311915881,0.5150022480407329,-1.002087851334936,-1.1477681698125195,-1.150073684140262,,,,
2.0,232.6316986,1028.44043,877.6268921,1178.134521,528.6200562,1180.555542,1658967320526666.8,152.40289523486248,0.01666675,0.2266526791492632,0.8550704292880333,0.5150336463638069,-1.0020078098029257,-1.147854515054828,-1.150213311810511,-3.841672908080079,0.01784277915816064,0.006901620209590037,0.008586865992180974
3.0,232.6316986,1028.44043,877.6268921,1178.134521,528.701416,1180.46875,1658967320543333.2,152.4367450222691,0.03333325,0.2266526791492632,0.8550704292880333,0.5151129150823694,-1.0020078098029257,-1.147854515054828,-1.1501287505084736,2.0310075544721005,0.0,0.0,0.006954345171275294
4.0,232.6316986,1028.414185,877.7988892,1177.983643,528.7789307,1180.438721,1658967320560000.0,152.42368455537047,0.05,0.2266526791492632,0.8552380057780624,0.5151884375263622,-1.0019822393428377,-1.147707514868996,-1.1500994933034447,-0.7836240957968578,0.0015342276052798809,0.013374878119913098,0.004859490192796221
5.0,232.6226654,1028.367432,877.7555542,1178.033325,528.7789307,1180.438721,1658967320576666.5,152.42534278550932,0.0666665,0.226643878117445,0.855195784559243,0.5151884375263622,-1.001936687972272,-1.147755919959417,-1.1500994933034447,0.0994948032786679,0.002783628545142389,0.0038538893017494116,0.0
6.0,232.7234955,1028.427368,877.786499,1178.084229,528.6600952,1180.389404,1658967320593333.2,152.4414162965366,0.08333325,0.2267421167170917,0.8552259340266972,0.5150726562952783,-1.0019950835179314,-1.1478055156424165,-1.1500514438319205,0.9644058396080052,0.0068570477589331375,0.0034824416399798063,0.007521340483334052
7.0,232.7234955,1028.427368,877.6452026,1177.914185,528.5825195,1180.41748,1658967320610000.0,152.39842263016922,0.1,0.2267421167170917,0.8550882691778958,0.5149970744190865,-1.0019950835179314,-1.1476398420544869,-1.1500787982322795,-2.5796070840073786,0.0,0.012924304778159517,0.004822777168774463
8.0,232.6290283,1028.379517,877.7362671,1177.972534,528.6638184,1180.057007,1658967320626666.5,152.52890862955348,0.1166665,0.2266500774803902,0.8551769931696158,0.5150762838028797,-1.001948462367782,-1.1476966913886713,-1.149727589984639,7.829238255438312,0.006190404658978258,0.006322472349814694,0.021601779900964308
9.0,232.8914948,1028.210327,877.7362671,1177.972534,528.7074585,1180.391113,1658967320643333.5,152.37968878161476,0.1333335,0.2269057981571936,0.8551769931696158,0.5151188022801245,-1.0017836208306397,-1.1476966913886713,-1.1500531089077932,-8.953011816087132,0.018254776604602917,0.0,0.019697040510165797
10.0,232.8008728,1028.222168,877.7362671,1177.972534,528.701416,1180.46875,1658967320660000.0,152.36353989054234,0.15,0.2268175052924917,0.8551769931696158,0.5151129150823694,-1.0017951574973534,-1.1476966913886713,-1.1501287505084736,-0.9689431537766652,0.0053426031754267665,0.0,0.004552221332849126
