Timestamp (microseconds),Gyro X (°/s),Gyro Y (°/s),Gyro Z (°/s)
1660870092443176,0.45777065690094787,-0.45777065690094787,0.5188067444876197
1660870092459173,0.33569848172737693,-0.6408789196611906,1.1902037079423735
1660870092475170,0.03051804379333589,-0.15259021896690683,1.0681315327688026
1660870092491167,0.15259021896690683,0.5798428320745188,0.5188067444876197
1660870092507164,0.5798428320745188,0.45777065690094787,0.6408789196611906
1660870092523161,0.7019150072480898,0.213626306553806,1.0070954451819034
1660870092539157,0.5798428320745188,-0.03051804379333589,1.3733119707026162
1660870092555154,0.213626306553806,0.03051804379333589,1.4953841458761872
1660870092571151,-0.213626306553806,0.5798428320745188,1.0681315327688026
1660870092587148,0.09155413138023505,1.2512397955290453,0.45777065690094787
1660870092603145,0.8239871824216607,0.9460593575952316,0.45777065690094787
1660870092619142,1.4953841458761872,-0.15259021896690683,0.7629510948347615
1660870092635139,1.8616006713969,-0.3967345693140487,1.0070954451819034
1660870092651136,1.3733119707026162,0.03051804379333589,1.3733119707026162
1660870092667133,0.7019150072480898,0.7629510948347615,1.6784924086366573
1660870092683130,0.5798428320745188,1.1902037079423735,1.6174563210497581
1660870092699127,0.8239871824216607,1.0681315327688026,1.1902037079423735
1660870092715124,1.1291676203554744,0.7019150072480898,0.9460593575952316
1660870092731121,1.1291676203554744,0.5188067444876197,0.9460593575952316
1660870092747118,1.0681315327688026,0.2746623941404778,1.1291676203554744
1660870092763122,0.8850232700083325,0.2746623941404778,1.2512397955290453
1660870092779119,0.8850232700083325,0.2746623941404778,1.0070954451819034
1660870092795116,1.3122758831159445,-0.03051804379333589,0.8239871824216607
1660870092811113,1.2512397955290453,-0.45777065690094787,1.4343480582895154
1660870092827110,0.2746623941404778,0.2746623941404778,1.8005645838102282
1660870092843107,-0.09155413138023505,0.7019150072480898,1.3733119707026162
1660870092859104,-0.15259021896690683,0.3967345693140487,0.8239871824216607
1660870092875101,0.15259021896690683,0.03051804379333589,0.6408789196611906
1660870092891098,0.5798428320745188,-0.33569848172737693,0.9460593575952316
1660870092907095,0.3967345693140487,-0.7019150072480898,1.2512397955290453
1660870092923092,0.2746623941404778,-0.33569848172737693,1.0681315327688026
1660870092939088,0.7019150072480898,-0.15259021896690683,0.5798428320745188
1660870092955085,0.9460593575952316,-0.3967345693140487,0.45777065690094787
1660870092971082,0.8850232700083325,-0.5188067444876197,0.5798428320745188
1660870092987079,0.5798428320745188,-0.3967345693140487,0.6408789196611906
1660870093003076,0.2746623941404778,-0.15259021896690683,0.5798428320745188
1660870093019073,0.15259021896690683,0.03051804379333589,0.5188067444876197
1660870093035070,0.09155413138023505,0.09155413138023505,0.3967345693140487
1660870093051067,-0.03051804379333589,0.09155413138023505,0.2746623941404778
1660870093067064,0.09155413138023505,-0.03051804379333589,0.2746623941404778
1660870093083068,0.3967345693140487,-0.15259021896690683,0.2746623941404778
1660870093099065,0.7019150072480898,-0.2746623941404778,0.33569848172737693
1660870093115062,0.8239871824216607,-0.33569848172737693,0.5188067444876197
1660870093131059,0.6408789196611906,-0.213626306553806,0.5188067444876197
1660870093147056,0.7629510948347615,0.09155413138023505,0.33569848172737693
1660870093163053,0.8850232700083325,0.15259021896690683,0.213626306553806
1660870093179050,1.0681315327688026,-0.03051804379333589,0.213626306553806
1660870093195047,1.3733119707026162,-0.33569848172737693,0.2746623941404778
1660870093211044,1.8005645838102282,-0.45777065690094787,0.15259021896690683
1660870093227041,2.5940337224383256,-1.0070954451819034,-0.2746623941404778
1660870093243038,3.2043945983061803,-0.9460593575952316,-0.7629510948347615
1660870093259035,3.4485389486533222,-1.0681315327688026,-0.8239871824216607
1660870093275032,3.5095750362402214,-1.6174563210497581,-0.3967345693140487
1660870093291029,3.1433585107195086,-1.5564202334630863,-0.2746623941404778
1660870093307026,2.410925459678083,-1.1902037079423735,-1.0070954451819034
1660870093323022,2.105745021744042,-0.7019150072480898,-1.6174563210497581
1660870093339019,1.8005645838102282,-0.3967345693140487,-1.3733119707026162
1660870093355016,1.6784924086366573,-0.5798428320745188,-0.5188067444876197
1660870093371013,1.2512397955290453,-0.8239871824216607,0.09155413138023505
1660870093387010,0.8850232700083325,-0.3967345693140487,0.15259021896690683
1660870093402832,0.7629510948347615,0.33569848172737693,-0.3967345693140487
1660870093418828,0.8850232700083325,0.7629510948347615,-1.0070954451819034
1660870093434824,1.2512397955290453,0.7019150072480898,-0.9460593575952316
1660870093450820,1.5564202334630863,0.15259021896690683,-0.2746623941404778
1660870093466816,1.983672846570471,0.15259021896690683,0.03051804379333589
1660870093482812,2.4719615472647547,0.33569848172737693,-0.03051804379333589
1660870093498808,2.655069810025225,0.6408789196611906,-0.2746623941404778
1660870093514804,2.410925459678083,0.8850232700083325,-0.2746623941404778
1660870093530799,1.983672846570471,0.7629510948347615,-0.15259021896690683
1660870093546795,1.6784924086366573,0.45777065690094787,-0.15259021896690683
1660870093562791,1.5564202334630863,-0.03051804379333589,-0.33569848172737693
1660870093578787,1.4343480582895154,-0.7019150072480898,-0.7629510948347615
1660870093594783,1.1902037079423735,-0.7629510948347615,-1.1291676203554744
1660870093610779,0.8850232700083325,-0.5188067444876197,-1.1291676203554744
1660870093626775,0.7019150072480898,-0.45777065690094787,-0.8850232700083325
1660870093642771,0.6408789196611906,-0.5798428320745188,-0.7629510948347615
1660870093658767,0.7629510948347615,-0.3967345693140487,-1.1291676203554744
1660870093674763,1.1291676203554744,-0.213626306553806,-1.739528496223329
1660870093690759,2.105745021744042,-0.5188067444876197,-2.04470893415737
