Frame #,Arm Pink X,Arm Pink Y,Leg Pink X,Leg Pink Y,Shoulder Orange X,Shoulder Orange Y,Back Orange X,Back Orange Y,Neck Green X,Neck Green Y,Timestamp (microseconds),angles,Seconds,Arm Pink X meters,Leg Pink X meters,Shoulder Orange X meters,Back Orange X meters,Neck Green X meters,Arm Pink Y meters,Leg Pink Y meters,Shoulder Orange Y meters,Back Orange Y meters,Neck Green Y meters,angular velocity
1.0,371.8444519,1237.0,460.5,1697.5,416.6515198,1072.348511,521.6825562,1241.682495,535.5,1017.159424,1660879793000000.0,0.0,0.0,0.4545819325231393,0.5629638383933775,0.5093588248839138,0.6377598572447792,0.6546517599558168,-1.5122394529698326,-2.07520329136321,-1.3109520821888878,-1.5179638294268527,-1.2434831131227728,
2.0,371.8444519,1237.0,460.4153137,1697.174805,416.6515198,1072.348511,521.5,1241.5,535.5,1017.5,1660879793016666.8,0.0054152469144624,0.01666675,0.4545819325231393,0.56286030891562,0.5093588248839138,0.6375366812641614,0.6546517599558168,-1.5122394529698326,-2.074805738647844,-1.3109520821888878,-1.5177407282635789,-1.2438994691970937,0.3249131903017925
3.0,371.6913452,1235.864258,459.3743591,1696.420532,416.6231995,1072.0,519.8619385,1241.612793,534.5,1017.219727,1660879793033333.2,0.2531118604272553,0.03333325,0.4543947587218021,0.5615877360660885,0.5093242031579801,0.6355341418731421,0.6534292543349842,-1.510851001991017,-2.0738836356657013,-1.310526025532466,-1.5178786183400694,-1.243556833879226,14.861945430221876
4.0,371.0,1235.666626,458.5,1695.298828,416.6231995,1072.0,519.8619385,1241.612793,534.5,1017.219727,1660879793050000.0,0.2531118604272553,0.05,0.4535495853288665,0.5605188271517124,0.5093242031579801,0.6355341418731421,0.6534292543349842,-1.5106093957601603,-2.072512346220791,-1.310526025532466,-1.5178786183400694,-1.243556833879226,0.0
5.0,370.6581116,1235.222168,457.1111145,1694.888916,415.2873535,1071.287354,518.0844116,1240.603394,533.0370483,1016.716064,1660879793066666.5,0.6358099605540325,0.0666665,0.453131624838169,0.5588209068212696,0.5076911239144135,0.633361105246711,0.6516407876587278,-1.5100660433569366,-2.0720112264967443,-1.3096548117918023,-1.5166446223889067,-1.2429411030307205,22.962115628762916
6.0,369.5,1235.0,456.0,1694.376831,414.5,1070.5,516.7401733,1240.5,532.5,1017.5,1660879793083333.2,0.7588955506135064,0.08333325,0.4517158268976177,0.557462563099631,0.5067285798350813,0.6317177663692227,0.6509842430933191,-1.5097944417281677,-2.0713851997059,-1.308692267101217,-1.5165182226427465,-1.2438994691970937,7.385098478076049
7.0,368.6581116,1234.222168,454.9074097,1694.036987,413.8692932,1070.601318,515.5,1240.5,532.0,1017.5,1660879793100000.0,0.8854870433457444,0.1,0.450686613596504,0.556126865316614,0.505957537226984,0.6302016475391663,0.650372990282903,-1.508843537736104,-2.0709697385056938,-1.3088161289257088,-1.5165182226427465,-1.2438994691970937,7.5954515866763375
8.0,367.5,1233.5,454.222229,1693.341919,413.1768799,1070.278931,514.3966064,1240.084351,531.0,1015.5,1660879793116666.5,1.1796892300353092,0.1166665,0.4492708156559526,0.555289228059578,0.5051110580757948,0.6288527426611756,0.6491504846620704,-1.5079606832969188,-2.070120013968833,-1.3084220090061256,-1.516010089403953,-1.2414544579554283,17.652307724451138
9.0,366.0,1233.333374,453.2592468,1693.592651,412.2787781,1070.278809,512.8977051,1240.102295,531.0,1015.5,1660879793133333.5,1.1810421809367084,0.1333335,0.4474370572247039,0.5541119769073164,0.5040131235772151,0.6270203273968525,0.6491504846620704,-1.507756982075342,-2.0704265352481555,-1.3084218598604396,-1.516032026044813,-1.2414544579554283,0.08117543057534037
10.0,364.829071,1232.906006,452.829071,1692.906006,411.1555481,1070.0,511.5808716,1239.580811,530.5,1015.5,1660879793150000.0,1.311948415541321,0.15,0.446005589940608,0.5535860845738703,0.5026399685887273,0.6254104910414019,0.6485392318516542,-1.5072345222931778,-2.069587107876139,-1.308081014290801,-1.5153945089236391,-1.2414544579554283,7.854452620802963
11.0,363.5,1232.5,453.0,1692.5,410.7106934,1068.836426,510.5714417,1239.277832,530.1358032,1015.691345,1660879793166666.8,1.402780176910816,0.16666675,0.4443807931726226,0.5537950462371335,0.5020961312175236,0.6241764573148154,0.648093999216565,-1.5067381776760862,-2.069090763259048,-1.3066585385355465,-1.5150241153931447,-1.2416883782934467,5.449878432777527
12.0,361.6666565,1232.0,452.8639526,1692.278931,409.6913452,1068.864258,508.5,1239.0,528.9000244,1015.5,1660879793183333.5,1.7240464851410928,0.1833335,0.4421395204389558,0.5536287275259338,0.500849972313438,0.6216441081933386,0.6465832526874593,-1.50612692486567,-2.068820505163956,-1.3066925633119857,-1.5146844642114976,-1.2414544579554283,19.275882114406034
13.0,361.5,1231.5,453.0,1691.623169,408.5,1068.5,507.5,1238.5,528.0,1015.333313,1660879793200000.0,1.961291039729846,0.2,0.4419357819309575,0.5537950462371335,0.4993935461100862,0.6204216025725061,0.6454829677995728,-1.5055156720552536,-2.068018832433028,-1.306247255859552,-1.5140732114010813,-1.2412506821610088,14.234815623481424
14.0,359.5,1231.5,452.3986816,1690.869263,407.1418457,1068.390015,506.0270386,1238.418945,527.5357056,1015.369019,1660879793216666.8,2.079448699390442,0.21666675,0.4394907706892925,0.5530599311132235,0.4977331948443783,0.6186208989817368,0.6449153652858518,-1.5055156720552536,-2.067097178110448,-1.306112798578845,-1.5139741212079847,-1.241294332946706,7.089424132515119
15.0,358.5,1231.5,452.5,1691.5,406.5,1068.5,504.7402039,1238.5,526.0,1015.5,1660879793233333.2,2.46588896739653,0.23333325,0.4382682650684599,0.5531837934267172,0.4969485348684211,0.6170477363279044,0.6430379565579077,-1.5055156720552536,-2.067868257638215,-1.306247255859552,-1.5140732114010813,-1.2414544579554283,23.18664794684474
16.0,357.5,1231.5,451.6095276,1692.0,404.777771,1068.341919,503.5,1238.5,525.0,1015.333313,1660879793250000.0,2.7235335890289147,0.25,0.4370457594476274,0.552095185912521,0.4948431002355603,0.615531580089176,0.6418154509370753,-1.5055156720552536,-2.068479510448632,-1.306054000948505,-1.5140732114010813,-1.2412506821610088,15.458600004943047
17.0,356.1594238,1231.289795,450.7210999,1691.863892,404.2787781,1068.278809,502.5,1238.810181,524.0,1015.192993,1660879793266666.8,2.9762518122918658,0.26666675,0.4354068975079732,0.5510090780555678,0.4942330786105548,0.6143090744683435,0.6405929453162428,-1.5052586952612266,-2.068313117653591,-1.3059768486187746,-1.5144524094170568,-1.2410791401722936,15.16301758068915
18.0,355.5,1231.5,450.3650818,1691.769897,402.777771,1068.341919,501.6278992,1238.581421,523.0888672,1015.744446,1660879793283333.2,3.196342461742388,0.28333325,0.4346007482059624,0.5505738439271995,0.4923980889938952,0.6132429263384109,0.6394790803469178,-1.5055156720552536,-2.068198208237761,-1.306054000948505,-1.514172749031235,-1.2417532945644183,13.205571022741578
19.0,354.0,1231.5,449.5,1691.5,401.7583313,1068.5,500.5,1239.0,521.8581543,1015.609924,1660879793300000.0,3.5043020388874067,0.3,0.4327669897747136,0.5495162765642196,0.4911518182305455,0.6118640632266784,0.6379745269090368,-1.5055156720552536,-2.067868257638215,-1.306247255859552,-1.5146844642114976,-1.241588840663293,18.47748224128991
