Frame #,Arm Pink X,Arm Pink Y,Back Pink X,Back Pink Y,Shoulder Orange X,Shoulder Orange Y,Leg Orange X,Leg Orange Y,Neck Green X,Neck Green Y,Timestamp (microseconds),angles,Seconds,Arm Pink X meters,Back Pink X meters,Shoulder Orange X meters,Leg Orange X meters,Neck Green X meters,Arm Pink Y meters,Back Pink Y meters,Shoulder Orange Y meters,Leg Orange Y meters,Neck Green Y meters
1.0,331.2988586,998.5,509.0,1018.0,359.8888855,870.5166626,413.7976685,1400.532349,508.6231995,868.0,1660006262000000.0,0.0,0.0,0.4196438968851992,0.6447312991574743,0.4558578167008851,0.5241420597256167,0.6442540200299925,1.264762676245065,1.2894625983149486,1.1026509603464179,1.7740020449564622,1.0994631977773826
2.0,331.0,998.5,508.8977356,1018.102295,360.0606079,870.2640991,413.7433472,1400.768311,508.6000061,868.5166626,1660006262016666.8,0.0092456862249299,0.01666675,0.4192653438528959,0.6446017646594987,0.4560753310546109,0.5240732529627072,0.6442246418160164,1.264762676245065,1.2895921715728018,1.1023310475891,1.7743009292134597,1.100117635005917
3.0,330.5,998.5,508.7857056,1018.0,359.6036072,870.4865112,413.5603943,1400.220581,508.1360474,868.2789307,1660006262033333.2,0.1865391655893949,0.03333325,0.41863201251777066,0.6444598604405506,0.4554964653276426,0.5238415133538631,0.6436369626501884,1.264762676245065,1.2894625983149486,1.102612768693582,1.7736071400690834,1.0998165088826595
4.0,330.3765564,998.3703613,508.2731018,1018.188782,359.6036072,870.4865112,413.5603943,1400.220581,507.7011414,868.5,1660006262050000.0,0.3524850794140122,0.05,0.41847565111776935,0.6438105643424621,0.4554964653276426,0.5238415133538631,0.6430860834549205,1.2645984677431552,1.2897017214271638,1.102612768693582,1.7736071400690834,1.1000965291125078
5.0,330.0,998.5,507.9166565,1018.269836,358.6871643,870.6871948,413.1789551,1399.942139,507.5,868.5,1660006262066666.5,0.4287881742234248,0.0666665,0.41799868118264544,0.6433590683869658,0.45433564131679655,0.523358358558253,0.6428313051520986,1.264762676245065,1.2898043895032383,1.1028669671182336,1.7732544479818535,1.1000965291125078
6.0,329.7261963,998.3928833,508.0,1018.300842,359.0,871.0814209,413.4325256,1399.470215,507.5,868.5,1660006262083333.2,0.4288059774149698,0.08333325,0.417651864256879,0.6434646364872239,0.4547318986199082,0.5236795468448797,0.6428313051520986,1.2646269955198146,1.289843663645992,1.103366318602742,1.7726566794678584,1.1000965291125078
7.0,329.8624268,998.6772461,508.0,1018.5,359.0,871.0814209,412.7911987,1399.864502,507.5,868.5,1660006262100000.0,0.4282376965355563,0.1,0.4178244223457785,0.6434646364872239,0.4547318986199082,0.5228672020012222,0.6428313051520986,1.2649871872633824,1.2900959296500738,1.103366318602742,1.7731561080921232,1.1000965291125078
8.0,329.6856995,998.9000244,507.1774902,1018.619019,359.0,871.0814209,412.7911987,1399.864502,507.0,868.5,1660006262116666.5,0.6176763340211888,0.1166665,0.41760056847205435,0.6424227940276487,0.4547318986199082,0.5228672020012222,0.6421979738169734,1.2652693722197343,1.2902466865744242,1.103366318602742,1.7731561080921232,1.1000965291125078
9.0,330.0,999.5,506.9166565,1018.730164,359.0,871.0814209,412.7911987,1399.864502,507.0,868.5,1660006262133333.5,0.6168799137790986,0.1333335,0.41799868118264544,0.6420924057167153,0.4547318986199082,0.5228672020012222,0.6421979738169734,1.2660293389153154,1.2903874697969093,1.103366318602742,1.7731561080921232,1.1000965291125078
10.0,330.5857239,999.7761841,507.0,1019.0,358.6666565,871.5454712,412.7911987,1399.864502,506.7011414,868.5,1660006262150000.0,0.7296629180524532,0.15,0.4187405957818489,0.6421979738169734,0.45430966485208757,0.5228672020012222,0.64181942078467,1.2663791710049022,1.290729260985199,1.1039541137948705,1.7731561080921232,1.1000965291125078
