Frame #,Hand Pink X,Hand Pink Y,Elbow Pink X,Elbow Pink Y,Head X,Head Y,Shoulder X,Shoulder Y,Timestamp (microseconds),angles,Seconds,Hand Pink X meters,Elbow Pink X meters,Head X meters,Shoulder X meters,Hand Pink Y meters,Elbow Pink Y meters,Head Y meters,Shoulder Y meters,angular velocity,Hand Pink m/s,Elbow Pink m/s,Head m/s,Shoulder m/s
1.0,885.3101196,1126.882813,651.7590332,1160.5,259.0055237,1104.666626,409.5,1131.5,1658800582111670.0,0.0,0.0,1.1255940577941708,0.8286543648852172,0.3293027742010996,0.5206432824635171,-1.4327325194433254,-1.4754738200217623,-1.4044865889829998,-1.438602867173308,,,,,
2.0,885.118042,1126.25354,651.5,1160.146362,259.0055237,1104.666626,409.5,1131.5,1658800582128336.8,0.0760223233264449,0.01666675,1.1253498479964863,0.8283250269230316,0.3293027742010996,0.5206432824635171,-1.4319324540946423,-1.475024200365782,-1.4044865889829998,-1.438602867173308,4.5613165930037285,0.050190385083343135,0.03344004758024746,0.0,0.0
3.0,885.2396851,1126.328857,652.0701904,1160.013184,259.0055237,1104.666626,409.5,1131.5,1658800582145003.2,0.0667910134366297,0.03333325,1.125504506513881,0.8290499739352054,0.3293027742010996,0.5206432824635171,-1.4320282130448383,-1.4748548762361804,-1.4044865889829998,-1.438602867173308,-0.5538841322302344,0.010914234776803904,0.044667525035204,0.0,0.0
4.0,884.7792358,1126.049683,652.0701904,1160.013184,259.0055237,1104.666626,409.5,1131.5,1658800582161670.0,0.1010450297555879,0.05,1.124919085671488,0.8290499739352054,0.3293027742010996,0.5206432824635171,-1.431673267824476,-1.4748548762361804,-1.4044865889829998,-1.438602867173308,2.055230702983977,0.04107716177875991,0.0,0.0,0.0
5.0,884.5032959,1125.782959,652.0701904,1160.013184,259.0055237,1104.666626,409.6610718,1131.338989,1658800582178336.5,0.1336086140608854,0.0666665,1.1245682523252152,0.8290499739352054,0.3293027742010996,0.520848071109828,-1.4313341516855949,-1.4748548762361804,-1.4044865889829998,-1.438398155828857,1.953834596663816,0.029276298485693686,0.0,0.0,0.017373613531364972
6.0,884.2823486,1125.353516,652.0701904,1160.013184,259.0055237,1104.666626,409.5710144,1131.237671,1658800582195003.2,0.1856938956273992,0.08333325,1.1242873372396878,0.8290499739352054,0.3293027742010996,0.5207335710357227,-1.430788152630281,-1.4748548762361804,-1.4044865889829998,-1.4382693388909018,3.125101268484488,0.03684157587902119,0.0,0.0,0.010340921318111313
7.0,884.2823486,1125.353516,652.0701904,1160.013184,259.0055237,1104.666626,409.4098511,1131.40979,1658800582211670.0,0.1856738763419392,0.1,1.1242873372396878,0.8290499739352054,0.3293027742010996,0.5205286660551985,-1.430788152630281,-1.4748548762361804,-1.4044865889829998,-1.4384881730817058,-0.0012011511218459,0.0,0.0,0.0,0.017987441029520768
8.0,883.977417,1125.19043,652.0701904,1160.013184,259.0055237,1104.666626,409.4098511,1131.40979,1658800582228336.5,0.2058298261798361,0.1166665,1.1238996434932875,0.8290499739352054,0.3293027742010996,0.5205286660551985,-1.430580803105583,-1.4748548762361804,-1.4044865889829998,-1.4384881730817058,1.2093690839646551,0.026379555701434944,0.0,0.0,0.0
9.0,883.977417,1125.19043,652.0701904,1160.013184,259.0055237,1104.666626,409.4098511,1131.40979,1658800582245003.5,0.2058298261798361,0.1333335,1.1238996434932875,0.8290499739352054,0.3293027742010996,0.5205286660551985,-1.430580803105583,-1.4748548762361804,-1.4044865889829998,-1.4384881730817058,0.0,0.0,0.0,0.0,0.0
10.0,883.977417,1125.19043,651.6398926,1159.834595,259.0055237,1104.666626,409.4098511,1131.40979,1658800582261670.0,0.2058298261798361,0.15,1.1238996434932875,0.8285028880767712,0.3293027742010996,0.5205286660551985,-1.430580803105583,-1.4746278160086546,-1.4044865889829998,-1.4384881730817058,0.0,0.0,0.03554002560947342,0.0,0.0
11.0,883.977417,1125.19043,651.6398926,1159.834595,259.0055237,1104.666626,409.4098511,1131.40979,1658800582278336.8,0.2058298261798361,0.16666675,1.1238996434932875,0.8285028880767712,0.3293027742010996,0.5205286660551985,-1.430580803105583,-1.4746278160086546,-1.4044865889829998,-1.4384881730817058,0.0,0.0,0.0,0.0,0.0
