Timestamp (microseconds),Accel X (g),Accel Y (g),Accel Z (g),vel x (m/s),vel y (m/s),vel z (m/s),disp x (m),disp y (m),disp z (m),vel x (m/s),vel y (m/s),vel z (m/s),disp x (m),disp y (m),disp z (m)
1658795762912597,-0.08160524910353262,-0.508369573510338,0.8903334096284432,0,0,0,-0.0006348370656845338,7.561997643441094e-05,-0.6343218007094484,0,0,0,-0.00063483605579323,7.56199187308668e-05,-0.6343218154498074
1658795762928596,-0.08062867170214405,-0.5081254291599908,0.8982681010147253,9.195348517742504e-06,-0.0002835457549007906,-9.659593798405866e-05,-0.000530747052645567,8.817494678412427e-05,-0.6346017364964235,9.188482535035767e-06,-0.0002835458709916622,-9.659830425767984e-05,-0.0005307462988785311,8.817540290792243e-05,-0.6346017501459342
1658795762944594,-0.07928587777523477,-0.5104448004882887,0.8975356679636839,-8.962276901045048e-05,-0.0006390872987660707,-0.0001522948387256402,-0.0004286661865373553,0.0001143788578561091,-0.6348821120100073,-8.963659198950973e-05,-0.0006390875311117859,-0.0001522995629171124,-0.0004286656815138167,0.0001143798128140689,-0.634882124581271
1658795762960592,-0.08172732127870619,-0.5089799343862058,0.8891126878767075,-0.0002791151273391873,-0.001058918361547715,-0.0001812130723493273,-0.0003298215586492103,0.0001479742431036209,-0.6351644103945884,-0.0002791359980284484,-0.001058918710283219,-0.0001812201458779034,-0.0003298212950918686,0.0001479756820783741,-0.6351644219003831
1658795762976591,-0.08075074387731762,-0.5128862439917601,0.8878919661249718,-0.0005289333818011735,-0.001521216019609865,-0.0001969449664083772,-0.0002351254186189646,0.0001881429194020578,-0.6354497317657964,-0.0005289613906071934,-0.001521216484841117,-0.0001969543804684384,-0.0002351253893532328,0.00018814482775147,-0.6354497422190734
1658795762992589,-0.08026245517662334,-0.5127641718165865,0.8888685435263604,-0.0008036686440151548,-0.00198087701009179,-0.0001983126746628269,-0.0001449773465214606,0.0002224208155281462,-0.6357386477558352,-0.0008037038810297033,-0.001980877591895805,-0.0001983244202240012,-0.0001449775444747365,0.0002224231787844814,-0.635738657169713
1658795763008587,-0.07928587777523477,-0.5089799343862058,0.8924086366063939,-0.00107058318070583,-0.002387768183427883,-0.0001786289847651237,-5.914927192098631e-05,0.0002506185499370899,-0.6360311852585924,-0.001070625735698395,-0.002387768881852762,-0.0001786430525724176,-5.914969012194768e-05,0.0002506213538063769,-0.6360311936463535
1658795763024586,-0.08172732127870619,-0.5110551613641565,0.8938735027084768,-0.001305405880862438,-0.002713913107678803,-0.0001396854564805357,2.310778041394383e-05,0.0002826217500708494,-0.6363269155580979,-0.001305455843272745,-0.002713913922743787,-0.0001397018370544883,2.310714883601851e-05,0.0002826249804322296,-0.6363269229331833
1658795763040584,-0.0812390325780119,-0.5093461509117265,0.8917982757305261,-0.001495512940750075,-0.00296008220604357,-9.054892747954859e-05,0.0001027741265123688,0.0003111741779333391,-0.6366251122129944,-0.001495570399680631,-0.002960083137739126,-9.056761111642239e-05,0.0001027732883282577,0.0003111778208384965,-0.6366251185889986
1658795763056583,-0.08014038300144977,-0.505806057831693,0.8869153887235832,-0.001640400269712741,-0.003144902082072939,-3.755542631084214e-05,0.0001807568419721928,0.0003395989085555753,-0.6369249442675374,-0.001640465313921388,-0.003144903130360832,-3.757640308283898e-05,0.0001807558038533664,0.0003396029502281894,-0.6369249496582041
1658795763072581,-0.07989623865110262,-0.5014114595254444,0.8919203479056996,-0.001749826665308853,-0.003290153900335159,2.102407042823646e-05,0.0002577011221454781,0.0003731899810993145,-0.6372256543053734,-0.001749899383201315,-0.003290155065148522,2.100081067274099e-05,0.0002576998906647143,0.0003731944079345412,-0.6372256587245901
1658795763088579,-0.08258182650492119,-0.5099565117875944,0.8974135957885103,-0.001840491167365101,-0.003417689120601556,8.637346783058896e-05,0.0003339379428657625,0.0004104132660561272,-0.6375266949467202,-0.001840571646987553,-0.003417690401844971,8.634793546677859e-05,0.0003339365244977433,0.0004104180646201328,-0.6375266984085136
1658795763104578,-0.08343633173113618,-0.5193560692759593,0.895216296635386,-0.001932252733522976,-0.003558389223999146,0.000147914157114441,0.0004094702887508271,0.0004454226337813433,-0.6378278101312673,-0.001932341062554625,-0.00355839062154872,0.00014788636274077,0.0004094686898727187,0.0004454277908108519,-0.6378278126497978
1658795763120576,-0.08148317692835905,-0.5086137178606851,0.8842298008697647,-0.00204445525044724,-0.003754677110195792,0.0001873175436416501,0.000483908686221044,0.0004782611008823234,-0.6381290573500226,-0.00204455151619289,-0.003754678623899209,0.0001872874980795504,0.0004839069131130621,0.0004782666032841793,-0.6381290589395795
1658795763136574,-0.0791638056000612,-0.5029983978027008,0.8833752956435497,-0.002192359816163556,-0.004039582930242518,0.0001932155497122631,0.0005564594360240483,0.0005148814303656602,-0.6384307706218982,-0.002192464105546184,-0.004039584559919091,0.0001931832640058349,0.0005564574948700102,0.000514887265216429,-0.6384307712968949
1658795763152573,-0.08026245517662334,-0.5098344396124208,0.8902113374532696,-0.002383795175356813,-0.004405432062934349,0.0001706993263086656,0.0006261779408515017,0.0005512785882369944,-0.6387334671178729,-0.002383907574910173,-0.004405433808375093,0.0001706648117243491,0.0006261758377393681,0.0005512847427825952,-0.6387334668928409
1658795763168571,-0.07891966124971406,-0.5110551613641565,0.9007095445181967,-0.002616876370765498,-0.004800405081217839,0.0001388388885221505,0.000692434716895802,0.00058221372937909,-0.6390377110735237,-0.002616996966626724,-0.00480040694218555,0.0001388021565483854,0.0006924324578182076,0.0005822201910344345,-0.6390377099631082
1658795763184569,-0.0800183108262762,-0.5116655222400244,0.8976577401388575,-0.002880154793693576,-0.005165031764848605,0.0001170421975566634,0.0007552169177352923,0.000602064069304065,-0.6393439597766192,-0.002880283671595802,-0.005165033741077949,0.0001170032599035313,0.0007552145085900683,0.0006020708256527012,-0.6393439577955734
1658795763200568,-0.07965209430075548,-0.5064164187075608,0.8891126878767075,-0.003156027794374295,-0.00546763613320229,0.0001125795728493086,0.0008150359766128224,0.0006165288608127639,-0.639652438062562,-0.003156165039639306,-0.005467638224399917,0.0001125384414481395,0.0008150334232035088,0.0006165358996065619,-0.6396524352257426
1658795763216566,-0.08368047608148332,-0.5178912031738765,0.8892347600518811,-0.003426528697440314,-0.00569993804007436,0.0001260803544056267,0.0008726481229307865,0.0006280084549579638,-0.6399630857027571,-0.003426674394971234,-0.005699940245919066,0.0001260370414085583,0.0008726454309671372,0.0006280157641167921,-0.6399630820251181
1658795763232574,-0.08270389868009476,-0.5132524605172808,0.8861829556725418,-0.003679075479054436,-0.005852137066587163,0.0001670811151993058,0.0009288938480523384,0.0006357658685788241,-0.6402755976647239,-0.003679229713328441,-0.005852139386730055,0.0001670356329788025,0.00092889102315082,0.0006357734361902461,-0.6402755931613119
1658795763248572,-0.08465705348287189,-0.5095902952620737,0.8900892652780961,-0.003909820315865438,-0.005909076841904269,0.0002545681890736024,0.0009846722199076882,0.0006446082838250644,-0.6405895374695698,-0.003909983170926482,-0.005909079275968931,0.0002545205502219505,0.0009846692675919741,0.0006446160981440257,-0.6405895321555189
1658795763264571,-0.08062867170214405,-0.5018997482261387,0.8971694514381632,-0.004123598637697814,-0.005870882874127319,0.0004000855532593589,0.001040864192482156,0.0006565854025630678,-0.6409044761870218,-0.004123770197149342,-0.005870885421709946,0.0004000357705881624,0.001040861118183616,0.0006565934520116111,-0.6409044700775479
1658795763280569,-0.07769893949797835,-0.4939650568398566,0.8941176470588239,-0.004330988547180154,-0.005769502570486489,0.0005936718745490697,0.001098122153842437,0.0006730009351421901,-0.6412201078970348,-0.004331168894177814,-0.005769505231155989,0.0005936199610887449,0.001098118962900626,0.0006730092083091604,-0.6412201010074302
1658795763296568,-0.08038452735179691,-0.5033646143282215,0.8971694514381632,-0.004543959510368689,-0.005660700870883419,0.0008043757197872591,0.001156654501453043,0.0006953686417545096,-0.6415363068580704,-0.004544148727613041,-0.005660703644181494,0.0008043216887865243,0.001156651199116186,0.0006953771273952663,-0.6415362992036994
1658795763312566,-0.08062867170214405,-0.5115434500648508,0.8991226062409403,-0.00477188077281532,-0.005600711979774499,0.0009894653876169179,0.001216188487861791,0.0007201737405429637,-0.64185311753709,-0.004772078942544545,-0.005600714865215706,0.0009894092525422706,0.001216185079287274,0.0007201824275790961,-0.6418531091333824
1658795763328564,-0.08111696040283833,-0.5110551613641565,0.8914320592050053,-0.00501919399405897,-0.005631563854093268,0.001104471603001645,0.001276119441763436,0.000745517594398601,-0.6421706948873527,-0.005019401198041618,-0.005631566851165113,0.00110441337753681,0.00127611593201829,0.0007455264719176338,-0.6421706857497997
1658795763344563,-0.08050659952697048,-0.5104448004882887,0.8888685435263604,-0.005284932589690652,-0.005775711009938057,0.001116570475000605,0.001335705108844851,0.0007715686895729565,-0.6424892217579388,-0.005285148909218426,-0.005775714118101113,0.001116510173045941,0.001335701502906241,0.0007715777468280715,-0.6424892119020867
1658795763360561,-0.08038452735179691,-0.5106889448386358,0.8853284504463268,-0.00556339917691476,-0.006024123021478559,0.001022574035680176,0.001394254192788936,0.0007976428089941618,-0.6428088276298595,-0.005563624692795341,-0.006024126240166626,0.001022511671352046,0.001394250495544658,0.0007976520354038947,-0.6428088170713054
1658795763376559,-0.08270389868009476,-0.5121538109407187,0.8863050278477154,-0.005845308351699424,-0.006328589350042403,0.0008565309951514476,0.001451348377279552,0.0008214424454058011,-0.6431295219853488,-0.005845543144249299,-0.006328592678662644,0.0008564665827815731,0.001451344593528519,0.0008214518305537512,-0.6431295107397347
1658795763392558,-0.08490119783321903,-0.5139848935683222,0.9022964827954532,-0.006119180759319286,-0.00662221756535798,0.0006734013521937049,0.00150701057514496,0.0008421642987578489,-0.6434511482766646,-0.006119424908356598,-0.006622221003291048,0.0006733349063284916,0.001507006709597699,0.0008421738323923685,-0.6434511363596724
1658795763408556,-0.08453498130769832,-0.5078812848096437,0.8953383688105596,-0.006373220796497114,-0.006857604113251273,0.0005224729575852506,0.00156163838734539,0.0008565016293869019,-0.6437733636214077,-0.006373474381334546,-0.006857607659851481,0.0005224044929850871,0.001561634444624548,0.0008565113014207949,-0.6437733510487541
1658795763424554,-0.07977416647592905,-0.5014114595254444,0.8906996261539639,-0.006597696136968719,-0.00702215198671128,0.000436464828233199,0.001615716941419005,0.0008683803872089573,-0.6440956534618006,-0.006597959236406404,-0.007022155641306767,0.0004363943598717326,0.001615712926059856,0.0008683901877191555,-0.644095640249232
1658795763440553,-0.07965209430075548,-0.4994583047226673,0.8867933165484096,-0.006787003502332523,-0.007114570525780095,0.0004371596593494725,0.001669609489458258,0.0008793124941035709,-0.6444173804573459,-0.006787276194650972,-0.007114574287672994,0.0004370872024128606,0.001669605405909217,0.0008793224133308027,-0.6444173666206329
1658795763456551,-0.07989623865110262,-0.5104448004882887,0.8961928740367746,-0.006940489177790676,-0.007122515453874472,0.0005345902340663019,0.001723646453372965,0.00089048492558717,-0.6447378572605442,-0.006940771540743718,-0.007122519322341063,0.0005345158039524486,0.001723642305996113,0.0008904949539356258,-0.644737842815477
1658795763472550,-0.08380254825665689,-0.5116655222400244,0.899488822766461,-0.00706199738652994,-0.007040680861406062,0.0007144012969174843,0.001778297845201881,0.0009034861624062456,-0.6450564221277941,-0.007062289497337664,-0.007040684835696889,0.0007143249092352819,0.001778293638273486,0.0009034962904432313,-0.6450564070901771
1658795763488548,-0.07867551689936692,-0.5060502021820401,0.8898451209277489,-0.007158662479326729,-0.006897728839167627,0.0009360304063439358,0.001834091606925943,0.0009198972700168893,-0.6453725011927762,-0.007158964414668431,-0.00689773291850759,0.0009359520769124907,0.001834087344637,0.000919907488472458,-0.645372485578423
