Frame #,Arm Pink X,Arm Pink Y,Leg Pink X,Leg Pink Y,Shoulder Pink X,Shoulder Pink Y,Back Pink X,Back Pink Y,Neck Green X,Neck Green Y,Timestamp (microseconds),angles,Seconds,Arm Pink X meters,Leg Pink X meters,Shoulder Pink X meters,Back Pink X meters,Neck Green X meters,Arm Pink Y meters,Leg Pink Y meters,Shoulder Pink Y meters,Back Pink Y meters,Neck Green Y meters
1.0,452.2102661,864.8666382,498.0748291,1117.782349,466.5,750.7401733,547.5,880.5,558.0,724.6231689,1660612119948330.0,0.0,0.0,0.7352067600409052,0.8097737022174574,0.7584391139922471,0.8901295067754668,0.907200483617736,-1.4061065097488987,-1.817298723283457,-1.220558867901475,-1.431523343773148,-1.178097651015585
2.0,452.2102661,864.8666382,498.0748291,1117.782349,466.5857239,750.7761841,547.5,880.5,557.8863525,724.6060791,1660612119964996.5,0.04200350976055599,0.0166665,0.7352067600409052,0.8097737022174574,0.7585784845362212,0.8901295067754668,0.9070157146805284,-1.4061065097488987,-1.817298723283457,-1.220617414523653,-1.431523343773148,-1.1780698662936764
3.0,452.2102661,864.8666382,498.0748291,1117.782349,466.5857239,750.7761841,547.5,880.5,557.8863525,724.6060791,1660612119981663.2,0.04200350976055599,0.03333325,0.7352067600409052,0.8097737022174574,0.7585784845362212,0.8901295067754668,0.9070157146805284,-1.4061065097488987,-1.817298723283457,-1.220617414523653,-1.431523343773148,-1.1780698662936764
4.0,451.8850708,865.0,498.222229,1117.341919,466.5,750.5,547.5,880.5,557.5,725.0,1660612119998330.0,0.17412307308342964,0.05,0.7346780551422847,0.8100133460535958,0.7584391139922471,0.8901295067754668,0.9063875799585804,-1.406323330339322,-1.816582668966253,-1.2201683923926718,-1.431523343773148,-1.1787103057757322
5.0,451.7485352,865.2397461,498.222229,1117.341919,466.5,750.5,547.5,880.5,557.3603516,724.6396484,1660612120014996.5,0.23373552190548266,0.0666665,0.7344560745645947,0.8100133460535958,0.7584391139922471,0.8901295067754668,0.9061605385678698,-1.4067131113032387,-1.816582668966253,-1.2201683923926718,-1.431523343773148,-1.178124443507287
6.0,451.5454407,865.0757446,498.222229,1117.341919,466.5,750.5,547.6913452,880.8641968,557.3603516,724.6396484,1660612120031663.2,0.23324027933559355,0.08333325,0.7341258820401859,0.8100133460535958,0.7584391139922471,0.8904405972019506,0.9061605385678698,-1.4064464764643243,-1.816582668966253,-1.2201683923926718,-1.4321154575958934,-1.178124443507287
7.0,451.3904724,865.0,498.222229,1117.341919,466.7212219,750.2788086,547.5,881.5,557.2113647,724.7886353,1660612120048329.8,0.2831099432950466,0.09999975,0.7338739334439397,0.8100133460535958,0.7587987781762378,0.8901295067754668,0.9059183145755172,-1.406323330339322,-1.816582668966253,-1.2198087777958044,-1.4331491510914594,-1.1783666674996396
8.0,451.7099609,864.8874512,498.1418457,1117.609985,466.7212219,750.2788086,547.1749878,881.5750122,557.2113647,724.7886353,1660612120064996.5,0.2827764622351072,0.1166665,0.734393360185356,0.8098826582961857,0.7587987781762378,0.8896010995621664,0.9059183145755172,-1.4061403476766148,-1.817018492630844,-1.2198087777958044,-1.433271106475182,-1.1783666674996396
9.0,451.4545593,865.0757446,498.0,1118.0,466.1307068,750.3986816,546.9249878,881.5750122,557.2113647,724.7886353,1660612120081663.2,0.28262022379048235,0.13333325,0.7339781263949676,0.8096520445190547,0.7578387144050844,0.8891946477325886,0.9059183145755172,-1.4064464764643243,-1.8176525818720948,-1.2200036681964723,-1.433271106475182,-1.1783666674996396
10.0,451.6088867,865.1155396,498.1418457,1117.609985,466.1307068,750.3986816,547.0476074,881.5952148,557.2113647,724.7886353,1660612120098330.0,0.28266147254900426,0.15,0.7342290330113035,0.8098826582961857,0.7578387144050844,0.8893940035756368,0.9059183145755172,-1.406511175466557,-1.817018492630844,-1.2200036681964723,-1.433303952010111,-1.1783666674996396
11.0,451.6088867,865.1155396,498.5,1117.780273,466.1307068,750.3986816,546.9249878,881.5750122,557.2113647,724.7886353,1660612120114996.8,0.28262022379048235,0.16666675,0.7342290330113035,0.8104649481782104,0.7578387144050844,0.8891946477325886,0.9059183145755172,-1.406511175466557,-1.8172953481074643,-1.2200036681964723,-1.433271106475182,-1.1783666674996396
12.0,451.4647827,865.1643066,498.1418457,1117.609985,466.1307068,750.3986816,546.8639526,881.9251709,556.8364868,724.7106934,1660612120131663.2,0.4198834402000691,0.18333325,0.7339947476735056,0.8098826582961857,0.7578387144050844,0.8890954162577538,0.9053088353422242,-1.4065904612120488,-1.817018492630844,-1.2200036681964723,-1.4338403970522124,-1.1782399489882165
13.0,451.5068359,865.0913086,498.3650818,1117.769897,466.1307068,750.3986816,546.8639526,881.9251709,556.7211914,724.7211914,1660612120148330.0,0.4614966675054709,0.2,0.734063118073824,0.810245597181277,0.7578387144050844,0.8890954162577538,0.9051213872371364,-1.406471780529427,-1.8172784787307288,-1.2200036681964723,-1.4338403970522124,-1.178257016713444
14.0,451.5707703,865.1871948,498.1418457,1117.609985,466.1307068,750.3986816,546.8639526,881.9251709,556.7211914,724.7211914,1660612120164996.5,0.4614966675054709,0.2166665,0.7341670630892358,0.8098826582961857,0.7578387144050844,0.8890954162577538,0.9051213872371364,-1.406627673015112,-1.817018492630844,-1.2200036681964723,-1.4338403970522124,-1.178257016713444
15.0,451.6088867,865.1155396,498.1418457,1117.609985,466.1307068,750.3986816,546.8300781,881.8300781,556.7211914,724.7211914,1660612120181663.2,0.4617510646237887,0.23333325,0.7342290330113035,0.8098826582961857,0.7578387144050844,0.8890403428477498,0.9051213872371364,-1.406511175466557,-1.817018492630844,-1.2200036681964723,-1.4336857944820536,-1.178257016713444
16.0,451.5748901,865.1690674,498.1418457,1117.609985,466.1307068,750.3986816,546.8300781,881.8300781,556.8300781,724.8300781,1660612120198330.0,0.41968078313075086,0.25,0.7341737610902258,0.8098826582961857,0.7578387144050844,0.8890403428477498,0.9052984160308634,-1.4065982013555298,-1.817018492630844,-1.2200036681964723,-1.4336857944820536,-1.178434045507171
17.0,451.5748901,865.1690674,498.1418457,1117.609985,466.0892944,750.1547852,546.8300781,881.8300781,556.7106934,724.8364868,1660612120214996.5,0.462928616228846,0.2666665,0.7341737610902258,0.8098826582961857,0.7577713858220957,0.8890403428477498,0.9051043195119088,-1.4065982013555298,-1.817018492630844,-1.2196071396444423,-1.4336857944820536,-1.1784444648185315
18.0,451.5748901,865.1690674,498.1418457,1117.609985,466.1307068,750.3986816,546.8300781,881.8300781,556.8300781,724.8300781,1660612120231663.2,0.41968078313075086,0.28333325,0.7341737610902258,0.8098826582961857,0.7578387144050844,0.8890403428477498,0.9052984160308634,-1.4065982013555298,-1.817018492630844,-1.2200036681964723,-1.4336857944820536,-1.178434045507171
19.0,451.5748901,865.1690674,498.1418457,1117.609985,466.1307068,750.3986816,546.8581543,881.6099243,556.8300781,724.8300781,1660612120248330.0,0.42028082116395665,0.3,0.7341737610902258,0.8098826582961857,0.7578387144050844,0.8890859893391801,0.9052984160308634,-1.4065982013555298,-1.817018492630844,-1.2200036681964723,-1.4333278668228595,-1.178434045507171
20.0,451.4647827,865.1643066,498.3650818,1117.769897,466.1307068,750.3986816,546.854187,881.854187,556.8300781,724.8300781,1660612120264996.5,0.41963789747654856,0.3166665,0.7339947476735056,0.810245597181277,0.7578387144050844,0.8890795392738062,0.9052984160308634,-1.4065904612120488,-1.8172784787307288,-1.2200036681964723,-1.43372499090811,-1.178434045507171
21.0,451.5748901,865.1690674,498.3650818,1117.769897,466.0,750.5,546.5,881.7583618,556.8300781,724.8300781,1660612120281663.2,0.41959023340930907,0.33333325,0.7341737610902258,0.810245597181277,0.7576262103330914,0.8885036994571555,0.9052984160308634,-1.4065982013555298,-1.8172784787307288,-1.2201683923926718,-1.4335691975966711,-1.178434045507171
22.0,451.4647827,865.1643066,498.1418457,1117.609985,465.7043152,750.8602295,546.5,881.5,556.333313,724.666687,1660612120298329.8,0.6049209518101497,0.34999975,0.7339947476735056,0.8098826582961857,0.757145483821338,0.8885036994571555,0.9044907716958016,-1.4065904612120488,-1.817018492630844,-1.2207540561500434,-1.4331491510914594,-1.178168403061044
