Timestamp (microseconds),Gyro X (°/s),Gyro Y (°/s),Gyro Z (°/s),gyro vel x (dps),gyro vel y (dps),gyro vel z (dps),gyro disp x (deg),gyro disp y (deg),gyro disp z (deg)
1660608484861847,0.03051804379333589,-1.129167620355474,-1.800564583810228,-0.03100840154850288,-0.5477760038695393,-0.3569829715185625,0,0,0
1660608484877843,-0.09155413138023505,-1.007095445181903,-1.983672846570471,-0.129090092229686,-0.4190813810992836,-0.5383948437674586,-0.001280787950225511,-0.007734859079750583,-0.007163022522288168
1660608484893839,0.09155413138023505,-1.068131532768803,-2.04470893415737,0.005563891332533901,-0.5089043425981534,-0.6108617332110382,-0.002268997557402728,-0.01515874486933008,-0.01635707513811614
1660608484909834,0.1525902189669068,-1.129167620355474,-1.922636758983799,0.09624066350007431,-0.5157499861688665,-0.4603166542567452,-0.001454561118741863,-0.02335597949946624,-0.02492650223785841
1660608484925830,-0.03051804379333589,-0.8239871824216607,-1.617456321049758,-0.08225160250328849,-0.2598136091650775,-0.1926307687758871,-0.001342648630767576,-0.02956048826213779,-0.03015008162211947
1660608484941826,-0.2746623941404778,-0.5798428320745188,-1.495384145876187,-0.3450396179962854,-0.01271874286074803,-0.04419148082975807,-0.004760978394764167,-0.03174074707834439,-0.03204465961896463
1660608484957822,-0.4577706569009479,-0.5188067444876197,-1.495384145876187,-0.5225872494146605,0.09414849045448405,-0.04871446420990724,-0.01170199333405173,-0.0310893090975945,-0.03278790717928196
1660608484973818,-0.6408789196611906,-0.4577706569009479,-1.556420233463086,-0.6884285181271029,0.1044973878405738,-0.1170932018875021,-0.02139011947438584,-0.02950014207123404,-0.03411436850806123
1660608484989814,-0.8850232700083325,-0.6408789196611906,-1.678492408636657,-0.9637693624274503,-0.06246625336609858,-0.2360237877068131,-0.03460770251882227,-0.02916389299543824,-0.03693930442481575
1660608485005810,-1.251239795529045,-0.8239871824216607,-1.800564583810228,-1.298471000580145,-0.240430945388125,-0.3563658079962834,-0.05270562542288303,-0.03158707058547203,-0.04167842119044052
1660608485021806,-1.373311970702616,-0.7019150072480898,-1.8616006713969,-1.450344746099836,-0.09578450045112033,-0.4081455529279172,-0.07469615139632287,-0.034276794152186,-0.04779451207783413
1660608485037802,-1.251239795529045,-0.3356984817273769,-1.8616006713969,-1.287781639043994,0.198646856569564,-0.4404165342986197,-0.0966011624774735,-0.03345389530323845,-0.05458300877564642
1660608485053798,-0.8850232700083325,-0.3356984817273769,-1.922636758983799,-0.9823840666075545,0.2837962583278438,-0.4546324632313462,-0.1147624881226859,-0.02959435038405919,-0.06174340075588615
1660608485069794,-0.7019150072480898,-0.3356984817273769,-1.739528496223329,-0.7293772896519701,0.2393507310796764,-0.3098784893033854,-0.1284565789727621,-0.02540917446879903,-0.067859488376164
1660608485085790,-0.4577706569009479,-0.3356984817273769,-1.434348058289515,-0.5360292631954616,0.2259186967878278,0.005311635523391089,-0.1385798313955415,-0.02168701904585899,-0.07029602320640395
1660608485101786,-0.2746623941404778,-0.3967345693140487,-1.190203707942374,-0.3443859101450274,0.2091254998438954,0.2759509808143141,-0.1456231527822655,-0.01820666547280521,-0.0680459222757023
1660608485117782,-0.09155413138023505,-0.3356984817273769,-1.068131532768803,-0.1275144046038364,0.2291116716694498,0.33822012371349,-0.1493983553002564,-0.01470076810069844,-0.06313255343947986
1660608485133778,0.1525902189669068,-0.2746623941404778,-1.251239795529045,0.06364155300974625,0.3189671666221565,0.2312485621177424,-0.1499093381130091,-0.0103161373943656,-0.05857680395283001
1660608485149774,0.1525902189669068,-0.213626306553806,-1.373311970702616,0.1060695788940374,0.3512512383834063,0.04894734011070658,-0.1485516490577788,-0.004954390154321094,-0.05633523673500242
1660608485165770,0.03051804379333589,-0.3356984817273769,-1.556420233463086,-0.02970204884826099,0.2676061031764257,-0.1248270012505187,-0.1479407088174126,-3.531421842437911e-06,-0.05694227402412091
1660608485181762,-0.1525902189669068,-0.3967345693140487,-1.678492408636657,-0.2285443721400515,0.1632224474150597,-0.1919813370609096,-0.1500066801853191,0.003443096982889446,-0.05947674073061234
1660608485197758,-0.3356984817273769,-0.4577706569009479,-1.556420233463086,-0.3772982605025357,0.1401568708826255,-0.1654564970008431,-0.1548534212464598,0.005870131529270927,-0.06233624340310636
1660608485213754,-0.3356984817273769,-0.3356984817273769,-1.617456321049758,-0.4147711443808687,0.2294056695448236,-0.1383739098581772,-0.161189976485527,0.00882663185269052,-0.06476688665797853
1660608485229750,-0.213626306553806,-0.2746623941404778,-1.556420233463086,-0.2684774005616822,0.3340489891950373,-0.1198433151952727,-0.1666559648450675,0.01333426912260941,-0.06683262445840613
1660608485245746,0.1525902189669068,-0.213626306553806,-1.556420233463086,0.09907442106042819,0.3230900960066743,-0.1253329933716609,-0.1680111886810775,0.0185913818042231,-0.0687940349269416
1660608485261742,0.6408789196611906,-0.3967345693140487,-1.617456321049758,0.5576384539345804,0.2369190263358055,-0.1590334151386354,-0.1627574856811174,0.02307145478296294,-0.07106896619502397
1660608485277738,0.8850232700083325,-0.3356984817273769,-1.495384145876187,0.852922558896725,0.2076396607352757,-0.06281150539569672,-0.151472997578467,0.02662792427953159,-0.07284372555929862
1660608485293734,0.9460593575952316,-0.2746623941404778,-1.251239795529045,0.8554452752423253,0.3138332158144476,0.2041834931788584,-0.1378060549053546,0.03079970729192938,-0.07171274965703332
