Frame #,Arm Pink X,Arm Pink Y,Leg Pink X,Leg Pink Y,Neck Green X,Neck Green Y,Shoulder Pink X,Shoulder Pink Y,Back Pink X,Back Pink Y,Timestamp (microseconds),angles,Seconds
1.0,455.277771,960.4285889,511.8312683,1254.362183,561.0370483,812.6370239,467.1092834,856.5847168,565.7126465,986.7126465,1660608495226670.0,0.0,0.0
2.0,455.277771,960.4285889,511.8312683,1254.362183,561.0370483,812.6370239,467.1092834,856.5847168,565.7126465,986.7126465,1660608495243336.8,0.0,0.01666675
3.0,455.2051392,960.1721802,511.8312683,1254.362183,561.0370483,812.6370239,467.1092834,856.5847168,565.7126465,986.7126465,1660608495260003.2,0.0,0.03333325
4.0,455.2051392,960.1721802,511.8312683,1254.362183,561.0370483,812.6370239,467.1092834,856.5847168,565.854187,986.854187,1660608495276670.0,0.0,0.05
5.0,455.1017456,960.0701904,511.8312683,1254.362183,561.0370483,812.6370239,467.1092834,856.5847168,565.854187,986.854187,1660608495293336.8,0.0,0.06666675
6.0,454.8690491,959.8928833,511.8312683,1254.362183,560.895813,812.736084,467.6666565,856.333313,565.7126465,986.7126465,1660608495310003.2,0.047354112738930566,0.08333325
7.0,454.7228394,959.7453003,511.8312683,1254.362183,560.895813,812.736084,467.6666565,856.333313,565.854187,986.854187,1660608495326670.0,0.047339301870085296,0.1
8.0,454.7509155,959.6740112,511.8312683,1254.362183,560.895813,812.736084,467.8624268,856.3227539,565.854187,986.854187,1660608495343336.5,0.047339301870085296,0.1166665
9.0,454.6088867,959.7288818,511.5,1254.189819,560.1708374,812.2791748,467.5,856.5,565.854187,986.854187,1660608495360003.5,0.2807892825591614,0.1333335
10.0,454.6088867,959.7288818,511.8312683,1254.362183,560.2177734,812.1155396,467.5,856.5,565.854187,986.854187,1660608495376670.0,0.26367046237286484,0.15
11.0,454.5,959.8101807,511.6088867,1254.271118,560.1708374,812.2791748,467.5,856.5,565.854187,986.854187,1660608495393336.8,0.2807892825591614,0.16666675
12.0,454.5,959.8101807,511.6088867,1254.271118,560.1239014,812.1965942,467.5,856.5,565.6913452,986.8641968,1660608495410003.5,0.29542368916038014,0.1833335
13.0,454.5,959.8101807,511.6088867,1254.271118,560.2177734,812.1155396,467.5,856.5,565.854187,986.854187,1660608495426670.0,0.26367046237286484,0.2
14.0,454.5,959.8101807,511.3333435,1254.333374,560.1422729,812.3577271,467.396637,856.2573853,565.5,987.0,1660608495443336.8,0.2909771845951536,0.21666675
15.0,454.5,959.8101807,511.6088867,1254.271118,560.2177734,812.1155396,467.1687317,856.3621216,565.5,987.0,1660608495460003.5,0.2638326187017739,0.2333335
16.0,454.5,959.8101807,511.3333435,1254.333374,560.2177734,812.1155396,466.9956665,856.5930786,565.854187,986.854187,1660608495476670.0,0.26367046237286484,0.25
17.0,454.3333435,959.666687,511.6088867,1254.271118,560.2177734,812.1155396,466.9956665,856.5930786,565.5,987.0,1660608495493336.8,0.2638326187017739,0.26666675
18.0,454.3333435,959.666687,511.3333435,1254.333374,560.2177734,812.1155396,466.875,856.2175903,565.5,987.0,1660608495510003.2,0.2638326187017739,0.28333325
19.0,454.379303,959.3793335,511.3333435,1254.333374,560.2177734,812.1155396,466.7761841,856.7761841,565.5,987.0,1660608495526670.0,0.2638326187017739,0.3
20.0,454.379303,959.3793335,511.3333435,1254.333374,560.2237549,812.0228271,466.7729492,856.3236694,565.5,987.0,1660608495543336.8,0.26095966075815863,0.31666675
21.0,454.379303,959.3793335,511.3333435,1254.333374,560.0,812.1155396,466.7761841,856.7761841,565.666687,987.0,1660608495560003.2,0.33493023889846524,0.33333325
22.0,454.379303,959.3793335,511.3333435,1254.333374,560.0,812.1155396,467.0791626,856.4874878,565.666687,987.0,1660608495576670.0,0.33493023889846524,0.35
23.0,454.3128357,959.2359009,511.3333435,1254.333374,560.0,812.1155396,466.6666565,856.333313,565.666687,987.0,1660608495593336.5,0.33493023889846524,0.3666665
24.0,454.1149292,959.0,511.3333435,1254.333374,560.0,812.1155396,466.6666565,856.333313,565.5,987.0,1660608495610003.5,0.33511196016518535,0.3833335
25.0,454.3128357,958.7640991,511.125,1254.402832,560.0925903,812.027771,466.6666565,856.333313,565.5,987.0,1660608495626670.0,0.30391912600389775,0.4
26.0,454.2102661,958.8666382,511.2270508,1254.32373,559.416687,812.2129517,466.5,856.5,565.666687,987.0,1660608495643336.8,0.5269536627478333,0.41666675
