Timestamp (microseconds),Accel X (g),Accel Y (g),Accel Z (g)
1658965158759643,-0.41242084382391075,0.8341802090485997,0.4026550698100255
1658965158775643,-0.4093690394445715,0.8302738994430454,0.4031433585107198
1658965158791643,-0.4102235446707865,0.827832455939574,0.40460822461280266
1658965158807643,-0.41083390554665433,0.8277103837644004,0.4027771419851991
1658965158823642,-0.41168841077286933,0.8294193942168304,0.4015564202334634
1658965158839642,-0.41083390554665433,0.8297856107423511,0.4039978637369348
1658965158855642,-0.40814831769283577,0.8308842603189133,0.4036316472114141
1658965158871642,-0.40949111161974505,0.832959487296864,0.39716182192721483
1658965158887642,-0.41205462729839004,0.8305180437933926,0.4035095750362405
1658965158903641,-0.4130312046997786,0.8280766002899211,0.40509651331349694
1658965158919641,-0.4101014724956129,0.8277103837644004,0.40851453421835693
1658965158935641,-0.4110780498970015,0.8284428168154419,0.4098573281452662
1658965158951641,-0.41120012207217504,0.8271000228885326,0.40973525597009264
1658965158967641,-0.41168841077286933,0.8263675898374911,0.40839246204318336
1658965158983640,-0.4102235446707865,0.8284428168154419,0.4044861524376291
1658965158999640,-0.41168841077286933,0.829541466392004,0.40460822461280266
1658965159015640,-0.4131532768749522,0.8299076829175247,0.4041199359121084
1658965159031640,-0.41364156557564646,0.8275883115892269,0.40338750286106695
1658965159047639,-0.4113221942473486,0.8246585793850612,0.4065613794155798
1658965159063639,-0.4102235446707865,0.8263675898374911,0.4122987716487376
1658965159079620,-0.40912489509422434,0.8240482185091933,0.4098573281452662
1658965159095620,-0.40912489509422434,0.8289311055161361,0.4090028229190512
1658965159111620,-0.4110780498970015,0.8285648889906154,0.40595101853971194
1658965159127619,-0.40985732814526576,0.8310063324940868,0.40668345159075336
1658965159143619,-0.4104676890211336,0.8301518272678718,0.40509651331349694
1658965159159619,-0.4092469672693979,0.8263675898374911,0.40631723506523265
1658965159175619,-0.4101014724956129,0.827832455939574,0.40582894636453837
1658965159191619,-0.40997940032043934,0.8302738994430454,0.40973525597009264
1658965159207618,-0.4105897611963072,0.8271000228885326,0.4086366063935305
1658965159223618,-0.4092469672693979,0.826123445487144,0.41058976119630763
1658965159239618,-0.4097352559700922,0.829541466392004,0.4061951628900591
1658965159255618,-0.4126649881742579,0.826977950713359,0.40961318379491907
1658965159271618,-0.4101014724956129,0.8307621881437397,0.40717174029144765
1658965159287617,-0.40949111161974505,0.8268558785381854,0.4065613794155798
1658965159303617,-0.4113221942473486,0.8289311055161361,0.4103456168459605
1658965159319617,-0.4122987716487372,0.827832455939574,0.40753795681696836
1658965159335617,-0.41034561684596005,0.8268558785381854,0.41058976119630763
1658965159351616,-0.4080262455176622,0.828686961165789,0.4043640802624555
1658965159367616,-0.41547264820325003,0.8316166933699547,0.4036316472114141
1658965159383616,-0.41364156557564646,0.8291752498664833,0.40680552376592694
1658965159399627,-0.4102235446707865,0.8271000228885326,0.40888075074387764
1658965159415627,-0.4097352559700922,0.8267338063630119,0.4094911116197455
1658965159431627,-0.41120012207217504,0.8251468680857554,0.4102235446707869
1658965159447627,-0.40704966811627363,0.8274662394140533,0.4094911116197455
1658965159463626,-0.4114442664225222,0.8251468680857554,0.4065613794155798
1658965159479626,-0.4126649881742579,0.8291752498664833,0.40253299763485195
1658965159495626,-0.41205462729839004,0.8308842603189133,0.4065613794155798
1658965159511626,-0.41193255512321647,0.8292973220416568,0.4052185854886705
1658965159527626,-0.40949111161974505,0.8275883115892269,0.4110780498970019
1658965159543625,-0.40741588464179435,0.825268940260929,0.4112001220721755
1658965159559625,-0.40949111161974505,0.8271000228885326,0.4107118333714812
1658965159575625,-0.40827038986800934,0.8288090333409626,0.4093690394445719
1658965159591625,-0.4076600289921415,0.8311284046692604,0.4091248950942248
1658965159607625,-0.40900282291905077,0.827832455939574,0.40924696726939835
1658965159623624,-0.40985732814526576,0.8292973220416568,0.4094911116197455
1658965159639624,-0.40656137941557935,0.8275883115892269,0.4098573281452662
