Frame #,Arm Pink X,Arm Pink Y,Leg Pink X,Leg Pink Y,Shoulder Pink X,Shoulder Pink Y,Back Pink X,Back Pink Y,Neck Green X,Neck Green Y,Timestamp (microseconds),angles,Seconds
34.0,428.8581543,865.3900757,483.4523926,1126.16272,445.5178528,748.0892944,529.0,880.0,536.5,722.5,1660612330161670.0,-0.07302168211334596,0.55
35.0,428.8581543,865.3900757,483.3492126,1126.222168,445.5178528,748.0892944,529.0,880.0,536.5,722.8101807,1660612330178336.5,-0.07839333665418914,0.5666665
36.0,428.8581543,865.3900757,483.2034607,1126.264038,445.5178528,748.0892944,529.0,880.0,536.5,722.5,1660612330195003.2,-0.07302168211334596,0.58333325
37.0,428.8581543,865.3900757,483.2034607,1126.264038,445.5178528,748.0892944,529.0,880.0,536.5,722.5,1660612330211670.0,-0.07302168211334596,0.6
38.0,429.0,865.5,483.1555481,1126.177734,445.5178528,748.0892944,529.0,880.0,536.333313,722.666687,1660612330228336.5,-0.01533821326144265,0.6166665
39.0,429.0,865.5,483.1555481,1126.177734,445.5178528,748.0892944,529.0,880.0,536.5,722.5,1660612330245003.5,-0.07302168211334596,0.6333335
40.0,429.0,865.5,483.5340881,1126.234863,445.5178528,748.0892944,529.0,880.0,536.5,722.5,1660612330261670.0,-0.07302168211334596,0.65
41.0,429.0,865.5,483.5340881,1126.234863,445.5178528,748.0892944,529.0,880.0,536.5,722.5,1660612330278336.8,-0.07302168211334596,0.66666675
42.0,429.0,865.5,483.5340881,1126.234863,445.5178528,748.0892944,529.0,880.0,536.5,722.5,1660612330295003.5,-0.07302168211334596,0.6833335
43.0,428.8581543,865.3900757,483.5340881,1126.234863,445.5178528,748.0892944,529.0,880.0,536.333313,722.666687,1660612330311670.0,-0.01533821326144265,0.7
44.0,428.8581543,865.3900757,483.5340881,1126.234863,445.5178528,748.0892944,529.0,880.0,536.5,722.5,1660612330328336.8,-0.07302168211334596,0.71666675
45.0,428.8581543,865.3900757,483.1983032,1126.345947,445.5178528,748.0892944,529.0,880.0,536.5,722.5,1660612330345003.2,-0.07302168211334596,0.73333325
46.0,429.0,865.5,483.5340881,1126.234863,445.5178528,748.0892944,529.0,880.0,536.5,722.5,1660612330361670.0,-0.07302168211334596,0.75
47.0,428.8581543,865.3900757,483.3492126,1126.222168,445.5178528,748.0892944,529.0,880.0,536.5,722.5,1660612330378336.8,-0.07302168211334596,0.76666675
48.0,429.0,865.5,483.5340881,1126.234863,445.5178528,748.0892944,529.0,880.0,536.4143066,722.7761841,1660612330395003.2,-0.04664511361301779,0.78333325
49.0,429.0,865.5,483.5340881,1126.234863,445.5178528,748.0892944,529.0,880.0,536.4143066,722.7761841,1660612330411670.0,-0.04664511361301779,0.8
50.0,429.0,865.5,483.5340881,1126.234863,445.5178528,748.0892944,529.0,880.0,536.5,722.5,1660612330428336.5,-0.07302168211334596,0.8166665
51.0,428.8581543,865.3900757,483.5340881,1126.234863,445.5178528,748.0892944,529.0,880.0,536.5,722.5,1660612330445003.2,-0.07302168211334596,0.83333325
52.0,429.1418457,865.6099243,483.3492126,1126.222168,445.5178528,748.0892944,529.0,880.0,536.5,722.5,1660612330461670.0,-0.07302168211334596,0.85
53.0,429.1418457,865.6099243,483.3492126,1126.222168,445.5178528,748.0892944,529.0,880.0,536.5,722.8101807,1660612330478336.5,-0.07839333665418914,0.8666665
