Timestamp (microseconds),Accel X (g),Accel Y (g),Accel Z (g),vel x (m/s),vel y (m/s),vel z (m/s),disp x (m),disp y (m),disp z (m),stamp velocity (m/s)
1660088627074127,-0.9522240024414436,-0.101991302357519,0.3214770733196,0.0,0.0,0.0,0.0034647413986995,-0.0021086538488125,-0.5953827041129222,
1660088627090127,-0.9529564354924852,-0.1018692301823454,0.3190356298161285,0.0004275489020464,-0.0006147440415043,-0.0002856064602066,0.0033027940972573,-0.0023330206116382,-0.5950371207215557,0.027669594456678843
1660088627106126,-0.9594262607766844,-0.0946669718471047,0.3183031967650871,0.0006600420410536,-0.0010497452536864,-0.0006452413167378,0.0031299737145291,-0.0025003184810376,-0.5946990683119746,0.02593071397790982
1660088627122126,-0.9601586938277258,-0.1012588693064775,0.31805905241474,0.0007544559636591,-0.0013379939672657,-0.0010611891102869,0.0029490240985026,-0.0025887313566393,-0.5943714576707759,0.024035157544706767
1660088627138126,-0.9616235599298086,-0.0968642710002289,0.3230640115968564,0.0007930065412813,-0.001528378941945,-0.0015097076791679,0.0027619561731206,-0.0026107157796429,-0.5940560497668445,0.022960552910097683
1660088627154126,-0.9562523842221716,-0.0964980544747082,0.3196459906919964,0.0008646636190542,-0.0016689961685972,-0.0019714302905529,0.0025699368992872,-0.0025810185602862,-0.5937532132259266,0.02248813027849202
1660088627170126,-0.9528343633173116,-0.0990615701533532,0.3194018463416493,0.0010470036359905,-0.0017945466235787,-0.002435487806036,0.0023734391899008,-0.0025208098489822,-0.5934619748474933,0.022278092499224342
1660088627186125,-0.9480735484855424,-0.0940566109712368,0.3229419394216828,0.0013933946282126,-0.0019241694481943,-0.0029031942034196,0.0021725252989924,-0.0024444625163884,-0.5931803211274739,0.022143364972919393
1660088627202125,-0.9459983215075916,-0.1007705806057833,0.3198901350423435,0.0019284775500021,-0.0020662715614819,-0.0033933111021596,0.0019671475132773,-0.0023660346117238,-0.5929056224338898,0.021989907428619268
1660088627218125,-0.9519798580910964,-0.1008926527809568,0.3145189593347064,0.0026517588322655,-0.0022247684647429,-0.003939681510441,0.001757383722538,-0.0023048025606225,-0.5926350661929066,0.021736246686332353
1660088627234125,-0.9549095902952622,-0.1015030136568247,0.313786526283665,0.0035463055196161,-0.0024037831024429,-0.004582475935383,0.0015435527273443,-0.002272366119474,-0.592365984533919,0.021576603759144095
1660088627250125,-0.9530785076676588,-0.0968642710002289,0.3173266193636985,0.0045883027514546,-0.0026114218354913,-0.0053628580530645,0.0013262145024898,-0.0022658217643504,-0.5920960273573215,0.02166466825590038
1660088627266124,-0.9522240024414436,-0.0963759822995347,0.315495536736095,0.0057539508283913,-0.0028679741551543,-0.0063191706841547,0.0011060509209415,-0.0022892699912686,-0.591823221462383,0.021959202076928523
1660088627282124,-0.950148775463493,-0.0853894865339133,0.32318608377203,0.0070222773942808,-0.0032151684891724,-0.0074802172608018,0.0008835834207668,-0.0023507413905929,-0.5915459472601926,0.02254782285509145
1660088627298124,-0.9474631876096744,-0.0886854352635997,0.3151293202105743,0.0083746489694498,-0.0037075588945638,-0.0088581292391511,0.0006588307945092,-0.0024407232045688,-0.5912628868819976,0.023279353744922498
1660088627314124,-0.9457541771572444,-0.1044327458609904,0.3097581445029371,0.009792799856117,-0.0043826948472694,-0.010442097700445,0.0004311796649731,-0.0025530841344658,-0.5909730160193865,0.024082794391277744
1660088627330124,-0.9512474250400552,-0.1056534676127261,0.3041428244449529,0.0112569374205629,-0.0052364457083509,-0.0121953124025625,0.0001995952047041,-0.0026798169075505,-0.5906756134929079,0.02485432721124636
