Frame #,Body Pink X,Body Pink Y,Hand Pink X,Hand Pink Y,Shoulder Green X,Shoulder Green Y,Elbow Orange X,Elbow Orange Y,Timestamp (microseconds),angles,Seconds,Body Pink X meters,Hand Pink X meters,Shoulder Green X meters,Elbow Orange X meters,Body Pink Y meters,Hand Pink Y meters,Shoulder Green Y meters,Elbow Orange Y meters,angular velocity
1.0,378.4202881,1071.835693,252.2202454,1585.375,216.0024567,870.9804077,261.8760986,1191.54895,1660088611000000.0,0.0,0.0,-0.2113304888016276,0.140853515052457,0.120627530267882,0.1462458691114802,-0.598571398098149,-0.8853597024780671,-0.4864028729010471,-0.6654257975936629,
2.0,378.0716248,1071.820923,250.87677,1586.034302,216.2526855,870.946228,261.53125,1191.753418,1660088611016666.8,0.1100358736232978,0.01666675,-0.2111357762348513,0.1401032452548188,0.1207672716514156,0.1460532868808433,-0.5985631497261198,-0.8857278926050485,-0.4863837850959393,-0.6655399836554124,6.602119406800833
3.0,378.0716248,1071.820923,250.87677,1586.034302,216.9435425,870.4758301,261.6165466,1191.421021,1660088611033333.2,0.1099216046730411,0.03333325,-0.2111357762348513,0.1401032452548188,0.121153083808145,0.146100921145543,-0.5985631497261198,-0.8857278926050485,-0.4861210893017011,-0.6653543550760388,-0.006856205577457383
4.0,378.8766479,1072.217896,246.7750702,1584.810303,217.4929504,870.4295654,262.3091736,1191.113281,1660088611050000.0,0.4336500712546776,0.05,-0.2115853449566389,0.1378126328037695,0.1214599030874215,0.1464877217666253,-0.5987848410591937,-0.8850443449330634,-0.4860952525747266,-0.6651824963077091,19.423610876843803
5.0,378.8766479,1072.217896,246.7750702,1584.810303,218.107605,870.6115723,263.2658997,1191.170532,1660088611066666.5,0.4338315057681058,0.0666665,-0.2115853449566389,0.1378126328037695,0.1218031596757888,0.1470220097018135,-0.5987848410591937,-0.8850443449330634,-0.4861968951355296,-0.6652144683826609,0.010886179667490156
6.0,379.8287048,1072.409668,244.7093353,1583.810669,219.0516815,870.3126831,264.8790283,1191.046997,1660088611083333.2,0.5963028152558103,0.08333325,-0.2121170253563715,0.1366590139839555,0.1223303833857354,0.1479228685253441,-0.5988919369834157,-0.8844860948907535,-0.4860299791357276,-0.6651454797138312,9.748229828113132
7.0,380.0,1072.805176,244.4693909,1583.928589,219.6085052,870.5950928,266.0629883,1191.112915,1660088611100000.0,0.6162533962916829,0.1,-0.2122126859207856,0.1365250159692301,0.1226413440514231,0.1485840562401409,-0.5991128101807398,-0.8845519478379215,-0.486187692085641,-0.6651822919133853,1.1970288770079673
8.0,380.9846191,1073.5,244.5899963,1583.606689,220.2533264,871.1119995,267.6009521,1191.338135,1660088611116666.5,-0.6062783813779203,0.1166665,-0.2127625508255748,0.1365923685899421,0.1230014473113986,0.1494429389476328,-0.5995008377262193,-0.8843721813547689,-0.4864763609255817,-0.6653080670216039,-73.35264018657806
9.0,381.5,1073.0,246.0059052,1583.581177,221.3888855,871.472229,268.6908569,1191.739258,1660088611133333.5,-0.4930199804290409,0.1333335,-0.2130503675757361,0.1373830891970162,0.1236356053288533,0.1500516011187012,-0.5992216105079026,-0.8843579340651816,-0.486677532688063,-0.6655320759405897,6.795368149569781
10.0,382.0839844,1073.745361,247.6851807,1584.024658,221.8295135,872.1577759,269.6334534,1191.966797,1660088611150000.0,-0.359819411834388,0.15,-0.2133764962548409,0.1383208880503214,0.1238816759903583,0.1505779983160815,-0.5996378606652463,-0.8846055979971943,-0.4870603793958885,-0.6656591461046469,7.992114036819542
