Timestamp (microseconds),Accel X (g),Accel Y (g),Accel Z (g),vel x (m/s),vel y (m/s),vel z (m/s),disp x (m),disp y (m),disp z (m),stamp velocity (m/s)
1660088624053009,-0.9898222323949036,0.1227435721370256,0.1079728389410235,0.0,0.0,0.0,-0.0004155611499625,0.0046836021784561,-0.6164682261652229,
1660088624069012,-0.9970244907301442,0.1188372625314713,0.1011367971313035,-0.0002909693686047,0.0001922386829083,-5.13963723055712e-05,-6.926220765035617e-05,0.0051746798158333,-0.6167766792435423,0.04221519946687558
1660088624085015,-0.9961699855039292,0.1206683451590749,0.1007705806057828,-0.0009193087606046,-5.146500307575333e-05,-0.0006892557937354,0.0002889951536533,0.0055466309485321,-0.6170831087613702,0.03753097842535026
1660088624101018,-0.9986114290074006,0.1163958190279999,0.1005264362554357,-0.0018189428564326,-0.0006811560180851,-0.0018103636205386,0.0006578566688618,0.0059957222141166,-0.6173921246276008,0.04113775390230854
1660088624117021,-1.000198367284657,0.1084611276417178,0.0962539101243606,-0.0028955957379145,-0.0016201718531684,-0.0032918650113595,0.0010359413225518,0.0065356807923088,-0.6177070149273478,0.045657487251971156
1660088624133024,-1.002395666437781,0.1112687876707099,0.0935683222705421,-0.0040429968516925,-0.0027807281520412,-0.0050283159664444,0.0014220944086393,0.0069349688457228,-0.6180300085011816,0.04015935076705249
1660088624149027,-0.9981231403067063,0.1181048294804299,0.0969863431754021,-0.0051605609865618,-0.0040754954568972,-0.0069429513275593,0.0018156457098968,0.0071594694321109,-0.6183615333303728,0.03508871860528138
1660088624165031,-0.9938506141756314,0.1198138399328599,0.1052872510872049,-0.0061693034622574,-0.0054322240626615,-0.0089479935676667,0.0022163725061744,0.0072493752470308,-0.6187003220291213,0.033274591658546446
1660088624181034,-0.9947051194018464,0.1156633859769585,0.1030899519340807,-0.0070222717655746,-0.006802522735337,-0.0109128794467474,0.0026240146221866,0.0072530065544937,-0.6190440091775614,0.03332522840458242
1660088624197037,-0.9939726863508048,0.1102922102693213,0.0991836423285263,-0.0077071371595998,-0.0081563293213308,-0.0126928592412258,0.0030377542639801,0.0072299663262623,-0.6193897222417186,0.033728515501846947
1660088624213040,-0.9958037689784084,0.1137102311741813,0.0933241779201949,-0.0082417801081919,-0.0094757855271089,-0.0141800166119793,0.0034560950255467,0.0071942422111913,-0.6197347641216605,0.033965694095497434
1660088624229043,-0.9953154802777142,0.1116350041962306,0.1027237354085599,-0.0086656006431848,-0.0107575082884093,-0.0153224925335413,0.0038770485018658,0.0071646969871416,-0.6200768926129625,0.033953475409481626
1660088624245046,-0.99140917067216,0.1058976119630728,0.1102922102693213,-0.0090290049569295,-0.0120121262527158,-0.0161125716234084,0.004298337561939,0.0071645521526538,-0.6204145771859498,0.033745101724872134
1660088624261049,-0.9932402532997636,0.1122453650720985,0.1110246433203628,-0.0093828913144776,-0.0132561808950742,-0.016569748063977,0.0047175435184563,0.0071767539135128,-0.6207471880721611,0.033454290093787566
1660088624277053,-0.9950713359273672,0.1205462729839013,0.1089494163424121,-0.0097696584128245,-0.0145071949412336,-0.0167330565147372,0.0051322451463225,0.0071810661862359,-0.6210748511178233,0.033034020540357985
1660088624293056,-0.99482719157702,0.1115129320210571,0.1041886015106428,-0.0102169216091651,-0.015786692722454,-0.0166621966865513,0.0055401447640038,0.0071762241629849,-0.6213982097254823,0.032534016599509
1660088624309059,-0.9926298924238957,0.1160296025024792,0.1061417563134199,-0.0107345122958777,-0.0171246548731491,-0.0164370976084836,0.0059391452943224,0.0071544052990323,-0.621718222113661,0.03199642403155047
1660088624325062,-0.9923857480735484,0.1101701380941478,0.1151750972762642,-0.0113146430769546,-0.0185595244924626,-0.0161442809243356,0.0063273401499184,0.0071155631455693,-0.6220358410170722,0.03144226645035402
1660088624341065,-0.9955596246280614,0.116639963378347,0.1133440146486606,-0.0119348260334321,-0.0201303998985546,-0.0158535767980695,0.0067029095011969,0.0070843182074221,-0.622351715839964,0.030733575867627386
1660088624357068,-0.9984893568322272,0.1090714885175856,0.1088273441672385,-0.0125630644076025,-0.0218643384178964,-0.0156063122684516,0.0070640182215973,0.0070651763438191,-0.6226661105463954,0.02994852030487174
1660088624373047,-0.9927519645990692,0.1152971694514378,0.1083390554665442,-0.0131644667280852,-0.0237712017324411,-0.0154253063372909,0.0074088302400027,0.0070696749487554,-0.6229787391298752,0.029091195288733187
1660088624389050,-0.9986114290074006,0.1024795910582128,0.1039444571602957,-0.0137080359583282,-0.0258502917886248,-0.0153300360001858,0.0077356132745695,0.0070981684491645,-0.6232888148827592,0.02821139534368353
1660088624405053,-0.9936064698252842,0.1044327458609899,0.1049210345616842,-0.0141723608218136,-0.0280970966526943,-0.0153396097029234,0.0080428234209661,0.0071223802966173,-0.6235952010711059,0.027159596601593877
1660088624421056,-0.9903105210955978,0.1221332112611577,0.1061417563134199,-0.0145490446195412,-0.0305047310107812,-0.0154655462248286,0.0083291160492639,0.0071307782692573,-0.6238964874681341,0.02598132502367373
1660088624437059,-0.99311818112459,0.1084611276417178,0.1111467154955363,-0.0148430690831836,-0.0330676775080234,-0.0157042420097096,0.0085932618011196,0.0071267530511383,-0.624191202627256,0.02473659719333736
1660088624453062,-0.9932402532997636,0.1052872510872049,0.1095597772182799,-0.0150702508443278,-0.0357872858516435,-0.0160360088598564,0.0088339645932332,0.0071081050511328,-0.6244780575478022,0.02343302686289406
1660088624469065,-0.9923857480735484,0.1109025711451892,0.1089494163424121,-0.015252905749771,-0.0386683652804681,-0.0164347990704833,0.0090497001686821,0.0070604518428445,-0.6247561020725679,0.02219598645154679
1660088624485068,-0.9970244907301442,0.1067521171892878,0.0977187762264435,-0.0154149769699935,-0.04170820330757,-0.0168854674972954,0.0092387622589289,0.0069803413591284,-0.6250247309196522,0.021132360131989988
1660088624501072,-0.9934843976501108,0.1011367971313035,0.1052872510872049,-0.0155775584325836,-0.0448901855381216,-0.0173915161661287,0.0093995290349626,0.0068800451215816,-0.6252836617181301,0.020053682831061757
1660088624517075,-0.9901884489204242,0.1069962615396349,0.1069962615396349,-0.0157555629972694,-0.0481832749565038,-0.017962733826595,0.0095307589102244,0.0067700979528467,-0.6255329083149135,0.018898735705289396
1660088624533078,-0.9961699855039292,0.1007705806057828,0.1007705806057828,-0.0159559820923993,-0.0515423778005488,-0.0186013302641165,0.0096317825467863,0.0066417427229822,-0.6257727103276257,0.01813424823092396
