Frame #,Index Pink X,Index Pink Y,Thumb Pink X,Thumb Pink Y,Hand Green X,Hand Green Y,Timestamp (microseconds),angles,Seconds,Index Pink X meters,Index Pink Y meters,Thumb Pink X meters,Hand Green X meters,Thumb Pink Y meters,Hand Green Y meters
1.0,243.9655151,499.7801819,259.8089905,905.531189,772.746582,904.9941406,1660170934763330.0,37.52355107870244,0.0,0.05707706214557093,-0.11692629792263227,0.06078372958025716,0.18078827520156976,-0.21185395783547661,-0.21172831243477558
2.0,243.9655151,499.7801819,259.8089905,905.531189,772.6850586,904.7648315,1660170934779996.8,37.53673641398067,0.01666675,0.05707706214557093,-0.11692629792263227,0.06078372958025716,0.18077388146676768,-0.21185395783547661,-0.21167466432083668
3.0,244.80159,499.0349121,259.617218,904.6644287,772.583313,904.625,1660170934796663.2,37.54598792678293,0.03333325,0.05727266642597954,-0.11675193799035913,0.06073886335850519,0.1807500775290191,-0.21165117453846788,-0.21164194997917188
4.0,244.80159,499.0349121,259.617218,904.6644287,772.583313,904.625,1660170934813330.0,37.54598792678293,0.05,0.05727266642597954,-0.11675193799035913,0.06073886335850519,0.1807500775290191,-0.21165117453846788,-0.21164194997917188
5.0,244.4318237,499.536377,260.508728,904.0596924,772.5783081,904.4458008,1660170934829996.5,37.43278082580572,0.0666665,0.05718615758445009,-0.11686925843726488,0.06094743698274279,0.1807489066053817,-0.21150969318458623,-0.2116000253494936
6.0,244.0145569,499.5372314,259.8598633,904.5310669,772.4074097,904.6131592,1660170934846663.2,37.46527769371414,0.08333325,0.057088535742014196,-0.11686945832880233,0.060795631549131444,0.1807089239931122,-0.21161997381838527,-0.21163917975946614
7.0,244.2434082,499.6604614,259.4952698,904.684021,772.2753906,904.6252441,1660170934863330.0,37.492331315732464,0.1,0.057142076751147554,-0.11689828865904517,0.06071033291235961,0.1806780374050138,-0.21165575826385308,-0.2116420070876975
8.0,244.2639465,499.3981934,260.0881653,903.8847656,772.5174561,904.5930176,1660170934879996.5,37.410680067295374,0.1166665,0.05714688179838952,-0.11683692963078801,0.060849044046535516,0.1807346699482695,-0.21146876810617737,-0.21163446752235165
9.0,244.2639465,499.3981934,260.0881653,903.8847656,772.5174561,904.5930176,1660170934896663.5,37.410680067295374,0.1333335,0.05714688179838952,-0.11683692963078801,0.060849044046535516,0.1807346699482695,-0.21146876810617737,-0.21163446752235165
10.0,244.2639465,499.3981934,260.0881653,903.8847656,773.1737671,903.9697266,1660170934913330.0,37.4034614226298,0.15,0.05714688179838952,-0.11683692963078801,0.060849044046535516,0.18088821748435657,-0.21146876810617737,-0.21148864519526087
11.0,245.3876953,498.5622253,261.6711731,903.4135132,773.5684814,904.0961304,1660170934929996.8,37.4404246080676,0.16666675,0.05740978895585117,-0.11664135033682158,0.06121939735052803,0.18098056304648086,-0.2113585160383389,-0.21151821805331453
12.0,245.4724731,498.4923401,261.5379028,903.4746094,773.9124756,904.2160034,1660170934946663.5,37.43329103248172,0.1833335,0.05742962318429605,-0.1166250003133282,0.0611882180373692,0.18106104236472823,-0.21137280982737228,-0.21154626299510793
13.0,245.2855072,498.5725098,261.9297485,903.3723755,773.6097412,903.9755859,1660170934963330.0,37.43283955411781,0.2,0.05738588149281548,-0.11664375645165873,0.06127989247488636,0.18099021600160342,-0.21134889164917692,-0.2114900160104357
14.0,245.1869202,498.772583,261.894104,903.3599854,773.6759033,904.0648193,1660170934979996.8,37.40528277947674,0.21666675,0.05736281652675485,-0.1166905646674239,0.061271553249808534,0.1810056949855567,-0.21134599291774187,-0.21151089265078862
15.0,245.3986664,498.5343323,261.5858154,903.6254272,773.8117676,903.9395752,1660170934996663.2,37.46073883926455,0.23333325,0.057412355704501074,-0.1166348246174232,0.061199427451317054,0.18103748117915577,-0.21140809447380982,-0.21148159111087167
16.0,245.3986664,498.5343323,261.5858154,903.6254272,773.9641724,904.0484009,1660170935013330.0,37.44802727472429,0.25,0.057412355704501074,-0.1166348246174232,0.061199427451317054,0.18107313711289424,-0.21140809447380982,-0.21150705147660978
17.0,245.1445465,498.3554688,262.3149719,903.2828979,774.2467041,903.911499,1660170935029996.8,37.39975858918686,0.26666675,0.057352902968655264,-0.11659297852658985,0.061370017589219485,0.18113923694422648,-0.2113279578769028,-0.21147502253083464
18.0,245.5847015,498.4398804,262.3528137,903.3955078,774.3123779,903.921875,1660170935046663.2,37.42574084593573,0.28333325,0.05745587963024773,-0.11661272708054853,0.06137887088461009,0.18115460168773295,-0.2113543035768591,-0.21147745005259555
19.0,245.3262939,498.1884766,262.07724,903.444458,774.2467041,903.911499,1660170935063330.0,37.43875966842303,0.3,0.05739542376361411,-0.11655390979110354,0.061314398915306816,0.18113923694422648,-0.21136575574298305,-0.21147502253083464
20.0,245.3262939,498.1884766,262.07724,903.444458,774.2467041,903.911499,1660170935079996.5,37.43875966842303,0.3166665,0.05739542376361411,-0.11655390979110354,0.061314398915306816,0.18113923694422648,-0.21136575574298305,-0.21147502253083464
21.0,245.8286438,498.3641357,262.2929993,903.3729248,774.5290527,903.8217163,1660170935096663.2,37.43421080193778,0.33333325,0.05751295126109411,-0.11659500619508927,0.06136487697967397,0.1812052939383156,-0.21134902016090623,-0.21145401737875238
22.0,245.710495,498.3492737,261.891571,903.7993774,774.2467041,903.911499,1660170935113330.0,37.487606828101136,0.35,0.057485309705289554,-0.11659152914917456,0.06127096064065081,0.18113923694422648,-0.2114487910713251,-0.21147502253083464
