Timestamp (microseconds),Accel X (g),Accel Y (g),Accel Z (g),vel x (m/s),vel y (m/s),vel z (m/s),disp x (m),disp y (m),disp z (m),vel x (m/s).1,vel y (m/s).1,vel z (m/s).1,disp x (m).1,disp y (m).1,disp z (m).1,stamp velocity (m/s)
1658795928051727,-0.1032120241092547,-0.5289997711146714,0.8764171816586561,0.0,0.0,0.0,0.0013764713478444,0.0002626498460699,-0.6482805363301543,0.0,0.0,0.0,0.0013764758760778,0.0002626492977471,-0.6482805247739329,
1658795928067725,-0.1046768902113375,-0.5264362554360265,0.8766613260090033,6.279781850933086e-05,-9.895133415152972e-06,0.0001159688820908,0.0014346700378166,0.0002477403310166,-0.6485441493704746,6.279878950235717e-05,-9.896956628637916e-06,0.0001159701314035,0.0014346752860385,0.0002477396699685,-0.6485441376626964,0.016898272861601605
1658795928083724,-0.1035782406347754,-0.5264362554360265,0.8782482642862597,7.595429979149898e-05,-1.088447290776399e-05,0.0003017043342991,0.0014914215142193,0.0002165654935724,-0.6488022432962705,7.595631130319824e-05,-1.088809200124211e-05,0.0003017068007648,0.001491427456133,0.0002165647247446,-0.6488022314543002,0.016630764402002472
1658795928099722,-0.1029678797589075,-0.5318074311436636,0.876173037308309,2.493243953461764e-05,2.832160645518141e-05,0.0005720691469046,0.0015464374746718,0.000154942534885,-0.6490556319306408,2.493556118374111e-05,2.831621903101737e-05,0.0005720727981788,0.0015464440843829,0.0001549416631159,-0.6490556199714351,0.01665715229380008
1658795928115720,-0.1034561684596018,-0.5277790493629357,0.8805676356145575,-0.0001033953738576,0.0001335363325679,0.000940325738623,0.0015997127557925,7.626609091673773e-05,-0.6493053454506665,-0.0001033910723643,0.0001335292045767,0.0009403305421785,0.0015997200078058,7.626512093894162e-05,-0.6493053333907786,0.0166987415901301
1658795928131719,-0.0995498588540475,-0.5265583276112,0.8788586251621275,-0.0003164898705072,0.0003120019112024,0.0014045057868191,0.0016514260571088,-1.847047527661166e-06,-0.6495525778834567,-0.0003164843193803,0.000311993070621,0.0014045117099477,0.0016514339263254,-1.848111085936687e-06,-0.6495525657390395,0.01652410688703059
1658795928147717,-0.0997940032043946,-0.5246051728084229,0.8793469138628218,-0.0006119659269954,0.0005561803387071,0.0019479164491728,0.0017018287239006,-6.966914312295325e-05,-0.6497985666286845,-0.0006119590563676,0.0005561698137237,0.0019479234589876,0.0017018371856151,-6.967029573702753e-05,-0.6497985544154954,0.016256096001942184
1658795928163715,-0.0996719310292211,-0.5236285954070343,0.8809338521400782,-0.000974415738727,0.0008629082617323,0.002551691755557,0.0017512402832842,-0.0001212114070769,-0.6500444087311436,-0.0009744074786586,0.0008628960807452,0.0025516998189941,0.0017512493131814,-0.0001212126443245,-0.650044396464548,0.01600005450621785
1658795928179714,-0.1024795910582132,-0.5388876173037307,0.8784924086366068,-0.0013745236126617,0.0012354365664188,0.0031979062857814,0.0018001281697622,-0.0001562857651886,-0.650290844723088,-0.0013745138931458,0.001235422758035,0.0031979153696021,0.0018001377439149,-0.0001562870827485,-0.6502908324180636,0.015854678697131724
1658795928195712,-0.1044327458609904,-0.5311970702677957,0.8784924086366068,-0.0017716381661309,0.001660593463486,0.0038599828509855,0.001849069291102,-0.000177951025304,-0.6505380563709855,-0.0017716269170984,0.0016605780565196,0.0038599929217782,0.001849079385968,-0.0001779524189553,-0.6505380440421262,0.01580869713535893
1658795928211711,-0.1035782406347754,-0.529121843289845,0.877882047760739,-0.0021200255943101,0.00209959563908,0.0045018370669763,0.0018985315118021,-0.0001974933925222,-0.6507855353804253,-0.0021200127456354,0.0020995786625509,0.0045018480911589,0.0018985421042216,-0.000197494858143,-0.6507855230419448,0.01582056063155654
1658795928227709,-0.1024795910582132,-0.5232623788815136,0.8859388113221947,-0.0023778884823221,0.0025061335777712,0.0050875549200481,0.0019486814725428,-0.0002091941145022,-0.6510320746826619,-0.0023778739638277,0.002506115060903,0.0050875668638695,0.0019486925397359,-0.0002091956480687,-0.6510320623483979,0.015741261589329075
1658795928243707,-0.1024795910582132,-0.5244831006332493,0.8861829556725418,-0.0025172565866307,0.0028339482774628,0.0055811771590206,0.0019993323222733,-0.0002075182876446,-0.6512759107350851,-0.0025172403280926,0.0028339282496817,0.005581189988563,0.0019993438418374,-0.0002075198852296,-0.6512758984185031,0.015565428619444209
1658795928259706,-0.101991302357519,-0.5268024719615472,0.8726329442282745,-0.0025319133277402,0.0030286953430906,0.0059436834116488,0.0020499004606876,-0.0002000950201141,-0.6515150070713241,-0.0025318952588933,0.0030286738340238,0.00594369709283,0.0020499124105952,-0.0002000966778867,-0.6515149947855213,0.015281128517726658
1658795928275704,-0.0999160753795682,-0.5300984206912336,0.8695811398489353,-0.0024404944133305,0.0030430337591663,0.0061451326477195,0.0020993739067523,-0.0001907367302977,-0.6517474276165481,-0.0024404744638738,0.00304301079864,0.0061451471462947,0.0020993862653481,-0.0001907384445213,-0.6517474153742575,0.014863245000254136
1658795928291702,-0.1032120241092547,-0.5332722972457464,0.877027542534524,-0.0022833206027256,0.0028656861485823,0.0061754174256949,0.0021464949174292,-0.0001838984316698,-0.6519717086398853,-0.0022832987023274,0.0028656617666207,0.0061754327072591,0.0021465076634282,-0.0001839001987018,-0.651971696453479,0.014329974240602372
