Frame #,Shoulder Pink X,Shoulder Pink Y,Hand Pink X,Hand Pink Y,Head Pink X,Head Pink Y,Elbow Green X,Elbow Green Y,angles,Timestamp (microseconds),Seconds,Shoulder Pink X meters,Hand Pink X meters,Head Pink X meters,Elbow Green X meters,Shoulder Pink Y meters,Hand Pink Y meters,Head Pink Y meters,Elbow Green Y meters,angular velocity
1.0,250.1523132,557.3570557,930.4692383,745.8640747,275.9689026,288.0579834,541.6260376,741.7316895,148.29307070100347,1658795937000000.0,0.0,0.2026357388327189,0.7537260765335898,0.2235484523722791,0.438743863273274,-0.4514867655255342,-0.6041867689017907,-0.2333412053889497,-0.6008393326241421,
2.0,250.1523132,557.3570557,930.4692383,745.8640747,275.9689026,288.0579834,541.6260376,741.7316895,148.29307070100347,1658795937016666.8,0.01666675,0.2026357388327189,0.7537260765335898,0.2235484523722791,0.438743863273274,-0.4514867655255342,-0.6041867689017907,-0.2333412053889497,-0.6008393326241421,0.0
3.0,250.1523132,557.3570557,930.4692383,745.8640747,275.9689026,288.0579834,541.6260376,741.7316895,148.29307070100347,1658795937033333.2,0.03333325,0.2026357388327189,0.7537260765335898,0.2235484523722791,0.438743863273274,-0.4514867655255342,-0.6041867689017907,-0.2333412053889497,-0.6008393326241421,0.0
4.0,250.1523132,557.3570557,930.4692383,745.8640747,275.9689026,288.0579834,541.6260376,741.7316895,148.29307070100347,1658795937050000.0,0.05,0.2026357388327189,0.7537260765335898,0.2235484523722791,0.438743863273274,-0.4514867655255342,-0.6041867689017907,-0.2333412053889497,-0.6008393326241421,0.0
5.0,250.1523132,557.3570557,930.4692383,745.8640747,275.9689026,288.0579834,541.6260376,741.7316895,148.29307070100347,1658795937066666.5,0.0666665,0.2026357388327189,0.7537260765335898,0.2235484523722791,0.438743863273274,-0.4514867655255342,-0.6041867689017907,-0.2333412053889497,-0.6008393326241421,0.0
6.0,250.1523132,557.3570557,930.4692383,745.8640747,275.9689026,288.0579834,541.6260376,741.7316895,148.29307070100347,1658795937083333.2,0.08333325,0.2026357388327189,0.7537260765335898,0.2235484523722791,0.438743863273274,-0.4514867655255342,-0.6041867689017907,-0.2333412053889497,-0.6008393326241421,0.0
7.0,250.1523132,557.3570557,930.4692383,745.8640747,275.9689026,288.0579834,541.6260376,741.7316895,148.29307070100347,1658795937100000.0,0.1,0.2026357388327189,0.7537260765335898,0.2235484523722791,0.438743863273274,-0.4514867655255342,-0.6041867689017907,-0.2333412053889497,-0.6008393326241421,0.0
8.0,250.1685486,557.3106689,930.4692383,745.8640747,275.9689026,288.0579834,541.6260376,741.7316895,148.28511659759852,1658795937116666.5,0.1166665,0.202648890309242,0.7537260765335898,0.2235484523722791,0.438743863273274,-0.4514491899246139,-0.6041867689017907,-0.2333412053889497,-0.6008393326241421,-0.47725097680709827
9.0,250.2552032,557.1276245,930.4692383,745.8640747,275.9689026,288.0579834,541.6260376,741.7316895,148.2517262702678,1658795937133333.5,0.1333335,0.2027190848186176,0.7537260765335898,0.2235484523722791,0.438743863273274,-0.4513009149126473,-0.6041867689017907,-0.2333412053889497,-0.6008393326241421,-2.0033795722518435
10.0,250.2552032,557.1276245,930.4692383,745.8640747,275.9689026,288.0579834,541.6260376,741.7316895,148.2517262702678,1658795937150000.0,0.15,0.2027190848186176,0.7537260765335898,0.2235484523722791,0.438743863273274,-0.4513009149126473,-0.6041867689017907,-0.2333412053889497,-0.6008393326241421,0.0
