Frame #,Body Pink X,Body Pink Y,Hand Pink X,Hand Pink Y,Shoulder Green X,Shoulder Green Y,Elbow Orange X,Elbow Orange Y,Timestamp (microseconds),angles,Seconds,Body Pink X meters,Hand Pink X meters,Shoulder Green X meters,Elbow Orange X meters,Body Pink Y meters,Hand Pink Y meters,Shoulder Green Y meters,Elbow Orange Y meters
22.0,158.8285522,1737.354126,331.891571,1244.524048,138.9261322,1045.990967,131.0,1304.5,1659998216776670.0,0.0911439054703117,0.35,0.26056087937309913,0.5444736377586861,0.22791062861514533,0.2149076770207818,2.850158315886494,2.0416623828410683,1.7159655641426812,2.140053928806182
23.0,158.9625244,1737.430664,331.891571,1244.524048,139.160553,1045.851685,130.8984222,1304.59082,1659998216793336.8,0.091178511331119,0.36666675,0.26078066299361335,0.5444736377586861,0.22829519983326252,0.21474103695181326,2.850283877747439,2.0416623828410683,1.7157370697070264,2.1402029205254722
24.0,158.7750854,1737.441772,332.1245117,1244.522949,139.160553,1045.851685,130.8984222,1304.59082,1659998216810003.5,0.0564316008416509,0.3833335,0.2604731661991622,0.5448557808481563,0.22829519983326252,0.21474103695181326,2.850302100606037,2.0416605799133047,1.7157370697070264,2.1402029205254722
25.0,158.7750854,1737.441772,332.1245117,1244.522949,138.9709473,1046.001709,130.8984222,1304.59082,1659998216826670.2,0.0564432040511896,0.40000025,0.2604731661991622,0.5448557808481563,0.22798414853145413,0.21474103695181326,2.850302100606037,2.0416605799133047,1.7159831865721968,2.1402029205254722
26.0,158.7750854,1737.441772,332.1245117,1244.522949,138.8710175,1045.951416,130.8984222,1304.59082,1659998216843336.8,0.0564241775409005,0.41666675,0.2604731661991622,0.5448557808481563,0.22782021203387282,0.21474103695181326,2.850302100606037,2.0416605799133047,1.715900680069904,2.1402029205254722
27.0,158.7750854,1737.441772,332.1245117,1244.522949,138.6467438,1046.092407,130.8984222,1304.59082,1659998216860003.5,0.0564306931858553,0.4333335,0.2604731661991622,0.5448557808481563,0.22745228730193498,0.21474103695181326,2.850302100606037,2.0416605799133047,1.71613197814846,2.1402029205254722
28.0,158.7750854,1737.441772,332.1245117,1244.522949,138.675827,1046.043945,130.873764,1304.639771,1659998216876670.0,0.0564240053919024,0.45,0.2604731661991622,0.5448557808481563,0.22749999877485355,0.21470058476493145,2.850302100606037,2.0416605799133047,1.716052475432095,2.140283225454464
29.0,158.7750854,1737.441772,332.1245117,1244.522949,138.7678833,1046.244385,130.873764,1304.639771,1659998216893336.8,0.0564714413273852,0.46666675,0.2604731661991622,0.5448557808481563,0.22765101866483925,0.21470058476493145,2.850302100606037,2.0416605799133047,1.716381300583103,2.140283225454464
30.0,158.8439331,1737.406006,332.1245117,1244.522949,138.6977539,1046.143311,130.873764,1304.639771,1659998216910003.5,0.0564453061583549,0.4833335,0.26058611199515624,0.5448557808481563,0.2275359702186953,0.21470058476493145,2.85024342588866,2.0416605799133047,1.716215487006407,2.140283225454464
31.0,158.9718475,1737.226807,331.8609314,1244.339478,138.5478668,1046.037231,131.0,1304.5,1659998216926670.0,0.0689482672225219,0.5,0.2607959576940991,0.5444233729857025,0.22729007794024964,0.2149076770207818,2.8499494469511455,2.0413595926887957,1.7160414610035186,2.140053928806182
32.0,158.9718475,1737.226807,331.8609314,1244.339478,138.5478668,1046.037231,131.0,1304.5,1659998216943336.8,0.0689482672225219,0.51666675,0.2607959576940991,0.5444233729857025,0.22729007794024964,0.2149076770207818,2.8499494469511455,2.0413595926887957,1.7160414610035186,2.140053928806182
33.0,158.9718475,1737.226807,331.8609314,1244.339478,138.568634,1046.055298,131.0,1304.5,1659998216960003.5,0.06895546924842,0.5333335,0.2607959576940991,0.5444233729857025,0.22732414687696892,0.2149076770207818,2.8499494469511455,2.0413595926887957,1.7160711002172646,2.140053928806182
34.0,158.9718475,1737.226807,332.358551,1244.358521,138.6467438,1046.092407,131.0,1304.5,1659998216976670.0,0.0019336438873687,0.55,0.2607959576940991,0.5452397262091835,0.22745228730193498,0.2149076770207818,2.8499494469511455,2.0413908330467616,1.71613197814846,2.140053928806182
35.0,159.3561249,1736.500732,332.5,1244.227417,138.771759,1045.697876,131.0,1304.5,1659998216993336.8,0.0417939570175786,0.56666675,0.2614263711549051,0.5454717756443508,0.2276573768150975,0.2149076770207818,2.8487583088473833,2.0411757547560123,1.7154847434864546,2.140053928806182
36.0,159.2387543,1736.878296,332.5,1244.227417,138.5674438,1045.359741,131.0,1304.5,1659998217010003.2,0.0417455803580633,0.58333325,0.2612338227350842,0.5454717756443508,0.2273221943340896,0.2149076770207818,2.8493777088639227,2.0411757547560123,1.714930027399665,2.140053928806182
37.0,159.1839294,1736.534912,332.5,1244.227417,138.6699829,1045.605347,131.0,1304.5,1659998217026670.0,0.0417723954896529,0.6,0.26114388157552776,0.5454717756443508,0.2274904114316835,0.2149076770207818,2.848814381705403,2.0411757547560123,1.7153329481242632,2.140053928806182
38.0,158.9906311,1736.834473,332.5,1244.227417,138.8385925,1045.598267,130.8984222,1304.59082,1659998217043336.8,0.041802726169441,0.61666675,0.26082677250205394,0.5454717756443508,0.22776701828251864,0.21474103695181326,2.849305816504151,2.0411757547560123,1.7153213332666046,2.1402029205254722
39.0,159.1988831,1736.55127,332.6666565,1243.994507,138.6930695,1045.559448,131.1015778,1304.40918,1659998217060003.5,0.0999879072346545,0.6333335,0.26116841336888547,0.5457451784021784,0.2275282853826477,0.2150743170897504,2.848841217276248,2.0407936620304024,1.7152576500519918,2.139904937086892
40.0,159.2759399,1736.612427,332.6666565,1243.994507,138.6960754,1045.617676,131.1015778,1304.40918,1659998217076670.2,0.1000010268201266,0.65000025,0.26129482632985235,0.5457451784021784,0.22753321661155118,0.2150743170897504,2.8489415463510843,2.0407936620304024,1.7153531740536527,2.139904937086892
41.0,159.4611816,1736.487793,332.6666565,1243.994507,138.7880402,1045.635864,131.1015778,1304.40918,1659998217093336.8,0.1000325473092977,0.66666675,0.26159871841713767,0.5457451784021784,0.2276840863942663,0.2150743170897504,2.848737082202857,2.0407936620304024,1.7153830117699096,2.139904937086892
42.0,159.5287628,1736.719727,332.6666565,1243.994507,139.0213928,1045.532959,131.5,1304.5,1659998217110003.5,0.1000811894378447,0.6833335,0.26170958649883447,0.5457451784021784,0.22806690521253162,0.21572793533002144,2.849117573784247,2.0407936620304024,1.7152141944072847,2.140053928806182
43.0,159.6926575,1736.547363,332.6666565,1243.994507,138.9098663,1045.435425,131.5,1304.5,1659998217126670.0,0.1000270911909527,0.7,0.2619784584778651,0.5457451784021784,0.2278839441358808,0.21572793533002144,2.8488348077778194,2.0407936620304024,1.715054188259418,2.140053928806182
44.0,159.6719513,1736.647827,332.6666565,1243.994507,138.8341827,1045.437622,131.57724,1304.561035,1659998217143336.8,0.1000047878391658,0.71666675,0.26194448961265954,0.5457451784021784,0.22775978393233448,0.21585464883363276,2.8489996206393786,2.0407936620304024,1.7150577924744288,2.140154057737991
45.0,159.821228,1736.41687,332.7923889,1243.908569,138.8258667,1045.49585,131.57724,1304.561035,1659998217160003.5,0.1309877560766642,0.7333335,0.2621893805197613,0.5459514444938597,0.2277461413961352,0.21585464883363276,2.8486207318427246,2.0406526793132436,1.7151533164760897,2.140154057737991
46.0,159.821228,1736.41687,332.7923889,1243.908569,138.9006805,1045.494995,131.57724,1304.561035,1659998217176670.0,0.1310169230666886,0.75,0.2621893805197613,0.5459514444938597,0.22786887467832675,0.21585464883363276,2.8486207318427246,2.0406526793132436,1.715151913834381,2.140154057737991
47.0,159.821228,1736.41687,332.7923889,1243.908569,138.8695679,1045.660278,131.57724,1304.561035,1659998217193336.8,0.1310503742289011,0.76666675,0.2621893805197613,0.5459514444938597,0.22781783394098265,0.21585464883363276,2.8486207318427246,2.0406526793132436,1.715423063342633,2.140154057737991
48.0,159.821228,1736.41687,332.7923889,1243.908569,139.0610352,1045.442871,131.57724,1304.561035,1659998217210003.5,0.1310655129580859,0.7833335,0.2621893805197613,0.5459514444938597,0.228131939228528,0.21585464883363276,2.8486207318427246,2.0406526793132436,1.7150664035461594,2.140154057737991
49.0,159.9729462,1736.532227,333.5,1243.5,138.9428101,1045.661743,131.57724,1304.561035,1659998217226670.0,0.2945330122878722,0.8,0.26243827674818704,0.5471122922628301,0.22793798898725667,0.21585464883363276,2.848809976918282,2.039982415078948,1.7154254666994788,2.140154057737991
50.0,159.9729462,1736.532227,333.5,1243.5,138.9428101,1045.661743,131.57724,1304.561035,1659998217243336.8,0.2945330122878722,0.81666675,0.26243827674818704,0.5471122922628301,0.22793798898725667,0.21585464883363276,2.848809976918282,2.039982415078948,1.7154254666994788,2.140154057737991
51.0,159.9729462,1736.532227,333.5,1243.5,138.9428101,1045.661743,131.8984222,1304.59082,1659998217260003.2,0.2945330122878722,0.83333325,0.26243827674818704,0.5471122922628301,0.22793798898725667,0.2163815535702925,2.848809976918282,2.039982415078948,1.7154254666994788,2.1402029205254722
