Frame #,Body Pink X,Body Pink Y,Hand Pink X,Hand Pink Y,Shoulder Green X,Shoulder Green Y,Elbow Orange X,Elbow Orange Y,Timestamp (microseconds),angles,Seconds,Body Pink X meters,Hand Pink X meters,Shoulder Green X meters,Elbow Orange X meters,Body Pink Y meters,Hand Pink Y meters,Shoulder Green Y meters,Elbow Orange Y meters,angular velocity,Body Pink m/s,Hand Pink m/s,Shoulder Green m/s,Elbow Orange m/s
1.0,386.6315002,1260.36853,408.8327942,1583.631714,306.4761963,1031.362305,326.3129272,1272.687134,1659658442825000.0,0.0,0.0,-0.3365064220289085,0.3558294156403636,0.266742901705096,0.2840078874511004,-1.096967278270761,-1.3783208083510623,-0.8976507058827535,-1.1076888292935996,,,,,
2.0,386.772583,1260.5,408.9451599,1583.427246,306.9203491,1031.224365,325.9908447,1272.515259,1659658442841666.8,0.0150595514819785,0.01666675,-0.3366292140627011,0.3559272136202132,0.2671294720427039,0.2837275615345182,-1.09708170376191,-1.3781428487304317,-0.8975306491987257,-1.1075392371334774,0.9035685710758544,0.010070544956232372,0.012183704575191818,0.02428705086816504,0.0190645629889489
3.0,386.772583,1260.5,408.9924622,1583.300049,307.0,1031.351074,326.1353149,1272.50647,1659658442858333.2,0.0221674626779077,0.03333325,-0.3366292140627011,0.3559683833844939,0.2671987965528809,0.2838533018067585,-1.09708170376191,-1.3780321422635744,-0.8976409309326423,-1.1075315875887777,0.4264789365451175,0.0,0.0070868283922944615,0.007815664704231473,0.007558364489081702
4.0,387.0055237,1260.333374,409.1273499,1583.187134,307.1875,1031.324097,326.2954407,1272.459717,1659658442875000.0,0.0377914498132756,0.05,-0.3368319550226626,0.3560857834858287,0.267361988000287,0.2839926679991267,-1.0969366800919609,-1.3779338661980605,-0.8976174513823667,-1.1074908959101608,0.937434540949369,0.014956227535376154,0.00918626626256668,0.009892312977027614,0.008711113236661152
5.0,387.0055237,1260.333374,409.1273499,1583.187134,307.1875,1031.324097,326.1353149,1272.50647,1659658442891666.8,0.0377914498132756,0.06666675,-0.3368319550226626,0.3560857834858287,0.267361988000287,0.2838533018067585,-1.0969366800919609,-1.3779338661980605,-0.8976174513823667,-1.1075315875887777,0.0,0.0,0.0,0.0,0.008711113236661152
6.0,387.0055237,1260.333374,409.5,1583.5,307.1875,1031.324097,326.5479126,1272.65564,1659658442908333.2,0.0693810179513626,0.08333325,-0.3368319550226626,0.3564101211348688,0.267361988000287,0.2842124080246753,-1.0969366800919609,-1.3782061704934427,-0.8976174513823667,-1.1076614183525617,1.8953930422156424,0.0,0.025409453821886932,0.0,0.022911304866735486
7.0,387.0055237,1260.333374,409.8609314,1583.525513,307.1875,1031.324097,326.5479126,1272.65564,1659658442925000.0,0.1051094307340747,0.1,-0.3368319550226626,0.3567242593619638,0.267361988000287,0.2842124080246753,-1.0969366800919609,-1.378228375844897,-0.8976174513823667,-1.1076614183525617,2.143694048492482,0.0,0.018895323550553126,0.0,0.0
8.0,387.5,1260.5,409.8726501,1583.812866,307.1875,1031.324097,326.5479126,1272.65564,1659658442941666.5,0.1009283667259287,0.1166665,-0.3372623246392226,0.3567344587839089,0.267361988000287,0.2842124080246753,-1.09708170376191,-1.3784784747888248,-0.8976174513823667,-1.1076614183525617,-0.2508663491522512,0.027248844711890756,0.015018409897939887,0.0,0.0
9.0,387.355072,1260.027222,409.9066162,1583.606323,307.1875,1031.324097,326.5479126,1272.65564,1659658442958333.5,0.1081838313677657,0.1333335,-0.3371361859187444,0.3567640213280248,0.267361988000287,0.2842124080246753,-1.0966702193559272,-1.378298709182843,-0.8976174513823667,-1.1076614183525617,0.435319172126778,0.025823040398359583,0.010930810655714714,0.0,0.0
10.0,387.6107788,1260.171509,410.3235779,1583.760742,307.5,1031.0,326.5479126,1272.65564,1659658442975000.2,0.1470568113686851,0.15000025,-0.3373587414536968,0.3571269257724829,0.2676339737459637,0.2842124080246753,-1.0967958001792442,-1.3784331084368002,-0.8973353721368736,-1.1076614183525617,2.332367138219471,0.015332495999103017,0.023219519008328887,0.02351088700413738,0.0
