Timestamp (microseconds),Accel X (g),Accel Y (g),Accel Z (g),vel x (m/s),vel y (m/s),vel z (m/s),disp x (m),disp y (m),disp z (m),stamp velocity (m/s),ax_linear,ay_linear,az_linear
1658794393706817,-0.9881132219424736,-0.1388570992599374,0.0740367742427707,0.0,0.0,0.0,-0.0027212910768755,-0.0023867686378777,-0.6467303263598606,0.0,0.0,0.0,0.0
1658794393722815,-0.9853055619134814,-0.1318989852750438,0.0746471351186386,4.455956996593394e-05,0.0002467430605318,0.0006496849943472,-0.0027470226999388,-0.0026446730397004,-0.6464886573862448,0.00010840325878592039,0.002526894026092963,0.006262302586404228,0.0005493247882811109
1658794393738812,-0.9843289845120928,-0.1242084382391089,0.0790417334248871,8.258112602514231e-05,0.0009541105087771,0.0016972607231322,-0.0027726208436784,-0.0028905866718284,-0.6462443435509667,0.0003245431765837912,0.003153124284733355,0.012557564660105214,0.00444953078507665
1658794393754809,-0.9877470054169528,-0.123598077363241,0.0785534447241929,0.0001180446791154,0.0020321568975219,0.0031132049266787,-0.0027954095268348,-0.0031745089682038,-0.6459975851654733,0.0005168923831717939,-0.00023840695811394585,0.011851132982375806,0.0035651178759442126
1658794393770807,-0.9898222323949036,-0.1294575417715724,0.083070115205615,0.0001592869083468,0.0033736522089343,0.004864134342131,-0.0028138274177176,-0.0034950225661109,-0.6457484876162543,0.0006324940605804641,-0.002082270542458242,0.005392501716639964,0.00727360952162967
1658794393786804,-0.990798809796292,-0.1358052948805981,0.0896620126649878,0.0002196507046404,0.004872805412861,0.0069070124139388,-0.002827483379461,-0.0038067435286314,-0.6454969073862995,0.0007229273666961689,-0.00275296314946194,-0.0008597262531471472,0.012478956282902229
1658794393802802,-0.9918974593728542,-0.1351949340047303,0.0956435492484928,0.000314889732247,0.0064351083606654,0.0091934424236307,-0.0028370082292796,-0.0041267606580295,-0.6452425413059014,0.0009122144234587562,-0.003466451453421837,-0.00022442883955139936,0.016614443579766505
1658794393818799,-0.9901884489204242,-0.1316548409246967,0.0916151674677649,0.0004571508372833,0.0079828642397393,0.0116662346094789,-0.0028438035529896,-0.0044643557654676,-0.6449848602786297,0.0010882310760719199,-0.001581696900892715,0.002984097816433967,0.011327455619134744
1658794393834797,-0.9851834897383078,-0.1254291599908446,0.0952773327229721,0.0006478106190316,0.009456227532143,0.0142576227551793,-0.002849724235537,-0.0048091793982982,-0.6447231845238889,0.001339235235338055,0.003080936053101224,0.008288800875257463,0.013490658786907764
1658794393850794,-0.9866483558403908,-0.1215228503852903,0.0911268787670707,0.0008729171860259,0.0108134948093122,0.0169082564612696,-0.0028568206621863,-0.0051465840493484,-0.6444569146790257,0.0015498775629190211,0.0014544629559164468,0.01097559943273059,0.008406184347905715
1658794393866791,-0.9823758297093156,-0.1238422217135882,0.0867322804608221,0.0011039206630651,0.0120387604038236,0.0195883889946646,-0.002867186611738,-0.0054694910218512,-0.6441858006774229,0.0016735549283841728,0.005154290178292498,0.007790605293989436,0.0036104274374914036
1658794393882789,-0.98286411841001,-0.1356832227054245,0.0880750743877314,0.0013039153539082,0.0131478152553617,0.0222974789788557,-0.0028827964048568,-0.0057781512166677,-0.6439101301446468,0.0017001021452022604,0.004199401329838315,-0.0036453561280621605,0.004457899227960638
1658794393898786,-0.9893339436942092,-0.1403219653620202,0.0894178683146407,0.001437510063302,0.014179124856003,0.0250486531398761,-0.0029052999341634,-0.0060565563146339,-0.6436307348258968,0.0017026249830494919,-0.002043381558924806,-0.0074556889061921094,0.005220623839382932
1658794393914784,-0.992507820248722,-0.1328755626764324,0.0950331883726249,0.0014810383721149,0.0151788711802011,0.0278516750774995,-0.0029358535239598,-0.0063064138179899,-0.6433489583314191,0.0018350729865494622,-0.004695532302093852,-8.35759854386775e-06,0.009752349507630403
1658794393930781,-0.9883573662928208,-0.1248187991149767,0.0984512092774849,0.0014296057586124,0.0161933610649153,0.030699715022576,-0.0029749859177038,-0.0065199443338967,-0.6430663536747773,0.002056783921925032,-0.0004905705115734182,0.007243565366620658,0.011853333371241365
1658794393946778,-0.9892118715190356,-0.1286030365453574,0.0943007553215835,0.0012988122033102,0.0172654689011283,0.0335635915409419,-0.0030224654816208,-0.006697011232953,-0.6427844055787528,0.0021778190187264792,-0.001210568164009329,0.0031133951426159656,0.006932591473805982
1658794393962776,-0.9916533150225072,-0.132143129625391,0.0947890440222778,0.0011210192492196,0.0184284719483794,0.0363935594440204,-0.0030772187968647,-0.0068473334372258,-0.6425042383416817,0.0022700379274402894,-0.003286810500732873,-0.00038402814367585747,0.006678792157050251
1658794393978773,-0.9906767376211184,-0.1305561913481346,0.0917372396429385,0.0009377174943414,0.0197007679994474,0.0391252141044775,-0.0031373592340264,-0.00697206938858,-0.6422263670263881,0.002325238564598909,-0.002079209789409675,0.0010826191202224777,0.003264288999939871
1658794393994771,-0.9903105210955978,-0.130434119172961,0.0933241779201949,0.0007905109525266,0.0210884717551981,0.0416902420797707,-0.0032003006647669,-0.0070733383762433,-0.6419506437557569,0.002396344984784151,-0.0015416939375001437,0.0010842221658564632,0.00436610454947664
1658794394010768,-0.9857938506141756,-0.126161593041886,0.0892957961394671,0.000713241034736,0.0225923133704963,0.0440342073152997,-0.0032629194583491,-0.0071610187133418,-0.6416763354116026,0.0024343628797465432,0.0026774788895298496,0.004821073467238313,0.0003039504918739555
1658794394026764,-0.9868925001907378,-0.1289692530708781,0.0862439917601278,0.0007268710288035,0.0242070809876391,0.046132324724095,-0.0033218067250397,-0.007237724952231,-0.6414022529138168,0.0024128875414438284,0.0014209463816708956,0.0018120720944216073,-0.002473068498718811
1658794394042761,-0.988845654993515,-0.1282368200198367,0.0863660639353014,0.0008377035132777,0.0259144622766438,0.0479887576813569,-0.0033736342710394,-0.0072996707432435,-0.6411269732893073,0.0024014791810186946,-0.000478987578995671,0.0022900546309167213,-0.00211589669119068
1658794394058758,-0.9893339436942092,-0.1204242008087282,0.0872205691615164,0.0010387476844325,0.0276824158333752,0.049625909413028,-0.0034155288683095,-0.0073441125905653,-0.6408490820968588,0.002462368528895056,-0.0008705486517208705,0.009092406457822694,-0.0011352523184781083
1658794394074756,-0.988845654993515,-0.1239642938887617,0.08563363088426,0.0013132293579869,0.0294744077484563,0.051084563976562,-0.0034453446653138,-0.0073648914469019,-0.6405673475989018,0.002474913785777971,-0.00034403395592397246,0.004997082040010287,-0.0024499715361610414
1658794394090753,-0.9878690775921264,-0.1282368200198367,0.0792858777752343,0.0016386395338316,0.0312595546801926,0.0524300454333442,-0.0034618266127208,-0.0073591092284542,-0.6402808612736566,0.002378580415302205,0.0005692891009181356,0.0006521003180417762,-0.00791795218066807
1658794394106751,-0.9851834897383078,-0.1340962844281681,0.0791638056000607,0.0019900907372215,0.0330155012195872,0.0537403664835742,-0.0034646610111828,-0.0073534043751089,-0.6399891692621581,0.0022405736280570097,0.0029293892592630044,-0.004686627681260658,-0.007236021920257504
1658794394122748,-0.9889677271686884,-0.1323872739757381,0.0877088578622107,0.0023426936457025,0.0347241391935254,0.0550791506084786,-0.0034543801685208,-0.0073685524677647,-0.6396922047184458,0.0022300149460211956,-0.000769363354005792,-0.002679855505947598,0.0011781273077032528
1658794394138745,-0.9876249332417792,-0.1207904173342489,0.088197146562905,0.0026732539733132,0.0363683535960858,0.0564786114182195,-0.0034321429582225,-0.0073979683334327,-0.6393902157059589,0.0023269296927228922,0.0005160875156129396,0.008025301021987438,0.0014997744075577885
1658794394154743,-0.9884794384679942,-0.1215228503852903,0.0894178683146407,0.0029616309447465,0.0379344518190165,0.0579410821476362,-0.0033994591970514,-0.0074231257487117,-0.6390837680153104,0.00242358654188595,-0.00030457593954180684,0.006563581173851432,0.0024484465433641384
1658794394170740,-0.988845654993515,-0.1249408712901503,0.0866102082856485,0.003191965646431,0.0394145327410021,0.0594489796499157,-0.003357926791644,-0.0074362846775403,-0.6387737442366674,0.0024489497924234716,-0.0006037132185563454,0.0028310042420922887,-0.00032329213706525084
1658794394186738,-0.9864042114900436,-0.1354390783550774,0.0844129091325243,0.0033539303893296,0.0408049253161346,0.0609729679884411,-0.00330903580932,-0.0074349261019975,-0.6384612495755607,0.002350167126485314,0.0016539572564234772,-0.006900482540551339,-0.002268532161170511
1658794394202735,-0.9882352941176472,-0.1392233157854581,0.0853894865339128,0.0034440425706587,0.0421039961452497,0.0624746609482299,-0.0032540420076035,-0.00737463562239,-0.638147410745467,0.0022410467208066795,-0.0001594128340621781,-0.009616247973838837,-0.001162759283803813
1658794394218732,-0.9881132219424736,-0.130434119172961,0.0872205691615164,0.0034668582202877,0.0433102923381087,0.0639104238884089,-0.0031938944093351,-0.0073085287744989,-0.6378335550519941,0.0022417584638057524,-3.360659299966873e-05,-0.0007443462252075539,0.0006014910094198078
1658794394234730,-0.9887235828183414,-0.1251850156404974,0.0869764248111693,0.003435589481389,0.0444202195121461,0.0652431276633393,-0.0031292540196089,-0.0072391815335269,-0.637520755796736,0.002284649568950108,-0.0005795707219806712,0.004054281576530455,0.0003216119931654382
1658794394250727,-0.9922636758983748,-0.1276264591439689,0.0894178683146407,0.0033714989337107,0.0454277076841237,0.0664547677977627,-0.0030606284052178,-0.0071684303462415,-0.6372098084738193,0.0023312468777648126,-0.00370769742181265,0.0014515542657530522,0.002486749946973149
1658794394266725,-0.9918974593728542,-0.1275043869687953,0.0849011978332185,0.0033016312831021,0.0463276538895844,0.0675524721494862,-0.0029885592274299,-0.0070981614028837,-0.6369011225399277,0.0023237469084604577,-0.003007332806662877,0.0014162637968339886,-0.0018269284810041309
1658794394282722,-0.98970016021973,-0.132143129625391,0.0784313725490193,0.0032550256611276,0.0471221133129183,0.0685710810335896,-0.002913777383612,-0.0070297668799126,-0.6365946589344067,0.00220215614551624,-0.0007290302881847177,-0.002900230973785556,-0.0074670783886830044
1658794394298720,-0.9857938506141756,-0.1387350270847638,0.0816052491035321,0.0032580683126917,0.0478250406216954,0.0695690593131238,-0.0028372763947777,-0.0069635811024983,-0.6362899350760981,0.0020671528918691875,0.0028595513856326527,-0.00854291558984252,-0.003863881650753187
1658794394314717,-0.9879911497673,-0.1382467383840695,0.0852674143587393,0.0033299356738047,0.0484605690976763,0.0706093556512868,-0.0027602719794974,-0.0068999990503216,-0.6359861065705704,0.00199654185663632,0.0005960270092574271,-0.007249164200233416,-0.0001815447559913863
1658794394330714,-0.9903105210955978,-0.1337300679026474,0.0846570534828714,0.0034791135391455,0.0490576228994123,0.0717351763433363,-0.0026840374325952,-0.0068396772284708,-0.6356821104535347,0.001966040542517918,-0.001551009887136412,-0.0024592443469301783,-0.0007127150686733613
1658794394346710,-0.9851834897383078,-0.1309224078736553,0.0846570534828714,0.003701662867528,0.0496463454317572,0.0729585243778408,-0.0026096583324326,-0.0067819034642678,-0.6353768459106807,0.0019585650064589295,0.0032184193231381553,0.0003135741138557413,-0.0006414435618060238
1658794394362707,-0.9872587167162584,-0.1303120469977874,0.088197146562905,0.0039813963573802,0.0502535755304731,0.0742593401797707,-0.0025377940328439,-0.0067244837306054,-0.6350693705087868,0.0020003452123926965,0.0010288731106687932,0.0008315414907512919,0.002608784566404815
1658794394378705,-0.9875028610666056,-0.1257953765163653,0.0851453421835657,0.0042917930737838,0.0508971415295444,0.0755857376035855,-0.0024685074881598,-0.0066655940826381,-0.634759083506858,0.002038817285967431,0.0007062558842895195,0.0048133907749560445,-0.0003987178316410406
1658794394394702,-0.9881132219424736,-0.1276264591439689,0.0841687647821771,0.0045993503158584,0.0515864599237647,0.0768600590663792,-0.0024011555590616,-0.0066047130990753,-0.6344458651328357,0.0020482578486695577,8.630550757937616e-05,0.0026840773326172185,-0.001237765709726682
1658794394410699,-0.987380788891432,-0.1350728618295567,0.08905165178912,0.0048678459622471,0.0523283192829278,0.0779934470791457,-0.0023343175237467,-0.0065423600700933,-0.634130153016923,0.0020507910763355153,0.0007368647027589104,-0.004286092817673531,0.0032806091674945914
1658794394426697,-0.989089799343862,-0.1384908827344167,0.084779125658045,0.0050628720055699,0.0531292815233975,0.0789005916939562,-0.0022657840667808,-0.0064800364244114,-0.6338129492197844,0.0019779654493051295,-0.0008749311747039412,-0.0069337023502802075,-0.0008927252672223662
1658794394442694,-0.9894560158693828,-0.1336079957274738,0.0859998474097807,0.0051563150944663,0.053992849894518,0.0795165453719873,-0.0021926754121605,-0.0064203176338185,-0.6334957558810936,0.001966678506774042,-0.0011170329302023774,-0.0018457338090035746,0.000295196836061995
1658794394458692,-0.9892118715190356,-0.1268940260929274,0.0818493934538793,0.00513062970326,0.0549130543469278,0.0798246482200425,-0.0021118024068233,-0.0063666898826331,-0.6331804408785091,0.001957928862509995,-0.0007855997218695343,0.004381412242988547,-0.0034697314078554614
1658794394474689,-0.9901884489204242,-0.1232318608377203,0.0772106507972836,0.0049825137800207,0.055867465855122,0.0798836019476272,-0.0020203404124431,-0.0063228474064842,-0.632869039536399,0.0019331273093637885,-0.0015859594109324249,0.007239219748376088,-0.00729762665800604
1658794394490687,-0.988845654993515,-0.1245746547646296,0.0673228046082243,0.004725439119687,0.0568178979239896,0.0798254746922819,-0.0019166470958428,-0.0062911807512687,-0.6325635055825577,0.001806844274089838,-0.00021884893562085228,0.005306783239320115,-0.015466925562358805
1658794394506684,-0.9960479133287556,-0.133852140077821,0.0720836194399936,0.0043901969751289,0.0577215289944109,0.0798168713122828,-0.0018008351315891,-0.0062716269932769,-0.6322654377769006,0.0016680858089853604,-0.006678996543775351,-0.003573631866484156,-0.009635499657530563
1658794394522681,-0.9950713359273672,-0.1382467383840695,0.0835584039063093,0.0040221127199219,0.0585431350915242,0.080008648148109,-0.0016748268258229,-0.0062625671034268,-0.6319758270075237,0.001614908574706925,-0.005132177228148294,-0.007171407155459386,0.0016553563279066152
1658794394538679,-0.9927519645990692,-0.1322652018005646,0.084779125658045,0.0036740476493557,0.0592606103898448,0.0805016449624026,-0.001541947726807,-0.0062627767643243,-0.6316948824048744,0.0016396052401012925,-0.0025315253098653345,-0.0010708835147590356,0.002588470271678092
1658794394554676,-0.9917753871976808,-0.1305561913481346,0.08392462043183,0.0033960744257947,0.0598657833740884,0.0813316242748727,-0.0014062791750723,-0.0062713959708742,-0.6314219920708408,0.0016679382001332206,-0.0013994531176291236,0.0005743142439038895,0.001560568540916768
1658794394570674,-0.9898222323949036,-0.1250629434653239,0.0934462500953685,0.0032244652759204,0.0603652346073839,0.0824684930163671,-0.0012719362630107,-0.00628587847671,-0.6311558509105571,0.0018404174130845065,0.0004983315166332547,0.005460805914043104,0.009973978384009735
1658794394586671,-0.9899443045700772,-0.1266498817425803,0.0921034561684592,0.0031733195430361,0.0607811983306616,0.0838344046568097,-0.0011424031825605,-0.0063016963324938,-0.6308947467233897,0.0019682245600858776,0.0003386334073137709,0.0034864808731080443,0.007768066011390393
1658794394602668,-0.9860379949645228,-0.1342183566033417,0.0814831769283586,0.0032314341130997,0.0611487479281265,0.0853375754874784,-0.0010200894320028,-0.0063149367832798,-0.6306369436768496,0.0018908035993133706,0.0038204487115813812,-0.0036737945888880297,-0.002566991905839186
