Frame #,Hand Pink X,Hand Pink Y,Hip Pink X,Hip Pink Y,Head Pink X,Head Pink Y,Elbow Pink X,Elbow Pink Y,Shoulder Green X,Shoulder Green Y,Arm Pit Green X,Arm Pit Green Y,angles,Timestamp (microseconds),Seconds,Hand Pink X meters,Hip Pink X meters,Head Pink X meters,Elbow Pink X meters,Shoulder Green X meters,Arm Pit Green X meters,Hand Pink Y meters,Hip Pink Y meters,Head Pink Y meters,Elbow Pink Y meters,Shoulder Green Y meters,Arm Pit Green Y meters,angular velocity
1.0,545.9810181,1449.390259,762.9455566,1169.079956,966.7611694,396.0115051,643.7704468,1132.113281,764.9192505,849.4072266,713.5,839.5,0.0,1658794397000000.0,0.0,0.4604587062339406,0.6434379809420883,0.8153279739435972,0.5429304265498858,0.6451025159892194,0.6017375623079682,-1.222358179794779,-0.9859556031766598,-0.3339803752274471,-0.9547793776670156,-0.716356319468894,-0.7080009580343928,
2.0,545.9810181,1449.390259,762.7495728,1169.16748,966.803833,395.6811218,643.8216553,1131.989014,764.9192505,849.4072266,713.5,839.5,0.0,1658794397016666.8,0.01666675,0.4604587062339406,0.6432726959889504,0.8153639547293903,0.5429736137649656,0.6451025159892194,0.6017375623079682,-1.222358179794779,-0.9860294174421166,-0.3337017430738812,-0.9546745758146608,-0.716356319468894,-0.7080009580343928,0.0
3.0,545.9810181,1449.390259,762.7495728,1169.16748,966.7391968,395.8304138,643.8216553,1131.989014,764.9192505,849.4072266,713.5,839.5,0.0,1658794397033333.2,0.03333325,0.4604587062339406,0.6432726959889504,0.8153094431254311,0.5429736137649656,0.6451025159892194,0.6017375623079682,-1.222358179794779,-0.9860294174421166,-0.3338276500173319,-0.9546745758146608,-0.716356319468894,-0.7080009580343928,0.0
4.0,546.0680542,1449.5,762.7495728,1169.16748,966.7460938,395.9975891,643.8216553,1131.989014,764.9192505,849.4072266,713.5,839.5,0.0107084250951927,1658794397050000.0,0.05,0.4605321090239151,0.6432726959889504,0.8153152597813067,0.5429736137649656,0.6451025159892194,0.6017375623079682,-1.222450730995655,-0.9860294174421166,-0.3339686390257413,-0.9546745758146608,-0.716356319468894,-0.7080009580343928,0.642502293200096
5.0,546.0680542,1449.5,762.7495728,1169.16748,967.6377563,395.8097534,643.8216553,1131.989014,764.9192505,849.4072266,713.5,839.5,0.0107084250951927,1658794397066666.5,0.0666665,0.4605321090239151,0.6432726959889504,0.8160672525201313,0.5429736137649656,0.6451025159892194,0.6017375623079682,-1.222450730995655,-0.9860294174421166,-0.3338102258565298,-0.9546745758146608,-0.716356319468894,-0.7080009580343928,0.0
6.0,546.2838135,1449.443115,762.7495728,1169.16748,967.6377563,395.8097534,644.2087402,1131.987793,764.7796021,849.6739502,713.5,839.5,-0.0271584989034467,1658794397083333.2,0.08333325,0.4607140718483401,0.6432726959889504,0.8160672525201313,0.5433000657959848,0.6449847420749991,0.6017375623079682,-1.2224027564459257,-0.9860294174421166,-0.3338102258565298,-0.9546735460717546,-0.7165812635598178,-0.7080009580343928,-2.272004079897965
7.0,546.2838135,1449.443115,762.7495728,1169.16748,967.6377563,395.8097534,644.2087402,1131.987793,765.0567017,849.5653076,713.5,839.5,-0.0271484229594982,1658794397100000.0,0.1,0.4607140718483401,0.6432726959889504,0.8160672525201313,0.5433000657959848,0.6452184368722247,0.6017375623079682,-1.2224027564459257,-0.9860294174421166,-0.3338102258565298,-0.9546735460717546,-0.7164896387058768,-0.7080009580343928,0.0006045536141417794
8.0,546.2838135,1449.443115,762.5618286,1169.36084,967.6377563,395.8097534,644.2087402,1131.987793,765.329895,849.8410034,713.5,839.5,-0.0271527716060151,1658794397116666.5,0.1166665,0.4607140718483401,0.6431143599872048,0.8160672525201313,0.5433000657959848,0.6454488372511747,0.6017375623079682,-1.2224027564459257,-0.9861924895865424,-0.3338102258565298,-0.9546735460717546,-0.7167221495939364,-0.7080009580343928,-0.00026092140022781113
9.0,546.2838135,1449.443115,762.5618286,1169.36084,967.6377563,395.8097534,644.2987061,1132.244629,765.2963257,850.0386353,713.5,839.5,-0.0271608815852659,1658794397133333.5,0.1333335,0.4607140718483401,0.6431143599872048,0.8160672525201313,0.5433759394629181,0.6454205262368085,0.6017375623079682,-1.2224027564459257,-0.9861924895865424,-0.3338102258565298,-0.9548901513535386,-0.7168888244891577,-0.7080009580343928,-0.0004865890232676055
10.0,546.5908813,1449.602295,762.5618286,1169.36084,967.7540894,395.7214966,644.6542969,1132.551025,765.2622681,850.3570557,713.5,839.5,-0.0579864736462468,1658794397150000.0,0.15,0.4609730406352151,0.6431143599872048,0.8161653632363328,0.5436758306208312,0.6453918034096157,0.6017375623079682,-1.22253700253586,-0.9861924895865424,-0.3337357935766572,-0.9551485535709752,-0.7171573676079875,-0.7080009580343928,-1.849554019199046
11.0,546.8052368,1449.661377,762.5618286,1169.36084,967.7540894,395.7214966,644.6542969,1132.551025,765.2622681,850.3570557,713.5,839.5,-0.0778929698542323,1658794397166666.8,0.16666675,0.4611538195504741,0.6431143599872048,0.8161653632363328,0.5436758306208312,0.6453918034096157,0.6017375623079682,-1.2225868299481322,-0.9861924895865424,-0.3337357935766572,-0.9551485535709752,-0.7171573676079875,-0.7080009580343928,-1.1943838005601266
