Timestamp (microseconds),Accel X (g),Accel Y (g),Accel Z (g),vel x (m/s),vel y (m/s),vel z (m/s),disp x (m),disp y (m),disp z (m),stamp velocity (m/s)
1660086807434814,0.0363164721141373,0.8128175783932248,0.5891813534752419,0.0,0.0,0.0,0.0005677497267014,0.0025780258679467,-0.6070720779047034,
1660086807450811,0.034119172961013,0.8098878461890591,0.6059052414740211,-0.0002585408604949,0.0014497126003901,-0.0003141413642824,0.0002699301559496,0.0031295925689896,-0.6072615895566853,0.04092852901032932
1660086807466807,0.0272831311512931,0.7989013504234377,0.6106660563057904,0.0004432884135445,0.0016350931470837,-0.0007091898047173,-2.365799913968652e-05,0.0032879066207744,-0.6074543339708485,0.024077329277276318
1660086807482803,0.0172732127870602,0.8037842374303805,0.5722133211261156,0.0019729409272888,0.0008994815365868,-0.0013237213437616,-0.0003269608146448,0.0034048956858039,-0.6076359810566553,0.023274407804287654
1660086807498800,0.0072632944228274,0.8075684748607612,0.5606164644846263,0.0041266026867184,-0.0004156962082452,-0.002225382664441,-0.0006483552334712,0.0032680564132239,-0.6077954401368344,0.023999231532663843
1660086807514796,-0.0028686961165789,0.7671625848783092,0.5908903639276719,0.0066530133023276,-0.0019816794779751,-0.0034611768789921,-0.0009911174187901,0.0028575321649324,-0.6079247679463003,0.03438873341692186
1660086807530793,0.004821850919356,0.7622796978713664,0.6040741588464176,0.0092840377380124,-0.0034895713130966,-0.0050281209939386,-0.0013539310962376,0.0023119152886364,-0.6080196846863704,0.041379565825657515
1660086807546789,0.034973678187228,0.7913328755626763,0.5980926222629126,0.0117684203164844,-0.004664329836337,-0.0068345487705738,-0.0017318143358412,0.0016697429461591,-0.608080296201635,0.046722870470414964
1660086807562786,0.0320439459830623,0.8072022583352405,0.5665980010681313,0.0139030968990805,-0.0052730967116375,-0.0087861790266761,-0.0021170110570182,0.0010490765712049,-0.6081104566848337,0.045693993970380285
1660086807578782,0.0109254596780346,0.8140383001449605,0.581490806439307,0.0155548871676978,-0.0051336759209719,-0.010920014164583,-0.002499118763956,0.0005124557156488,-0.6081169613025748,0.04117467328588229
1660086807594779,-0.009094377050431,0.7990234225986113,0.6035858701457233,0.0166660363219458,-0.0041541365448636,-0.0133764270562591,-0.0028651251446698,0.0001388635049786,-0.6081082414737561,0.032692210822787726
1660086807610775,0.0161745632104981,0.8140383001449605,0.5993133440146483,0.0172425343089077,-0.0023820557314129,-0.0162178782495994,-0.0032008967285804,-0.0001562451137693,-0.6080929069062081,0.027955517287444952
1660086807626772,0.0490119783321887,0.8319829098954754,0.5564660105287249,0.0173337250442786,2.129971352553099e-07,-0.0193495857514374,-0.0034940182825841,-0.000421421156247,-0.6080790645192131,0.024719535433428405
1660086807642768,0.0394903486686502,0.826123445487144,0.5512169069962614,0.0170163437516491,0.0027339705736984,-0.0226458973100577,-0.0037360066136126,-0.0006703056895743,-0.6080738359242575,0.02169832236177031
1660086807658764,0.0194705119401845,0.7991454947737848,0.5667200732433049,0.0163871528614582,0.0055422786232281,-0.0260489162239351,-0.0039228173909315,-0.0008697396935099,-0.6080830129135257,0.017088511032213226
1660086807674761,0.0122682536049438,0.799389639124132,0.5640344853894863,0.0155601650814196,0.0081609864313064,-0.0294732309301751,-0.0040547215080094,-0.0009753574895819,-0.6081106907617331,0.01070190517329806
1660086807690757,0.0051880674448767,0.8247806515602347,0.5955291065842676,0.0146659359878166,0.0103528531065838,-0.0327226330267509,-0.0041365833604278,-0.0010328580508602,-0.6081588714760938,0.0069397683974444435
1660086807706754,-0.002258335240711,0.8334477759975583,0.6304417486839098,0.0138469835610187,0.01193526679269,-0.0356053703486521,-0.0041777218715501,-0.0010798253259117,-0.6082274114034902,0.005794671471567132
1660086807722750,0.0119020370794231,0.824414435034714,0.6040741588464176,0.0132372293458609,0.0128380356492037,-0.0380837739120159,-0.0041901200322156,-0.0011081207711036,-0.6083140019738404,0.005746015426495385
1660086807738747,0.0319218738078888,0.8228274967574576,0.5774624246585791,0.0129247304532113,0.0131456701040005,-0.040280203598468,-0.0041853190885465,-0.0011270966191251,-0.608414554704457,0.0064025091220110296
1660086807754760,0.0259403372243838,0.8115968566414891,0.5790493629358355,0.012917022981508,0.0130629101625942,-0.0423913367931652,-0.0041715776342825,-0.0011835081555894,-0.6085242718120251,0.0077582951334374565
