Frame #,Arm Pink X,Arm Pink Y,Leg Pink X,Leg Pink Y,Shoulder Pink X,Shoulder Pink Y,Back Pink X,Back Pink Y,Neck Green X,Neck Green Y,Timestamp (microseconds),angles,Seconds,Arm Pink X meters,Leg Pink X meters,Shoulder Pink X meters,Back Pink X meters,Neck Green X meters,Arm Pink Y meters,Leg Pink Y meters,Shoulder Pink Y meters,Back Pink Y meters,Neck Green Y meters,angular velocity,Arm Pink m/s,Leg Pink m/s,Shoulder Pink m/s,Back Pink m/s,Neck Green m/s
1.0,459.9234924,864.7759399,498.2787781,1120.721191,473.6203613,748.9074097,551.5,882.5,563.0791016,726.68927,1660612038255000.0,0.0,0.0,0.7476976200863172,0.8100518079230176,0.7699646198121272,0.8965735481913034,0.9153976936244486,-1.4058662426593154,-1.8219564365331888,-1.2174987734931773,-1.4346802471057576,-1.1813787438557537,,,,,,
2.0,459.9234924,864.7759399,498.2787781,1120.721191,472.8300781,748.8300781,551.5,881.5,563.4571533,726.5856934,1660612038271666.8,-0.1361725123151225,0.01666675,0.7476976200863172,0.8100518079230176,0.7686798564164788,0.8965735481913034,0.9160122922718988,-1.4058662426593154,-1.8219564365331888,-1.217373055511311,-1.4330545471090372,-1.1812103593774732,-8.170309887357913,0.0,0.0,0.07745398103096052,0.0975419998032212,0.03823487135985466
3.0,460.0285645,864.5856934,498.2787781,1120.721191,472.8300781,748.8300781,551.5,881.5,563.4571533,726.5856934,1660612038288333.5,-0.1361725123151225,0.0333335,0.7478684357989427,0.8100518079230176,0.7686798564164788,0.8965735481913034,0.9160122922718988,-1.4055569589248893,-1.8219564365331888,-1.217373055511311,-1.4330545471090372,-1.1812103593774732,0.0,0.02119915021450132,0.0,0.0,0.0,0.0
4.0,460.125,864.402771,498.1635132,1120.710693,473.4338684,748.7248535,552.0,882.3768311,563.4571533,726.5856934,1660612038305000.0,-0.1356164633095399,0.05,0.7480252109909764,0.8098644217754656,0.7696614383052087,0.8973863981896637,0.9160122922718988,-1.4052595819798093,-1.821939369934623,-1.217201991879436,-1.4344800114254317,-1.1812103593774732,0.0333632739676969,0.020170310604659212,0.011289703870852494,0.059782579181213207,0.0984562090156513,0.0
5.0,460.3227539,864.1375732,498.1635132,1120.710693,473.4338684,748.7248535,552.0,882.3768311,563.4571533,726.5856934,1660612038321666.8,-0.1356164633095399,0.06666675,0.7483466995055579,0.8098644217754656,0.7696614383052087,0.8973863981896637,0.9160122922718988,-1.404828449917219,-1.821939369934623,-1.217201991879436,-1.4344800114254317,-1.1812103593774732,0.0,0.03226804911121983,0.0,0.0,0.0,0.0
6.0,460.4090881,864.0302734,498.5,1120.5,474.0,748.5,552.0,882.3768311,564.109314,726.5847168,1660612038338333.2,-0.3740712243287484,0.08333325,0.7484870530142148,0.810411448365122,0.770581798445472,0.8973863981896637,0.91707250991975,-1.404654012632711,-1.821596846325214,-1.2168364475452234,-1.4344800114254317,-1.1812087717188566,-14.307428735439863,0.013433499358986129,0.03872489956161833,0.059417738201797986,0.0,0.06361313019581383
7.0,460.3227539,864.1375732,498.5,1120.5,474.0,748.5,552.0,882.3768311,563.8989868,726.5151367,1660612038355000.0,-0.2952333204444158,0.1,0.7483466995055579,0.810411448365122,0.770581798445472,0.8973863981896637,0.9167305809913998,-1.404828449917219,-1.821596846325214,-1.2168364475452234,-1.4344800114254317,-1.1810956553505148,4.730250581807044,0.013433499358986129,0.0,0.0,0.0,0.021609223433209635
8.0,460.3006592,864.7320557,498.5,1120.5,474.3006592,748.7320557,552.0,882.3768311,564.109314,726.5847168,1660612038371666.8,-0.3740712243287484,0.11666675,0.7483107801518403,0.810411448365122,0.771070580105926,0.8973863981896637,0.91707250991975,-1.4057949001155192,-1.821596846325214,-1.2172137004959522,-1.4344800114254317,-1.1812087717188566,-4.730250581807049,0.05802704773429086,0.0,0.03704616419478817,0.0,0.021609223433209635
9.0,460.1547546,864.9107056,498.5,1120.5,474.4153137,749.109314,551.9060059,882.1709595,564.109314,726.5847168,1660612038388333.5,-0.3745002774371854,0.1333335,0.7480735830440989,0.810411448365122,0.7712569739262001,0.8972335919816019,0.91707250991975,-1.4060853312573631,-1.821596846325214,-1.217827009313025,-1.4341453259659869,-1.1812087717188566,-0.0257430577909307,0.022499017264429422,0.0,0.03846043812553452,0.022075115817355207,0.0
10.0,460.2893066,864.8364868,498.5,1120.5,474.5319214,748.75177,552.0,882.3768311,563.6088867,726.5689087,1660612038405000.2,-0.190658368352064,0.15000025,0.7482923242300575,0.810411448365122,0.7714465430637075,0.8973863981896637,0.9162589652597812,-1.405964673754447,-1.821596846325214,-1.2172457500333975,-1.4344800114254317,-1.1811830724907384,11.030459392810313,0.014988708483404892,0.0,0.03668345279515258,0.022075115817355207,0.048837028070126534
11.0,460.2893066,864.8364868,498.5,1120.5,474.5319214,748.75177,551.9060059,882.1709595,563.6088867,726.5689087,1660612038421666.8,-0.1908603444033938,0.16666675,0.7482923242300575,0.810411448365122,0.7714465430637075,0.8972335919816019,0.9162589652597812,-1.405964673754447,-1.821596846325214,-1.2172457500333975,-1.4341453259659869,-1.1811830724907384,-0.0121186842666303,0.0,0.0,0.0,0.022075115817355207,0.0
12.0,460.2893066,864.8364868,498.5,1120.5,474.5319214,748.75177,552.1699219,882.1699219,563.6088867,726.5689087,1660612038438333.5,-0.1909832625734105,0.1833335,0.7482923242300575,0.810411448365122,0.7714465430637075,0.8976626402219363,0.9162589652597812,-1.405964673754447,-1.821596846325214,-1.2172457500333975,-1.43414363913967,-1.1811830724907384,-0.007375053325735,0.0,0.0,0.0,0.025743093374757154,0.0
