Frame #,Arm Pink X,Arm Pink Y,Leg Pink X,Leg Pink Y,Neck Green X,Neck Green Y,Shoulder Pink X,Shoulder Pink Y,Back Pink X,Back Pink Y,Timestamp (microseconds),angles,Seconds,Arm Pink X meters,Leg Pink X meters,Neck Green X meters,Shoulder Pink X meters,Back Pink X meters,Arm Pink Y meters,Leg Pink Y meters,Neck Green Y meters,Shoulder Pink Y meters,Back Pink Y meters,angular velocity
1.0,435.8711243,898.4310913,465.9342651,1167.192505,544.5,764.5,455.0966187,785.0966187,528.1149292,924.0,1660611847563330.0,0.0,0.0,0.6904807631324258,0.7381049787422085,0.8625640804478634,0.7209366325507758,0.8366078388910679,-1.4232403822092836,-1.8489960142901067,-1.2110748200227577,-1.2437027419131172,-1.463745106214556,
2.0,435.8711243,898.4310913,466.2208252,1166.974976,544.5,764.5,455.0966187,785.0966187,528.1149292,924.0,1660611847579996.5,0.0,0.0166665,0.6904807631324258,0.7385589299803159,0.8625640804478634,0.7209366325507758,0.8366078388910679,-1.4232403822092836,-1.8486514179597933,-1.2110748200227577,-1.2437027419131172,-1.463745106214556,0.0
3.0,435.8312683,898.3621216,465.9342651,1167.192505,544.5,764.5,455.2731018,785.1646729,528.1149292,924.0,1660611847596663.2,0.0,0.03333325,0.6904176256595326,0.7381049787422085,0.8625640804478634,0.721216206440337,0.8366078388910679,-1.4231311245676688,-1.8489960142901067,-1.2110748200227577,-1.2438105492748135,-1.463745106214556,0.0
4.0,435.9004211,898.3549805,466.2208252,1166.974976,544.7211914,764.7211914,455.2731018,785.1646729,528.1149292,924.0,1660611847613330.0,-0.0868108760941517,0.05,0.6905271733571312,0.7385589299803159,0.8629144785315069,0.721216206440337,0.8366078388910679,-1.4231198120674762,-1.8486514179597933,-1.2114252181064014,-1.2438105492748135,-1.463745106214556,-5.2086265225164885
5.0,436.2238159,898.4143066,465.8907166,1166.781372,544.8300781,764.8300781,455.5,784.8201904,528.1149292,924.0,1660611847629996.5,-0.1296241302757115,0.0666665,0.6910394759067796,0.7380359918333795,0.8630869702785383,0.7215756448925652,0.8366078388910679,-1.4232137928992357,-1.8483447221724083,-1.2115977098534323,-1.243264840861879,-1.463745106214556,-2.56882093910298
6.0,436.5,898.1898193,466.3059387,1166.694092,545.2416382,764.5,455.6095276,785.0,528.6514893,924.1136475,1660611847646663.2,-0.2635011380054635,0.08333325,0.6914769901110971,0.7386937616568288,0.8637389389823134,0.7217491519147464,0.8374578250605105,-1.4228581736494712,-1.848206458457181,-1.2110748200227577,-1.2435496843922365,-1.4639251397339916,-8.032580300883616
7.0,436.7056274,898.2640991,466.0294189,1167.102905,544.8300781,764.8300781,455.8312683,785.3621216,528.1547852,924.0892944,1660611847663329.8,-0.1295235505482751,0.09999975,0.6918027326440556,0.7382557156568056,0.8630869702785383,0.7221004201663411,0.836670976363961,-1.4229758432314414,-1.8488540753707163,-1.2115977098534323,-1.2441233356042003,-1.4638865610208465,8.03873563478765
8.0,436.6300964,898.4146118,466.396637,1166.915649,545.1136475,764.6514893,456.4624939,785.4249878,528.7886353,924.2113647,1660611847679996.5,-0.2234535869092508,0.1166665,0.6916830809864609,0.7388374404368796,0.8635361838299691,0.7231003697149531,0.837675083487282,-1.4232142763786797,-1.848557435702308,-1.2113148002408516,-1.2442229244490015,-1.4640799374323608,-5.635774002788525
9.0,436.6300964,898.4146118,466.396637,1166.915649,545.2416382,764.5,456.4624939,785.4249878,528.7886353,924.2113647,1660611847696663.5,-0.2633884877708392,0.1333335,0.6916830809864609,0.7388374404368796,0.8637389389823134,0.7231003697149531,0.837675083487282,-1.4232142763786797,-1.848557435702308,-1.2110748200227577,-1.2442229244490015,-1.4640799374323608,-2.3960461307726892
10.0,436.8177795,898.4310913,466.2208252,1166.974976,545.6396484,764.3603516,456.5,785.3461304,528.7886353,924.2113647,1660611847713330.0,-0.3994142962701229,0.15,0.6919803972409458,0.7385589299803159,0.8643694427512241,0.7231597846179056,0.837675083487282,-1.4232403822092836,-1.8486514179597933,-1.2108535974447374,-1.2440980033090243,-1.4640799374323608,-8.161630126258288
