Timestamp (microseconds),Accel X (g),Accel Y (g),Accel Z (g),vel x (m/s),vel y (m/s),vel z (m/s),disp x (m),disp y (m),disp z (m)
1658796015335235,-0.274235141527428,0.9406271457999544,0.2288242923628596,0,0,0,0.0007460673629702303,0.001968179684116459,-0.6372523854286476
1658796015351235,-0.2758220798046844,0.9351338979171437,0.2271152819104296,-9.053402613582348e-06,1.769137565702096e-05,-0.0002308637336929354,0.0005303207943466804,0.002257050355913954,-0.6371997924663331
1658796015367235,-0.2769207293812466,0.9420920119020373,0.2183260852979325,-7.840073805101724e-05,0.0002038427885332275,-0.0009945174135060956,0.0003124428110911558,0.002254869084241884,-0.6371482630863314
1658796015383235,-0.2717936980239566,0.9502708476386665,0.2161287861448082,-0.0001892631759320134,0.0005158223631852495,-0.00216681356423038,9.820720017569579e-05,0.002304575190948404,-0.6370985753304355
1658796015399234,-0.2720378423743037,0.9480735484855423,0.216495002670329,-0.0003164081008990225,0.0009045311536562584,-0.003611484294689987,-0.0001082884209861734,0.00254312721130801,-0.6370512993905655
1658796015415234,-0.2724040588998244,0.9435568780041201,0.2140535591668575,-0.0004338601870156664,0.001330329684026267,-0.005197935718521674,-0.0003046271963777997,0.002804630666827792,-0.6370064350505288
1658796015431234,-0.2746013580529487,0.9462424658579387,0.214785992217899,-0.0005213272431340866,0.001762326923927892,-0.006821287929349897,-0.0004898210594641073,0.002968499745824191,-0.6369636408720502
1658796015447234,-0.2764324406805523,0.9439230945296408,0.2218661783779661,-0.0005693782604795458,0.002174125366392267,-0.00841239881069745,-0.0006639730756561475,0.003098107805128028,-0.6369223840875813
1658796015463234,-0.2732585641260394,0.9365987640192266,0.2244296940566111,-0.0005815527018124408,0.00254453354618249,-0.009930723727444961,-0.0008279529202413122,0.003207306958895339,-0.6368820680481908
1658796015479233,-0.2732585641260394,0.9409933623254751,0.2232089723048754,-0.0005725096415609934,0.002856483197339144,-0.01135219331293276,-0.0009831520625460711,0.003323286758639147,-0.6368422489128821
1658796015495233,-0.2736247806515602,0.9427023727779051,0.2217441062027925,-0.0005627770043210692,0.003097389466561968,-0.01266764804071758,-0.001131298768279349,0.003424692719793243,-0.6368027477157079
1658796015511233,-0.2732585641260394,0.9461203936827651,0.2163729304951554,-0.0005720537334465384,0.003266503262136572,-0.01389042853695146,-0.001274195603646506,0.003468206312373271,-0.6367636898036827
1658796015527233,-0.2757000076295109,0.9427023727779051,0.2167391470206761,-0.0006135406716675658,0.003377338968298062,-0.01505495005307645,-0.001413364526504925,0.003499619808044386,-0.6367255019569699
1658796015543233,-0.2755779354543373,0.947585259784848,0.2182040131227589,-0.0006910556730215147,0.00344872847762675,-0.01619846223135808,-0.001549815769642741,0.003546600716422336,-0.636688753419236
1658796015559232,-0.2732585641260394,0.942458228427558,0.2221103227283132,-0.0007994047101948519,0.003499080324725484,-0.01734138205138068,-0.001684070052760868,0.003560164986594866,-0.6366539434950654
1658796015575232,-0.2765545128557259,0.9425803006027316,0.2185702296482797,-0.0009274032620813791,0.003548832717259621,-0.01848269766597221,-0.001816300571308503,0.003550389821849805,-0.6366214780759556
1658796015591232,-0.2761882963302051,0.9494163424124515,0.2190585183489739,-0.001062234606335659,0.003619716931364412,-0.01961289966654002,-0.001946429710504054,0.00356911224997514,-0.6365916285439996
1658796015607232,-0.2748455024032959,0.9378194857709623,0.2204013122758832,-0.001193627850118104,0.003731800430196572,-0.02073169996937669,-0.002074128715336829,0.003599722657839944,-0.6365644135247716
1658796015623232,-0.2732585641260394,0.9448996719310294,0.2241855497062639,-0.001316639336424501,0.003903637147116001,-0.02184853399854446,-0.002198763889586891,0.003598926616476723,-0.6365396824934998
1658796015639231,-0.2758220798046844,0.9411154345006487,0.2207675288014039,-0.001432298831408611,0.004146679023722398,-0.0229662414069117,-0.0023194437067526,0.003613918687912514,-0.6365173749586996
1658796015655212,-0.2724040588998244,0.9429465171282523,0.2206454566262304,-0.00154603265659495,0.004453901466554881,-0.02407674515350242,-0.002435265980003278,0.003637180584855751,-0.6364974105797471
1658796015671212,-0.273380636301213,0.9436789501792937,0.2171053635461968,-0.001664720416053201,0.004798937333136026,-0.02517638985815354,-0.002545605766910235,0.003660560730211287,-0.6364798026186096
1658796015687212,-0.2703288319218737,0.9491721980621044,0.2140535591668575,-0.001793873134064814,0.005149124670907908,-0.02627906680615024,-0.00265020504955082,0.003687937629891527,-0.6364646822308659
1658796015703211,-0.2731364919508659,0.9525902189669644,0.2158846417944611,-0.001936111557337626,0.005477697799399999,-0.02741766734619893,-0.002749029277030239,0.003705382818616827,-0.6364522149139134
1658796015719211,-0.2764324406805523,0.9391622796978716,0.2223544670786604,-0.002091239245892641,0.005763664727226475,-0.02863278751786203,-0.002842079687093526,0.003718898633929665,-0.6364426206741767
1658796015735211,-0.2744792858777751,0.9402609292744337,0.2211337453269246,-0.002257316372337242,0.005983698619666958,-0.02994571085517266,-0.002929415914319685,0.003717023648853936,-0.6364360711462357
1658796015751211,-0.2743572137026016,0.9402609292744337,0.2218661783779661,-0.002431596069047649,0.006112550927837315,-0.03133908312503219,-0.00301141729646998,0.003693069199483293,-0.6364327072351115
1658796015767211,-0.2721599145494773,0.9495384145876251,0.2145418478675518,-0.002610660997564175,0.006139723648171564,-0.0327711087166025,-0.003088946359364614,0.003679244906821582,-0.6364327012588574
1658796015783210,-0.277653162432288,0.9466086823834594,0.2129549095902954,-0.002790397857312403,0.006085245535177857,-0.03420278964567783,-0.003163121795518661,0.003654486938309752,-0.6364360566015015
